period,cohort,n,event_n,event_rate,mean_r,pf_r,cum_r
HIST_2020_2024,UNFILTERED_ALL,34,17,0.5,0.11315675562821645,1.2024910363873347,3.8473296913593593
HIST_2020_2024,ACCEPTED_ALL,23,15,0.6521739130434783,0.5786464414303399,2.4787631280997577,13.30886815289782
HIST_2020_2024,UNFILTERED_BUY,16,6,0.375,-0.43571278673394254,0.4190496176880767,-6.971404587743081
HIST_2020_2024,ACCEPTED_BUY,5,4,0.8,0.49802677475907586,2.2450669368976897,2.4901338737953793
HIST_2020_2024,REJECTED_BUY,11,2,0.18181818181818182,-0.86013986013986,0.05384615384615411,-9.46153846153846
HIST_2020_2024,SELL_SIDE,18,11,0.6111111111111112,0.6010407932834689,2.545533468443206,10.818734279102442
RETRO_2025,UNFILTERED_ALL,12,7,0.5833333333333334,0.45102595296584025,2.0824622871180165,5.412311435590083
RETRO_2025,ACCEPTED_ALL,10,7,0.7,0.7412311435590083,3.4707704785300275,7.412311435590083
RETRO_2025,UNFILTERED_BUY,5,2,0.4,0.21480386682870925,1.3580064447145155,1.0740193341435462
RETRO_2025,ACCEPTED_BUY,3,2,0.6666666666666666,1.0246731113811822,4.0740193341435464,3.0740193341435464
RETRO_2025,REJECTED_BUY,2,0,0.0,-1.0,0.0,-2.0
RETRO_2025,SELL_SIDE,7,5,0.7142857142857143,0.6197560144923624,3.1691460507232683,4.3382921014465365
RETRO_2026_PRE,UNFILTERED_ALL,10,2,0.2,-0.3677685891193122,0.45546792043837614,-3.6776858911931223
RETRO_2026_PRE,ACCEPTED_ALL,3,1,0.3333333333333333,-0.24483775811209071,0.6327433628318639,-0.7345132743362721
RETRO_2026_PRE,UNFILTERED_BUY,8,1,0.125,-0.49289657710710627,0.3146892510810289,-3.94317261685685
RETRO_2026_PRE,ACCEPTED_BUY,1,0,0.0,-1.0,0.0,-1.0
RETRO_2026_PRE,REJECTED_BUY,7,1,0.14285714285714285,-0.42045323097955,0.3808860191077826,-2.94317261685685
RETRO_2026_PRE,SELL_SIDE,2,1,0.5,0.13274336283186394,1.2654867256637279,0.2654867256637279
POOLED_PRE_CUTOFF,UNFILTERED_ALL,56,26,0.4642857142857143,0.09967777206707717,1.1815042973107357,5.581955235756322
POOLED_PRE_CUTOFF,ACCEPTED_ALL,36,23,0.6388888888888888,0.5551851753931009,2.427619022439402,19.98666631415163
POOLED_PRE_CUTOFF,UNFILTERED_BUY,29,9,0.3103448275862069,-0.33932958173987526,0.5258441352263419,-9.840557870456383
POOLED_PRE_CUTOFF,ACCEPTED_BUY,9,6,0.6666666666666666,0.5071281342154362,2.1410383019847314,4.564153207938926
POOLED_PRE_CUTOFF,REJECTED_BUY,20,3,0.15,-0.7202355539197655,0.14021467392498163,-14.404711078395309
POOLED_PRE_CUTOFF,SELL_SIDE,27,17,0.6296296296296297,0.5712041891189891,2.5422513106212703,15.422513106212705
