partition,candidates,accepted,skipped_open,retention,trades_per_week,n,wins,wr,pf,expectancy,net,max_ls
external,190,166,24,0.8736842105263158,1.5896032831737346,166,98,0.5903614457831325,1.5800741163183425,1.2043609175851004,199.92391231912669,4
development,312,256,56,0.8205128205128205,1.6350364963503647,256,155,0.60546875,1.3305687579665044,0.5009424128600003,128.24125769216008,4
reference_validation,143,122,21,0.8531468531468531,1.4852173913043478,122,70,0.5737704918032787,1.1503170982188513,0.2847724612511359,34.74224027263858,3
POOLED_MAJOR,645,544,101,0.8434108527131783,1.5853455453788512,544,323,0.59375,1.3765693669023877,0.6671092100807449,362.90741028392523,4
