symbol,partition,side,source,entry_ts,entry_px,confirmation_bar_start,H,L,R,entry_level,stop_level,target_level,touch_elapsed_min,outcome,outcome_bar_start,minutes_entry_to_h2
BTCUSDT,external,LONG,RAW_0530,2020-01-01 11:45:00+00:00,7223.99,2020-01-01 11:40:00+00:00,7230.0,7174.0,56.0,7221.6,7193.6,7241.2,40.0,H2,2020-01-01 15:35:00+00:00,230.0
BTCUSDT,external,LONG,RAW_2330,2020-01-03 09:00:00+00:00,7257.99,2020-01-03 08:55:00+00:00,7300.0,6863.44,436.5600000000004,7234.516,7016.236,7387.312,235.0,H2,2020-01-03 09:05:00+00:00,5.0
BTCUSDT,external,LONG,RAW_0530,2020-01-08 11:40:00+00:00,8360.58,2020-01-08 11:35:00+00:00,8372.28,8267.0,105.28000000000065,8356.488000000001,8303.848,8393.336000000001,35.0,OPPOSITE_BREAK,2020-01-08 13:05:00+00:00,
BTCUSDT,external,LONG,LONDON,2020-02-12 13:50:00+00:00,10374.79,2020-02-12 13:45:00+00:00,10395.0,10235.52,159.47999999999956,10371.078,10291.338,10426.896,15.0,H2,2020-02-12 14:00:00+00:00,10.0
BTCUSDT,external,LONG,ALT_0330,2020-02-17 09:15:00+00:00,9832.0,2020-02-17 09:10:00+00:00,9841.0,9720.23,120.77000000000044,9822.8845,9762.4995,9865.154,10.0,H2,2020-02-17 09:15:00+00:00,0.0
BTCUSDT,external,SHORT,SHORT_2000,2020-02-26 01:50:00+00:00,9253.21,2020-02-26 01:45:00+00:00,9434.65,9225.0,209.64999999999964,9256.4475,9361.2725,9183.07,15.0,H2,2020-02-26 01:55:00+00:00,5.0
BTCUSDT,external,LONG,RAW_0530,2020-03-02 12:00:00+00:00,8760.7,2020-03-02 11:55:00+00:00,8777.0,8607.0,170.0,8751.5,8666.5,8811.0,55.0,H2,2020-03-02 13:05:00+00:00,65.0
BTCUSDT,external,LONG,RAW_2330,2020-03-05 06:20:00+00:00,8923.01,2020-03-05 06:15:00+00:00,8949.34,8739.37,209.96999999999935,8917.844500000001,8812.8595,8991.334,75.0,H2,2020-03-05 09:20:00+00:00,180.0
BTCUSDT,external,SHORT,SHORT_2000,2020-03-09 03:50:00+00:00,8038.35,2020-03-09 03:45:00+00:00,8305.79,7997.7,308.09000000000106,8043.9135,8197.9585,7936.081999999999,135.0,H2,2020-03-09 04:10:00+00:00,20.0
BTCUSDT,external,LONG,ALT_0330,2020-03-13 10:15:00+00:00,5503.9,2020-03-13 10:10:00+00:00,5646.48,4520.62,1125.8599999999997,5477.601,4914.670999999999,5871.651999999999,70.0,H2,2020-03-13 12:40:00+00:00,145.0
