transition,partition,side,k,purity,entry_depth,setups,fills,fill_rate,wins,losses,wr,tp_rate,net_pf,net_exp,total_net,time_exit_rate,median_nominal_rr,screen_pass
LONDON_TO_NEWYORK,reference_validation,SHORT,1,OPP0,DEEP,92,23,0.25,4,19,0.17391304347826086,0.13043478260869565,0.4989577073689755,-0.8057425519798906,-18.532078695537486,0.043478260869565216,3.0,False
LONDON_TO_NEWYORK,reference_validation,SHORT,1,OPP0,NEAR_OPPOSITE_EDGE,92,17,0.18478260869565216,2,15,0.11764705882352941,0.058823529411764705,0.5389304950818566,-0.4057795799682008,-6.898252859459413,0.058823529411764705,9.0,False
LONDON_TO_NEWYORK,reference_validation,SHORT,2,ALL,SHALLOW,20,11,0.55,8,3,0.7272727272727273,0.7272727272727273,0.820482325442103,-0.18015289414061275,-1.9816818355467403,0.09090909090909091,0.33333333333333687,False
LONDON_TO_NEWYORK,reference_validation,SHORT,2,ALL,MID,20,4,0.2,1,3,0.25,0.25,0.3194302050163057,-1.1040136697535199,-4.4160546790140796,0.25,1.0,False
LONDON_TO_NEWYORK,reference_validation,SHORT,2,ALL,DEEP,20,2,0.1,0,2,0.0,0.0,0.0,-1.7219335120214225,-3.443867024042845,0.0,3.0,False
LONDON_TO_NEWYORK,reference_validation,SHORT,2,ALL,NEAR_OPPOSITE_EDGE,20,1,0.05,0,1,0.0,0.0,0.0,-1.00979834611119,-1.00979834611119,0.0,9.000000000000641,False
LONDON_TO_NEWYORK,reference_validation,SHORT,2,OPP0,SHALLOW,19,10,0.5263157894736842,7,3,0.7,0.7,0.7438861925502588,-0.2827220669529003,-2.827220669529003,0.1,0.3333333333333351,False
LONDON_TO_NEWYORK,reference_validation,SHORT,2,OPP0,MID,19,4,0.21052631578947367,1,3,0.25,0.25,0.3194302050163057,-1.1040136697535199,-4.4160546790140796,0.25,1.0,False
LONDON_TO_NEWYORK,reference_validation,SHORT,2,OPP0,DEEP,19,2,0.10526315789473684,0,2,0.0,0.0,0.0,-1.7219335120214225,-3.443867024042845,0.0,3.0,False
LONDON_TO_NEWYORK,reference_validation,SHORT,2,OPP0,NEAR_OPPOSITE_EDGE,19,1,0.05263157894736842,0,1,0.0,0.0,0.0,-1.00979834611119,-1.00979834611119,0.0,9.000000000000641,False
LONDON_TO_NEWYORK,reference_validation,SHORT,3,ALL,SHALLOW,5,2,0.4,2,0,1.0,1.0,inf,1.5505168026183185,3.101033605236637,0.0,0.3333333333333389,False
LONDON_TO_NEWYORK,reference_validation,SHORT,3,ALL,MID,5,0,0.0,0,0,,,,,,,1.0,False
LONDON_TO_NEWYORK,reference_validation,SHORT,3,ALL,DEEP,5,0,0.0,0,0,,,,,,,2.9999999999999516,False
LONDON_TO_NEWYORK,reference_validation,SHORT,3,ALL,NEAR_OPPOSITE_EDGE,5,0,0.0,0,0,,,,,,,9.000000000000282,False
LONDON_TO_NEWYORK,reference_validation,SHORT,3,OPP0,SHALLOW,4,2,0.5,2,0,1.0,1.0,inf,1.5505168026183185,3.101033605236637,0.0,0.3333333333333389,False
LONDON_TO_NEWYORK,reference_validation,SHORT,3,OPP0,MID,4,0,0.0,0,0,,,,,,,1.0000000000000093,False
LONDON_TO_NEWYORK,reference_validation,SHORT,3,OPP0,DEEP,4,0,0.0,0,0,,,,,,,2.9999999999999525,False
LONDON_TO_NEWYORK,reference_validation,SHORT,3,OPP0,NEAR_OPPOSITE_EDGE,4,0,0.0,0,0,,,,,,,9.000000000000258,False
LONDON_TO_NEWYORK,august,LONG,1,ALL,SHALLOW,4,2,0.5,2,0,1.0,1.0,inf,0.6815598450459873,1.3631196900919746,0.0,0.3333333333333333,False
LONDON_TO_NEWYORK,august,LONG,1,ALL,MID,4,1,0.25,1,0,1.0,1.0,inf,1.9751972139387513,1.9751972139387513,0.0,1.0,False
LONDON_TO_NEWYORK,august,LONG,1,ALL,DEEP,4,0,0.0,0,0,,,,,,,3.0,False
LONDON_TO_NEWYORK,august,LONG,1,ALL,NEAR_OPPOSITE_EDGE,4,0,0.0,0,0,,,,,,,8.999999999999893,False
LONDON_TO_NEWYORK,august,LONG,1,OPP0,SHALLOW,4,2,0.5,2,0,1.0,1.0,inf,0.6815598450459873,1.3631196900919746,0.0,0.3333333333333333,False
LONDON_TO_NEWYORK,august,LONG,1,OPP0,MID,4,1,0.25,1,0,1.0,1.0,inf,1.9751972139387513,1.9751972139387513,0.0,1.0,False
LONDON_TO_NEWYORK,august,LONG,1,OPP0,DEEP,4,0,0.0,0,0,,,,,,,3.0,False
LONDON_TO_NEWYORK,august,LONG,1,OPP0,NEAR_OPPOSITE_EDGE,4,0,0.0,0,0,,,,,,,8.999999999999893,False
LONDON_TO_NEWYORK,august,LONG,2,ALL,SHALLOW,2,0,0.0,0,0,,,,,,,0.3333333333333345,False
LONDON_TO_NEWYORK,august,LONG,2,ALL,MID,2,0,0.0,0,0,,,,,,,1.0000000000000053,False
LONDON_TO_NEWYORK,august,LONG,2,ALL,DEEP,2,0,0.0,0,0,,,,,,,2.9999999999999893,False
LONDON_TO_NEWYORK,august,LONG,2,ALL,NEAR_OPPOSITE_EDGE,2,0,0.0,0,0,,,,,,,8.999999999999842,False
LONDON_TO_NEWYORK,august,LONG,2,OPP0,SHALLOW,2,0,0.0,0,0,,,,,,,0.3333333333333345,False
LONDON_TO_NEWYORK,august,LONG,2,OPP0,MID,2,0,0.0,0,0,,,,,,,1.0000000000000053,False
LONDON_TO_NEWYORK,august,LONG,2,OPP0,DEEP,2,0,0.0,0,0,,,,,,,2.9999999999999893,False
LONDON_TO_NEWYORK,august,LONG,2,OPP0,NEAR_OPPOSITE_EDGE,2,0,0.0,0,0,,,,,,,8.999999999999842,False
LONDON_TO_NEWYORK,august,LONG,3,ALL,SHALLOW,1,0,0.0,0,0,,,,,,,0.3333333333333357,False
LONDON_TO_NEWYORK,august,LONG,3,ALL,MID,1,0,0.0,0,0,,,,,,,1.0000000000000107,False
LONDON_TO_NEWYORK,august,LONG,3,ALL,DEEP,1,0,0.0,0,0,,,,,,,2.9999999999999787,False
LONDON_TO_NEWYORK,august,LONG,3,ALL,NEAR_OPPOSITE_EDGE,1,0,0.0,0,0,,,,,,,9.000000000000268,False
LONDON_TO_NEWYORK,august,LONG,3,OPP0,SHALLOW,1,0,0.0,0,0,,,,,,,0.3333333333333357,False
LONDON_TO_NEWYORK,august,LONG,3,OPP0,MID,1,0,0.0,0,0,,,,,,,1.0000000000000107,False
LONDON_TO_NEWYORK,august,LONG,3,OPP0,DEEP,1,0,0.0,0,0,,,,,,,2.9999999999999787,False
LONDON_TO_NEWYORK,august,LONG,3,OPP0,NEAR_OPPOSITE_EDGE,1,0,0.0,0,0,,,,,,,9.000000000000268,False
LONDON_TO_NEWYORK,august,SHORT,1,ALL,SHALLOW,2,2,1.0,1,1,0.5,0.5,0.17613354723698577,-1.01889667260126,-2.03779334520252,0.0,0.3333333333333295,False
LONDON_TO_NEWYORK,august,SHORT,1,ALL,MID,2,2,1.0,1,1,0.5,0.5,0.7124983514100091,-0.25593290158047965,-0.5118658031609593,0.0,0.9999999999999827,False
LONDON_TO_NEWYORK,august,SHORT,1,ALL,DEEP,2,2,1.0,0,2,0.0,0.0,0.0,-1.1610592911228563,-2.3221185822457127,0.0,3.0000000000000346,False
LONDON_TO_NEWYORK,august,SHORT,1,ALL,NEAR_OPPOSITE_EDGE,2,1,0.5,0,1,0.0,0.0,0.0,-0.6754701058597098,-0.6754701058597098,0.0,9.00000000000082,False
LONDON_TO_NEWYORK,august,SHORT,1,OPP0,SHALLOW,2,2,1.0,1,1,0.5,0.5,0.17613354723698577,-1.01889667260126,-2.03779334520252,0.0,0.3333333333333295,False
LONDON_TO_NEWYORK,august,SHORT,1,OPP0,MID,2,2,1.0,1,1,0.5,0.5,0.7124983514100091,-0.25593290158047965,-0.5118658031609593,0.0,0.9999999999999827,False
LONDON_TO_NEWYORK,august,SHORT,1,OPP0,DEEP,2,2,1.0,0,2,0.0,0.0,0.0,-1.1610592911228563,-2.3221185822457127,0.0,3.0000000000000346,False
LONDON_TO_NEWYORK,august,SHORT,1,OPP0,NEAR_OPPOSITE_EDGE,2,1,0.5,0,1,0.0,0.0,0.0,-0.6754701058597098,-0.6754701058597098,0.0,9.00000000000082,False
LONDON_TO_NEWYORK,august,SHORT,2,ALL,SHALLOW,1,1,1.0,1,0,1.0,1.0,inf,0.435657707900006,0.435657707900006,0.0,0.3333333333333256,False
LONDON_TO_NEWYORK,august,SHORT,2,ALL,MID,1,1,1.0,1,0,1.0,1.0,inf,1.268526781268831,1.268526781268831,0.0,0.9999999999999653,False
LONDON_TO_NEWYORK,august,SHORT,2,ALL,DEEP,1,1,1.0,0,1,0.0,0.0,0.0,-1.2328737185295808,-1.2328737185295808,0.0,3.0000000000000693,False
LONDON_TO_NEWYORK,august,SHORT,2,ALL,NEAR_OPPOSITE_EDGE,1,0,0.0,0,0,,,,,,,9.000000000000174,False
LONDON_TO_NEWYORK,august,SHORT,2,OPP0,SHALLOW,1,1,1.0,1,0,1.0,1.0,inf,0.435657707900006,0.435657707900006,0.0,0.3333333333333256,False
LONDON_TO_NEWYORK,august,SHORT,2,OPP0,MID,1,1,1.0,1,0,1.0,1.0,inf,1.268526781268831,1.268526781268831,0.0,0.9999999999999653,False
LONDON_TO_NEWYORK,august,SHORT,2,OPP0,DEEP,1,1,1.0,0,1,0.0,0.0,0.0,-1.2328737185295808,-1.2328737185295808,0.0,3.0000000000000693,False
LONDON_TO_NEWYORK,august,SHORT,2,OPP0,NEAR_OPPOSITE_EDGE,1,0,0.0,0,0,,,,,,,9.000000000000174,False
LONDON_TO_NEWYORK,august,SHORT,3,ALL,SHALLOW,1,1,1.0,0,1,0.0,0.0,0.0,-2.9069731237000735,-2.9069731237000735,0.0,0.3333333333333256,False
LONDON_TO_NEWYORK,august,SHORT,3,ALL,MID,1,1,1.0,0,1,0.0,0.0,0.0,-2.068526781268831,-2.068526781268831,0.0,0.9999999999999653,False
LONDON_TO_NEWYORK,august,SHORT,3,ALL,DEEP,1,1,1.0,0,1,0.0,0.0,0.0,-1.2328737185295808,-1.2328737185295808,0.0,3.0000000000000693,False
LONDON_TO_NEWYORK,august,SHORT,3,ALL,NEAR_OPPOSITE_EDGE,1,0,0.0,0,0,,,,,,,9.000000000000174,False
LONDON_TO_NEWYORK,august,SHORT,3,OPP0,SHALLOW,1,1,1.0,0,1,0.0,0.0,0.0,-2.9069731237000735,-2.9069731237000735,0.0,0.3333333333333256,False
LONDON_TO_NEWYORK,august,SHORT,3,OPP0,MID,1,1,1.0,0,1,0.0,0.0,0.0,-2.068526781268831,-2.068526781268831,0.0,0.9999999999999653,False
LONDON_TO_NEWYORK,august,SHORT,3,OPP0,DEEP,1,1,1.0,0,1,0.0,0.0,0.0,-1.2328737185295808,-1.2328737185295808,0.0,3.0000000000000693,False
LONDON_TO_NEWYORK,august,SHORT,3,OPP0,NEAR_OPPOSITE_EDGE,1,0,0.0,0,0,,,,,,,9.000000000000174,False
