hour_wib,component_rank,character_rule,raw_component_id,component_size,halo_cell_count,halo_economic_support_count,halo_economic_support_ratio,component_min_half_exp_floor,component_min_half_exp_mean,component_exp_floor,component_exp_mean,component_pf_median,component_dd_max,component_wr_min,component_wr_mean,component_trade_sum,min_lb,max_lb,min_hold,max_hold,component_cells
0,1,EFF_LOW__RANGE_MID,1,7,14,8,0.5714285714285714,0.5681946288358877,1.0605399020687782,2.01125448009974,3.086634879669858,2.6282146007157854,72.01584470381835,0.55,0.6007453416149069,581,60,180,240,480,LB60/H240;LB180/H240;LB60/H360;LB120/H360;LB180/H360;LB60/H480;LB180/H480
0,2,DRIVE_UP__RV_MID,1,5,12,6,0.5,0.5930487623257579,0.9000629653397377,1.348335111646732,1.9071756596918086,1.81956328295217,103.21538962569264,0.5643564356435643,0.608783136378154,551,180,240,240,480,LB180/H240;LB180/H360;LB240/H360;LB180/H480;LB240/H480
0,3,DRIVE_UP__RANGE_MID,2,4,9,6,0.6666666666666666,1.3722575699809043,1.6321824986720366,2.256883964774363,2.445133138977167,1.9940360430300217,118.91588792668672,0.5892857142857143,0.6058245988612837,516,120,240,360,480,LB180/H360;LB120/H480;LB180/H480;LB240/H480
1,1,DRIVE_UP__RANGE_MID,1,8,13,10,0.7692307692307693,1.0201606193263482,1.9680168207786333,2.065269208107343,3.0517114023886514,2.3837067954295406,88.29947458176702,0.5594405594405595,0.6115101115101116,972,180,360,120,480,LB360/H120;LB360/H240;LB180/H360;LB240/H360;LB360/H360;LB180/H480;LB240/H480;LB360/H480
1,2,EFF_HIGH__RV_LOW,1,8,13,10,0.7692307692307693,0.0862242263510584,1.5496980796440587,1.0028535346604364,2.1633975115005546,2.359960484360733,119.28105510588458,0.5652173913043478,0.6350469142328532,826,180,360,120,480,LB240/H120;LB360/H120;LB240/H240;LB360/H240;LB180/H360;LB240/H360;LB360/H360;LB240/H480
1,3,EFF_LOW__RANGE_MID,1,5,11,6,0.5454545454545454,1.3844883802919608,1.9601943548292868,1.4044623339105131,2.5209836674907504,2.3550956903819187,68.97536433043291,0.5543478260869565,0.5749597423510467,492,240,360,240,480,LB240/H240;LB360/H240;LB240/H360;LB360/H360;LB240/H480
2,1,DRIVE_DOWN__RANGE_MID,1,8,14,9,0.6428571428571429,0.0110831742711878,0.3263968563698082,0.5774195273102101,1.0401223356032998,1.5132294736925918,115.10845368248906,0.5608108108108109,0.6004603323086339,1141,60,240,120,360,LB60/H120;LB120/H120;LB180/H120;LB240/H120;LB60/H240;LB120/H240;LB180/H240;LB180/H360
2,2,DRIVE_DOWN__EFF_MID,1,6,12,9,0.75,0.4667490643267044,1.1413847813958162,0.7357864010725441,2.0947696571780643,1.655710658514172,100.78240026922532,0.5845070422535211,0.6119600832169235,878,60,180,240,480,LB180/H240;LB60/H360;LB120/H360;LB180/H360;LB60/H480;LB120/H480
2,3,RV_LOW__RANGE_MID,1,6,14,7,0.5,0.795532227741959,1.8606261228311258,1.3471150839914967,2.894763122198405,2.904857616367371,48.2591221884092,0.582089552238806,0.6562007037980828,432,180,240,120,480,LB180/H120;LB180/H240;LB180/H360;LB240/H360;LB180/H480;LB240/H480
3,1,DRIVE_DOWN__EXT_HIGH,1,2,8,3,0.375,0.5268679631502575,0.7084199916480578,1.069748739982337,1.1886620082174681,1.3783046334644973,95.18065534193444,0.5585585585585585,0.5610974610974611,221,180,240,360,360,LB180/H360;LB240/H360
