scope,sessions,k1_qualified,k1_rate,causal_leave,leave_rate,h2,opposite_break_before_h2,ambiguous_h2_vs_opposite,no_h2_by_end,h2_rate,resolved_h2_share,median_minutes_leave_to_h2
POOLED,1095,251,0.22922374429223744,142,0.5657370517928287,96,21,0,25,0.676056338028169,0.8205128205128205,15.0
Monday,157,30,0.1910828025477707,13,0.43333333333333335,11,1,0,1,0.8461538461538461,0.9166666666666666,15.0
Tuesday,157,41,0.2611464968152866,21,0.5121951219512195,15,2,0,4,0.7142857142857143,0.8823529411764706,20.0
Wednesday,156,31,0.1987179487179487,18,0.5806451612903226,14,2,0,2,0.7777777777777778,0.875,10.0
Thursday,156,41,0.26282051282051283,26,0.6341463414634146,15,6,0,5,0.5769230769230769,0.7142857142857143,35.0
Friday,156,39,0.25,20,0.5128205128205128,9,4,0,7,0.45,0.6923076923076923,20.0
Saturday,156,37,0.23717948717948717,22,0.5945945945945946,16,4,0,2,0.7272727272727273,0.8,15.0
Sunday,157,32,0.20382165605095542,22,0.6875,16,2,0,4,0.7272727272727273,0.8888888888888888,7.5
