partition,threshold,n,fail_n,target_n,time_n,fail_median_mfe_R,target_median_mfe_R,time_median_mfe_R,fail_hit_rate,target_hit_rate,time_hit_rate,gap,ratio,low_mfe_n,low_mfe_rate
development,0.09003731261387873,219,184,31,4,0.08753731179491966,0.09253731343283782,0.10017077981430478,0.5108695652173914,0.4838709677419355,0.5,0.026998597475455854,1.0557971014492755,111,0.5068493150684932
external,0.09003731261387873,148,113,32,3,0.058471454880294677,0.07341045132677596,0.042564789788084645,0.7079646017699115,0.5625,0.6666666666666666,0.1454646017699115,1.2586037364798426,100,0.6756756756756757
reference_validation,0.09003731261387873,138,107,29,2,0.08429118773946319,0.061007957559678826,0.10639531200506676,0.5327102803738317,0.6551724137931034,0.5,-0.1224621334192717,0.8130841121495327,77,0.5579710144927537
