portfolio,partition,candidates,accepted,skipped_open,n,wins,wr,pf,expectancy,total_net,zone
PROMOTED_PORTFOLIO,external,47,47,0,47,36,0.7659574468085106,2.7450548487530337,1.9460548425137687,91.46457759814713,
PROMOTED_PORTFOLIO,external,27,27,0,27,20,0.7407407407407407,2.1760904251256123,1.34187409616372,36.230600596420445,LONDON
PROMOTED_PORTFOLIO,external,20,20,0,20,16,0.8,3.556227003818883,2.7616988500863338,55.23397700172667,ALT_0330
PROMOTED_PORTFOLIO,development,60,60,0,60,42,0.7,1.4051284716003711,0.5546824446083458,33.28094667650075,
PROMOTED_PORTFOLIO,development,30,30,0,30,20,0.6666666666666666,1.169454844550486,0.305477199960904,9.16431599882712,LONDON
PROMOTED_PORTFOLIO,development,30,30,0,30,22,0.7333333333333333,1.8592230986656246,0.8038876892557872,24.116630677673616,ALT_0330
PROMOTED_PORTFOLIO,reference_validation,23,23,0,23,20,0.8695652173913043,2.982540673212619,0.923798350995288,21.247362072891622,
PROMOTED_PORTFOLIO,reference_validation,11,11,0,11,10,0.9090909090909091,6.228115566751987,1.4915967936781387,16.407564730459526,LONDON
PROMOTED_PORTFOLIO,reference_validation,12,12,0,12,10,0.8333333333333334,1.6385878171119057,0.403316445202674,4.839797342432088,ALT_0330
PROMOTED_PORTFOLIO,august,1,1,0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,
PROMOTED_PORTFOLIO,august,1,1,0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,LONDON
PROMOTED_PORTFOLIO,POOLED_MAJOR,130,130,0,130,98,0.7538461538461538,2.0049073948150262,1.1230222026733805,145.99288634753947,
PROMOTED_PORTFOLIO,POOLED_MAJOR,68,68,0,68,50,0.7352941176470589,1.7020977463284006,0.9088600194956925,61.80248132570709,LONDON
PROMOTED_PORTFOLIO,POOLED_MAJOR,62,62,0,62,48,0.7741935483870968,2.4704598387651413,1.357909758416651,84.19040502183236,ALT_0330
EXPLORATORY_SELECTED_PORTFOLIO,external,79,77,2,77,61,0.7922077922077922,3.015502748254626,1.9189574923339419,147.75972690971352,
EXPLORATORY_SELECTED_PORTFOLIO,external,27,26,1,26,20,0.7692307692307693,2.2679860117573436,1.4414928749162144,37.47881474782157,LONDON
EXPLORATORY_SELECTED_PORTFOLIO,external,20,20,0,20,16,0.8,3.556227003818883,2.7616988500863338,55.23397700172667,ALT_0330
EXPLORATORY_SELECTED_PORTFOLIO,external,18,17,1,17,13,0.7647058823529411,3.0223654605522166,1.5515421796860036,26.37621705466206,RAW_0530
EXPLORATORY_SELECTED_PORTFOLIO,external,14,14,0,14,12,0.8571428571428571,4.149255051710708,2.0479084361073747,28.670718105503244,RAW_2330
EXPLORATORY_SELECTED_PORTFOLIO,development,126,121,5,121,83,0.6859504132231405,1.4254658203419228,0.49888915194424927,60.36558738525416,
EXPLORATORY_SELECTED_PORTFOLIO,development,30,30,0,30,20,0.6666666666666666,1.169454844550486,0.305477199960904,9.16431599882712,LONDON
EXPLORATORY_SELECTED_PORTFOLIO,development,30,29,1,29,21,0.7241379310344828,1.7969649354236865,0.7713507477947398,22.369171686047455,ALT_0330
EXPLORATORY_SELECTED_PORTFOLIO,development,41,37,4,37,25,0.6756756756756757,1.4134097783669737,0.4868724181523816,18.01427947163812,RAW_0530
EXPLORATORY_SELECTED_PORTFOLIO,development,25,25,0,25,17,0.68,1.6695366392098234,0.43271280914965826,10.817820228741457,RAW_2330
EXPLORATORY_SELECTED_PORTFOLIO,reference_validation,48,48,0,48,40,0.8333333333333334,2.5437764298383683,0.9129109329403308,43.819724781135875,
EXPLORATORY_SELECTED_PORTFOLIO,reference_validation,11,11,0,11,10,0.9090909090909091,6.228115566751987,1.4915967936781387,16.407564730459526,LONDON
EXPLORATORY_SELECTED_PORTFOLIO,reference_validation,12,12,0,12,10,0.8333333333333334,1.6385878171119057,0.403316445202674,4.839797342432088,ALT_0330
EXPLORATORY_SELECTED_PORTFOLIO,reference_validation,11,11,0,11,9,0.8181818181818182,1.7332457366704708,0.7458081721093528,8.20388989320288,RAW_0530
EXPLORATORY_SELECTED_PORTFOLIO,reference_validation,14,14,0,14,11,0.7857142857142857,3.217677626486328,1.02631948678867,14.36847281504138,RAW_2330
EXPLORATORY_SELECTED_PORTFOLIO,august,1,1,0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,
EXPLORATORY_SELECTED_PORTFOLIO,august,1,1,0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,LONDON
EXPLORATORY_SELECTED_PORTFOLIO,POOLED_MAJOR,253,246,7,246,184,0.7479674796747967,2.034352564706539,1.0241668255126164,251.94503907610363,
EXPLORATORY_SELECTED_PORTFOLIO,POOLED_MAJOR,68,67,1,67,50,0.746268656716418,1.7265809196003479,0.9410551563747495,63.05069547710821,LONDON
EXPLORATORY_SELECTED_PORTFOLIO,POOLED_MAJOR,62,61,1,61,47,0.7704918032786885,2.4399389229148265,1.3515237054132163,82.4429460302062,ALT_0330
EXPLORATORY_SELECTED_PORTFOLIO,POOLED_MAJOR,70,65,5,65,47,0.7230769230769231,1.7756644080956385,0.8091444064538931,52.59438641950305,RAW_0530
EXPLORATORY_SELECTED_PORTFOLIO,POOLED_MAJOR,53,53,0,53,40,0.7547169811320755,2.69680725819863,1.0161700216846432,53.857011149286095,RAW_2330
