variant,scope,name,source_n,trades_n,fill_rate,wr,pf,expectancy,total_net,avg_win,avg_loss,max_dd,max_loss_streak,tp_n,hard_stop_n,early_n,be_n,time_n,median_risk_pct,median_hold_min
A_R1,PARTITION,external,202,178,0.8811881188118812,0.33707865168539325,0.7435023912117759,-0.23499830946891503,-41.82969908546688,2.0208428349255807,-1.3820361795000145,56.094008999348304,13,59,45,69,0,5,0.0030922274760740278,10.0
A_R1,PARTITION,development,333,280,0.8408408408408409,0.23214285714285715,0.2479237139476844,-0.5700220144881568,-159.6061640566839,0.8094545664035493,-0.9870730738275096,160.58318322161733,21,69,95,113,0,3,0.0017159832959306944,10.0
A_R1,PARTITION,reference_validation,194,163,0.8402061855670103,0.26380368098159507,0.24098161507943122,-0.5078296831748955,-82.77623835750796,0.6111795949564928,-0.908808007838643,83.19274795149565,16,44,49,69,0,1,0.0016478480291554983,10.0
A_R1,POOL,POOLED_OOS,396,341,0.8611111111111112,0.3020527859237537,0.5421209461591163,-0.3654133062843838,-124.60593744297486,1.4323426473656704,-1.1434337400068861,125.4261662335991,16,103,94,138,0,6,0.0024249162123253063,10.0
A_R1,POOL,POOLED_MAJOR,729,621,0.8518518518518519,0.27053140096618356,0.41321886678254205,-0.45766844041813,-284.21210149965873,1.1913442827077068,-1.0692228278025464,285.03233029028286,21,172,189,251,0,9,0.00199618962974162,10.0
A_R1,CLOCK_OOS,00-04,65,59,0.9076923076923077,0.3050847457627119,0.1609754710517982,-0.7480815122895733,-44.136809225084825,0.47045000279061594,-1.2830465676906317,45.079095538101306,7,18,16,23,0,2,0.001676903393121208,10.0
A_R1,CLOCK_MAJOR,00-04,112,100,0.8928571428571429,0.27,0.24655787457598843,-0.6146399532872813,-61.46399532872813,0.7449480752614904,-1.117501278914909,62.40628164174459,11,28,27,41,0,4,0.0019158267822461956,10.0
A_R1,CLOCK_OOS,04-08,69,57,0.8260869565217391,0.40350877192982454,1.7520929896420676,0.43587355549553414,24.844792663245446,2.5164780820578296,-0.9715942124730775,8.069402670605578,8,22,9,26,0,0,0.0027791896720600136,10.0
A_R1,CLOCK_MAJOR,04-08,112,95,0.8482142857142857,0.3263157894736842,1.0952958580204228,0.05739720709850153,5.452734674357646,2.0216691902635815,-0.894047034747084,24.63079372582581,13,31,17,47,0,0,0.0024478986085407733,10.0
A_R1,CLOCK_OOS,08-12,69,63,0.9130434782608695,0.3492063492063492,0.6238024630740042,-0.25542370095506406,-16.091693160169037,1.2128586765114593,-1.0432825376444181,16.895261968450843,9,23,16,23,0,1,0.0022798008092126433,10.0
A_R1,CLOCK_MAJOR,08-12,127,111,0.8740157480314961,0.2972972972972973,0.43256260152542075,-0.3914979620782244,-43.45627379068291,1.0038516967489877,-0.9818382023512754,44.25984259896468,10,37,35,38,0,1,0.0018108912171775967,10.0
A_R1,CLOCK_OOS,12-16,75,64,0.8533333333333334,0.234375,0.33370400322775595,-0.5646755348217842,-36.13923422859419,1.2066516177083535,-1.106918540698357,36.460786884523294,14,16,24,23,0,1,0.0023104458568931957,10.0
A_R1,CLOCK_MAJOR,12-16,157,129,0.821656050955414,0.2248062015503876,0.3299099020974881,-0.5352668882376991,-69.04942858266318,1.1722607974607056,-1.0304499170902364,69.37098123859228,14,31,57,39,0,2,0.001588820511128391,10.0
A_R1,CLOCK_OOS,16-20,62,50,0.8064516129032258,0.24,0.33711947780210366,-0.7361423681688312,-36.80711840844156,1.5599086262825317,-1.4612111032587352,37.89343213007871,9,12,16,22,0,0,0.0030576548178010638,10.0
