scope,timeframe,kind,bucket,n,pct,total_losses
main_combined,5m,zone,ABOVE_EMA20,0,0.0,4628
main_combined,5m,zone,BETWEEN_EMA20_EMA50,2585,55.855661192739845,4628
main_combined,5m,zone,BELOW_EMA50,2012,43.47450302506482,4628
main_combined,5m,zone,EMA20_BELOW_EMA50,31,0.6698357821953328,4628
main_combined,5m,zone,UNKNOWN,0,0.0,4628
main_combined,5m,reason,DYNAMIC_DETERIORATION_CUT,2585,55.855661192739845,4628
main_combined,5m,reason,REVERSAL_CUT,2043,44.144338807260155,4628
main_combined,5m,reason,BEAR_CROSS_CUT,0,0.0,4628
main_combined,5m,reason,PARTITION_FORCE_CLOSE,0,0.0,4628
main_combined,15m,zone,ABOVE_EMA20,0,0.0,1444
main_combined,15m,zone,BETWEEN_EMA20_EMA50,784,54.29362880886426,1444
main_combined,15m,zone,BELOW_EMA50,652,45.15235457063712,1444
main_combined,15m,zone,EMA20_BELOW_EMA50,8,0.554016620498615,1444
main_combined,15m,zone,UNKNOWN,0,0.0,1444
main_combined,15m,reason,DYNAMIC_DETERIORATION_CUT,784,54.29362880886426,1444
main_combined,15m,reason,REVERSAL_CUT,660,45.70637119113574,1444
main_combined,15m,reason,BEAR_CROSS_CUT,0,0.0,1444
main_combined,15m,reason,PARTITION_FORCE_CLOSE,0,0.0,1444
main_combined,1h,zone,ABOVE_EMA20,0,0.0,335
main_combined,1h,zone,BETWEEN_EMA20_EMA50,174,51.940298507462686,335
main_combined,1h,zone,BELOW_EMA50,158,47.16417910447761,335
main_combined,1h,zone,EMA20_BELOW_EMA50,3,0.8955223880597015,335
main_combined,1h,zone,UNKNOWN,0,0.0,335
main_combined,1h,reason,DYNAMIC_DETERIORATION_CUT,174,51.940298507462686,335
main_combined,1h,reason,REVERSAL_CUT,161,48.059701492537314,335
main_combined,1h,reason,BEAR_CROSS_CUT,0,0.0,335
main_combined,1h,reason,PARTITION_FORCE_CLOSE,0,0.0,335
main_combined,4h,zone,ABOVE_EMA20,0,0.0,77
main_combined,4h,zone,BETWEEN_EMA20_EMA50,30,38.96103896103896,77
main_combined,4h,zone,BELOW_EMA50,47,61.03896103896104,77
main_combined,4h,zone,EMA20_BELOW_EMA50,0,0.0,77
main_combined,4h,zone,UNKNOWN,0,0.0,77
main_combined,4h,reason,DYNAMIC_DETERIORATION_CUT,30,38.96103896103896,77
main_combined,4h,reason,REVERSAL_CUT,47,61.03896103896104,77
main_combined,4h,reason,BEAR_CROSS_CUT,0,0.0,77
main_combined,4h,reason,PARTITION_FORCE_CLOSE,0,0.0,77
reference_validation,5m,zone,ABOVE_EMA20,0,0.0,1073
reference_validation,5m,zone,BETWEEN_EMA20_EMA50,595,55.452003727865794,1073
reference_validation,5m,zone,BELOW_EMA50,470,43.80242311276794,1073
reference_validation,5m,zone,EMA20_BELOW_EMA50,8,0.7455731593662628,1073
reference_validation,5m,zone,UNKNOWN,0,0.0,1073
reference_validation,5m,reason,DYNAMIC_DETERIORATION_CUT,595,55.452003727865794,1073
reference_validation,5m,reason,REVERSAL_CUT,478,44.547996272134206,1073
reference_validation,5m,reason,BEAR_CROSS_CUT,0,0.0,1073
reference_validation,5m,reason,PARTITION_FORCE_CLOSE,0,0.0,1073
reference_validation,15m,zone,ABOVE_EMA20,0,0.0,328
reference_validation,15m,zone,BETWEEN_EMA20_EMA50,181,55.18292682926829,328
reference_validation,15m,zone,BELOW_EMA50,146,44.51219512195122,328
reference_validation,15m,zone,EMA20_BELOW_EMA50,1,0.3048780487804878,328
reference_validation,15m,zone,UNKNOWN,0,0.0,328
reference_validation,15m,reason,DYNAMIC_DETERIORATION_CUT,181,55.18292682926829,328
reference_validation,15m,reason,REVERSAL_CUT,147,44.81707317073171,328
reference_validation,15m,reason,BEAR_CROSS_CUT,0,0.0,328
reference_validation,15m,reason,PARTITION_FORCE_CLOSE,0,0.0,328
reference_validation,1h,zone,ABOVE_EMA20,0,0.0,82
reference_validation,1h,zone,BETWEEN_EMA20_EMA50,39,47.5609756097561,82
reference_validation,1h,zone,BELOW_EMA50,43,52.4390243902439,82
reference_validation,1h,zone,EMA20_BELOW_EMA50,0,0.0,82
reference_validation,1h,zone,UNKNOWN,0,0.0,82
reference_validation,1h,reason,DYNAMIC_DETERIORATION_CUT,39,47.5609756097561,82
reference_validation,1h,reason,REVERSAL_CUT,43,52.4390243902439,82
reference_validation,1h,reason,BEAR_CROSS_CUT,0,0.0,82
reference_validation,1h,reason,PARTITION_FORCE_CLOSE,0,0.0,82
reference_validation,4h,zone,ABOVE_EMA20,0,0.0,19
reference_validation,4h,zone,BETWEEN_EMA20_EMA50,6,31.57894736842105,19
reference_validation,4h,zone,BELOW_EMA50,13,68.42105263157895,19
reference_validation,4h,zone,EMA20_BELOW_EMA50,0,0.0,19
reference_validation,4h,zone,UNKNOWN,0,0.0,19
reference_validation,4h,reason,DYNAMIC_DETERIORATION_CUT,6,31.57894736842105,19
reference_validation,4h,reason,REVERSAL_CUT,13,68.42105263157895,19
reference_validation,4h,reason,BEAR_CROSS_CUT,0,0.0,19
reference_validation,4h,reason,PARTITION_FORCE_CLOSE,0,0.0,19
