hour_wib,component_rank,character_rule,component_size,lookback_min,hold_min,dev_n,dev_wr,dev_net,dev_exp,dev_pf,dev_dd,dev_ls,test_n,test_wr,test_net,test_exp,test_pf,test_dd,test_ls,wr_change_pp,exp_retention,pf_retention,dd_cap,ls_warning_threshold,risk_clustering_warning,economically_viable,performance_stable
0,1,EFF_LOW__RANGE_MID,7,60,240,75,0.6533333333333333,200.8956886119713,2.678609181492951,2.574069860819149,31.297816526010504,8,94,0.43617021276595747,-91.63354385205588,-0.9748249345963391,0.5209834482639031,108.80366832334833,11,-21.716312056737586,-0.36392951287242664,0.20239677881085558,66.94672478901575,12,False,False,False
0,1,EFF_LOW__RANGE_MID,7,180,240,92,0.5652173913043478,286.61779651727795,3.115410831709543,2.946572411649569,58.509300689614726,10,89,0.33707865168539325,-60.76328733204932,-0.6827335655286441,0.6818043339963584,116.32478906780065,28,-22.813873961895453,-0.21914720157598044,0.2313889627489814,107.76395103442209,14,True,False,False
0,1,EFF_LOW__RANGE_MID,7,60,360,75,0.6,262.41659992808195,3.498887999041093,2.6316261618251744,47.49929145476926,7,94,0.4148936170212766,-120.39521307721128,-1.280800139119269,0.4786641134374682,132.23052766249248,11,-18.51063829787234,-0.36605919922852226,0.18188909974412507,91.2489371821539,12,False,False,False
0,1,EFF_LOW__RANGE_MID,7,120,360,80,0.55,160.90035840797916,2.01125448009974,1.939513797406237,32.6578903821071,5,96,0.3854166666666667,-102.3660205337026,-1.0663127138927353,0.527209521288093,147.2561202695141,11,-16.458333333333336,-0.5301729465084178,0.2718256101055554,68.98683557316065,12,False,False,False
0,1,EFF_LOW__RANGE_MID,7,180,360,92,0.6413043478260869,375.4396783997311,4.080866069562295,3.341813230541273,38.9947139281828,8,89,0.39325842696629215,37.75736990164777,0.4242401112544693,1.224377653957349,116.47693646656569,28,-24.804592085979476,0.10395835198286045,0.3663812336271817,78.4920708922742,12,True,False,False
0,1,EFF_LOW__RANGE_MID,7,60,480,75,0.5866666666666667,224.76207340407728,2.996827645387697,2.231113455854336,72.01584470381835,8,94,0.4574468085106383,-92.48275972589462,-0.9838591460201556,0.6483294761593559,114.48990789639345,8,-12.921985815602838,-0.32830021023543865,0.2905856152040005,128.02376705572752,12,False,False,False
0,1,EFF_LOW__RANGE_MID,7,180,480,92,0.6086956521739131,296.6620914364032,3.2245879503956867,2.6282146007157854,44.21463437933811,7,89,0.4044943820224719,60.635697912592505,0.6812999765459832,1.3214122581022005,124.37059865461033,28,-20.420127015144118,0.2112828017180866,0.5027794373192807,86.32195156900715,12,True,False,False
0,2,DRIVE_UP__RV_MID,5,180,240,101,0.5643564356435643,149.63580453654615,1.4815426191737244,1.9362959963412625,57.877446926218,7,106,0.44339622641509435,-82.25785583906237,-0.7760175079156828,0.537920359699604,86.48236105593374,9,-12.096020922846995,-0.5237902020992672,0.2778089510674163,106.816170389327,12,False,False,False
0,2,DRIVE_UP__RV_MID,5,180,360,101,0.6435643564356436,155.1601501238218,1.5362391101368496,1.7468577575775752,65.82424814604221,6,106,0.4716981132075472,-60.050837110069054,-0.5665173312270666,0.7126226042550263,88.43651965803629,8,-17.186624322809642,-0.36876898100621897,0.40794541007348156,118.73637221906331,12,False,False,False
0,2,DRIVE_UP__RV_MID,5,240,360,124,0.6209677419354839,301.4219381228771,2.430822081636106,1.81956328295217,94.97511029857328,8,98,0.30612244897959184,-193.38121832077607,-1.9732777379671027,0.3068250322256967,193.63855872957774,12,-31.484529295589205,-0.8117738245322154,0.16862564501075505,160.0,12,False,False,False
0,2,DRIVE_UP__RV_MID,5,180,480,101,0.594059405940594,136.18184627631993,1.348335111646732,1.5122355177481768,70.10219224765831,8,106,0.46226415094339623,-38.523532720833146,-0.363429553970124,0.838409380822049,89.25941759524575,9,-13.17952549971978,-0.26953948675731265,0.5544171995579753,125.15328837148746,12,False,False,False
0,2,DRIVE_UP__RV_MID,5,240,480,124,0.6209677419354839,339.62848260733824,2.738939375865631,1.8969721127860768,103.21538962569264,6,98,0.336734693877551,-140.15176990555727,-1.430120101077115,0.4682556327402638,140.15176990555727,11,-28.423304805793286,-0.5221437588866424,0.24684370929024269,160.0,12,False,False,False
0,3,DRIVE_UP__RANGE_MID,4,180,360,138,0.5942028985507246,311.44998713886207,2.256883964774363,2.113520306196368,116.14196811238412,7,122,0.4262295081967213,30.032365108875346,0.24616692712192906,1.1358751074226128,97.82424841486448,15,-16.797339035400334,0.10907380749924384,0.5374327864712165,160.0,12,True,False,False
0,3,DRIVE_UP__RANGE_MID,4,120,480,112,0.5892857142857143,263.43583617367847,2.352105680122129,1.659347507114104,118.53015638078077,7,142,0.47183098591549294,106.6015996780818,0.7507154906907169,1.339817700181575,104.65370068743755,11,-11.745472837022136,0.3191674154078558,0.8074364739377303,160.0,12,False,False,False
0,3,DRIVE_UP__RANGE_MID,4,180,480,138,0.6304347826086957,399.9284225898299,2.89803204775239,2.5016907857642026,42.71181338608199,6,122,0.45081967213114754,37.602238015749364,0.30821506570286367,1.1387030717064117,112.97556006481082,15,-17.961511047754815,0.10635322888920577,0.45517338840841876,84.06772007912299,12,True,False,False
0,3,DRIVE_UP__RANGE_MID,4,240,480,128,0.609375,291.0093904972525,2.2735108632597854,1.874551779863675,118.91588792668672,7,119,0.40336134453781514,-51.535130617522626,-0.43306832451699684,0.8558050662415958,113.70284717320726,12,-20.601365546218485,-0.19048438761188,0.45653850452924455,160.0,12,False,False,False
1,1,DRIVE_UP__RANGE_MID,8,360,120,111,0.5765765765765766,237.38041382843565,2.138562286742664,2.3076521579757325,42.57633865404485,6,120,0.475,-78.0665761293348,-0.6505548010777901,0.6783767727620292,137.12410699938098,17,-10.157657657657658,-0.30420194216960494,0.2939683827206869,83.86450798106728,12,True,False,False
1,1,DRIVE_UP__RANGE_MID,8,360,240,111,0.6486486486486487,376.7059672727513,3.393747452907669,2.977023633212741,76.67003016738079,7,120,0.4583333333333333,29.72989815625107,0.24774915130209227,1.122260442426877,92.85344727514655,10,-19.031531531531538,0.0730016463334146,0.3769739782736482,135.00504525107118,12,False,False,False
1,1,DRIVE_UP__RANGE_MID,8,180,360,121,0.6363636363636364,359.14633792550154,2.9681515531033185,2.2222870108142363,88.29947458176702,7,150,0.36,-17.11761193030953,-0.1141174128687302,0.9400583908038169,152.39219323246357,16,-27.636363636363637,-0.038447299885821525,0.423013942946723,152.44921187265052,12,True,False,False
1,1,DRIVE_UP__RANGE_MID,8,240,360,143,0.5594405594405595,295.33349675935006,2.065269208107343,1.980914790615024,61.16265158476307,6,139,0.4028776978417266,-26.25917769418021,-0.1889149474401454,0.9095657421482818,141.61524798080998,13,-15.656286159883287,-0.09147231106654183,0.4591644963516501,111.7439773771446,12,True,False,False
