candidate_id,shape_rule,scale_state,lookback_min,hold_min,pooled_gate,year_gate,concentration_gate,plateau_pass,eligible,rejection_reason
ALL|NONE|LB15|H60,ALL,NONE,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
ALL|NONE|LB15|H120,ALL,NONE,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
ALL|NONE|LB15|H240,ALL,NONE,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
ALL|NONE|LB15|H360,ALL,NONE,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
ALL|NONE|LB15|H720,ALL,NONE,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
ALL|NONE|LB15|H960,ALL,NONE,15,960,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
ALL|RAW_RANGE_LB_LOW|LB15|H60,ALL,RAW_RANGE_LB_LOW,15,60,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
ALL|RAW_RANGE_LB_LOW|LB15|H120,ALL,RAW_RANGE_LB_LOW,15,120,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
ALL|RAW_RANGE_LB_LOW|LB15|H240,ALL,RAW_RANGE_LB_LOW,15,240,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
ALL|RAW_RANGE_LB_LOW|LB15|H360,ALL,RAW_RANGE_LB_LOW,15,360,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
ALL|RAW_RANGE_LB_LOW|LB15|H720,ALL,RAW_RANGE_LB_LOW,15,720,False,False,False,False,False,POOLED_GATE|YEAR_GATE|CONCENTRATION_GATE|PLATEAU_GATE
