partition,variant,n_0,wins_0,wr_0,pf_0,expectancy_0,net_0,max_ls_0,n_5,wins_5,wr_5,pf_5,expectancy_5,net_5,max_ls_5,deep_exit_n,secondary_reclaim_n,reentry_n,no_reclaim_n,missed_target_open_n,invalid_below_f50_n,salvaged_0_n,salvaged_5_n,screen_pass
external,BASE_F50,39,32,0.8205128205128205,2.079556550754464,1.5028988713368319,58.613055982136444,1,39,31,0.7948717948717948,1.801571308386853,1.1950253122275605,46.60598717687486,1,0,0,0,0,0,0,0,0,False
development,BASE_F50,41,29,0.7073170731707317,0.8960427005125791,-0.19801202500894086,-8.118493025366575,4,41,27,0.6585365853658537,0.744513858881591,-0.5263294693470624,-21.579508243229558,4,0,0,0,0,0,0,0,0,False
reference_validation,BASE_F50,15,11,0.7333333333333333,1.5297614930906913,0.8219146570996243,12.328719856494365,1,15,11,0.7333333333333333,1.3003128899296548,0.5055176385595533,7.5827645783933,1,0,0,0,0,0,0,0,0,False
august,BASE_F50,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,False
POOLED_MAJOR,BASE_F50,95,72,0.7578947368421053,1.403592078278085,0.661297713823834,62.82328281326422,4,95,69,0.7263157894736842,1.1942676210704684,0.34325519486356454,32.60924351203863,4,0,0,0,0,0,0,0,0,False
external,F80_EXIT_ONLY,39,22,0.5641025641025641,1.2947996367528274,0.4407549786036245,17.189444165541357,4,39,22,0.5641025641025641,1.0442594299802228,0.07575531927368517,2.9544574516737216,4,17,0,0,17,0,0,0,0,False
development,F80_EXIT_ONLY,41,20,0.4878048780487805,0.9153785223056097,-0.11160773803514588,-4.575917259440981,6,41,18,0.43902439024390244,0.6875291684921635,-0.49515563964012393,-20.30138122524508,7,21,0,0,21,0,0,0,0,False
reference_validation,F80_EXIT_ONLY,15,8,0.5333333333333333,1.023031259404947,0.0329778535129761,0.4946678026946415,2,15,8,0.5333333333333333,0.7998013629695989,-0.33309965983111134,-4.99649489746667,2,6,0,0,6,0,0,0,0,False
august,F80_EXIT_ONLY,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,False
POOLED_MAJOR,F80_EXIT_ONLY,95,50,0.5263157894736842,1.0979230934959947,0.1379809969346844,13.108194708795018,6,95,48,0.5052631578947369,0.8573957953350567,-0.2351938807477687,-22.343418671038027,7,44,0,0,44,0,0,0,0,False
external,F80_EXIT_REENTRY,39,25,0.6410256410256411,2.6561727151553596,1.303066880130045,50.819608325071755,2,39,24,0.6153846153846154,1.849106862775026,0.8735169665776982,34.06716169653023,2,17,10,9,7,1,0,3,2,False
development,F80_EXIT_REENTRY,41,22,0.5365853658536586,0.8172726928881677,-0.2810328320078819,-11.52234611232316,6,41,20,0.4878048780487805,0.5913886003608607,-0.7618192459165711,-31.234589082579415,7,21,14,13,7,1,0,2,2,False
reference_validation,F80_EXIT_REENTRY,15,9,0.6,2.372063714155669,0.8762407630056752,13.143611445085128,2,15,9,0.6,1.4990656802023743,0.4430551722455468,6.645827583683202,2,6,4,4,2,0,0,1,1,False
august,F80_EXIT_REENTRY,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,False
POOLED_MAJOR,F80_EXIT_REENTRY,95,56,0.5894736842105263,1.5075478965836344,0.5520091963982499,52.440873657833734,6,95,53,0.5578947368421052,1.0729789630229765,0.09977263365930547,9.47840019763402,7,44,28,26,16,2,0,6,5,False
external,F75_EXIT_ONLY,39,27,0.6923076923076923,1.8717243559181032,1.1947098526363307,46.5936842528169,2,39,26,0.6666666666666666,1.5575439191833416,0.854918608146165,33.34182571770044,2,11,0,0,11,0,0,0,0,False
development,F75_EXIT_ONLY,41,24,0.5853658536585366,1.0482268108109778,0.0686580783795033,2.8149812135596353,6,41,22,0.5365853658536586,0.8229004863130172,-0.2905300079433352,-11.911730325676745,7,17,0,0,17,0,0,0,0,False
reference_validation,F75_EXIT_ONLY,15,10,0.6666666666666666,1.5058101247271525,0.6733828379000979,10.100742568501468,1,15,10,0.6666666666666666,1.227355186324198,0.340278346570744,5.10417519856116,1,4,0,0,4,0,0,0,0,False
august,F75_EXIT_ONLY,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,False
POOLED_MAJOR,F75_EXIT_ONLY,95,61,0.6421052631578947,1.4515503454662333,0.6264148214197686,59.509408034878014,6,95,58,0.6105263157894737,1.1774730177911985,0.2793081114798406,26.534270590584857,7,32,0,0,32,0,0,0,0,False
external,F75_EXIT_REENTRY,39,27,0.6923076923076923,2.433227193514201,1.51097589124977,58.92805975874103,2,39,26,0.6666666666666666,1.921532015236217,1.145377878662813,44.66973726784971,2,11,5,4,6,1,0,0,0,False
development,F75_EXIT_REENTRY,41,24,0.5853658536585366,0.8184018627744527,-0.33113351897858556,-13.576474278122008,6,41,22,0.5365853658536586,0.6388808811282495,-0.7630474345973892,-31.28494481849296,7,17,10,9,7,1,0,0,0,False
reference_validation,F75_EXIT_REENTRY,15,10,0.6666666666666666,2.435343085018813,1.181517904916483,17.722768573747246,1,15,10,0.6666666666666666,1.7971638278046962,0.814816144688063,12.222242170320945,1,4,2,2,2,0,0,0,0,False
august,F75_EXIT_REENTRY,0,0,,,,0.0,0,0,0,,,,0.0,0,0,0,0,0,0,0,0,0,False
POOLED_MAJOR,F75_EXIT_REENTRY,95,61,0.6421052631578947,1.4919070096819973,0.6639405689933292,63.074354054366275,6,95,58,0.6105263157894737,1.1702156131199155,0.26954773283871264,25.6070346196777,7,32,17,15,15,2,0,0,0,False
