group,feature,n,wins,losses,winner_median,loser_median,median_diff,auc,spearman_r,anatomy_score
SCORE_3,oi_value,168,103,65,751991632.5099,864759998.553,-112768366.0431,0.4621359223300971,0.004319433087656989,3
SCORE_4,oi_value,20,12,8,670148600.9024445,743257271.480419,-73108670.57797456,0.5208333333333334,-0.029518803835301366,4
SCORE_3,top_position_ratio,168,103,65,1.829061,1.912331,-0.08326999999999996,0.47423450336071693,0.00801665138815671,3
SCORE_4,top_position_ratio,20,12,8,1.741314615,1.6872835,0.05403111500000013,0.5416666666666666,-0.017089833799385,4
SCORE_3,top_account_ratio,168,103,65,2.63252058,2.98691677,-0.3543961900000001,0.42419716206123975,-0.10638326985141719,3
SCORE_4,top_account_ratio,20,12,8,2.78838445,3.111204657896608,-0.32282020789660804,0.4791666666666667,-0.16934471673936047,4
SCORE_3,global_account_ratio,168,103,65,2.53424176,2.7975767,-0.26333494,0.4167289021657954,-0.1084315545544815,3
SCORE_4,global_account_ratio,20,12,8,2.72894752,3.038805576772793,-0.3098580567727929,0.4791666666666667,-0.15691574670344413,4
SCORE_3,taker_ratio,168,103,65,0.9930580465,1.004614,-0.011555953499999938,0.46616878267363704,-0.03136967346183578,3
SCORE_4,taker_ratio,20,12,8,0.9423,1.1997441009499998,-0.2574441009499998,0.3333333333333333,-0.06059122892509227,4
SCORE_3,oi_change_1h,168,103,65,0.0007470583305484446,6.29376935268322e-05,0.0006841206370216124,0.5064973861090366,0.04427515532051388,3
SCORE_4,oi_change_1h,20,12,8,0.007911174560005452,0.018380266680902424,-0.010469092120896972,0.3020833333333333,-0.5460978709530753,4
SCORE_3,oi_change_4h,168,103,65,-0.0007480913842659032,0.00029933152698391474,-0.001047422911249818,0.4879761015683346,0.011845269084702063,3
SCORE_4,oi_change_4h,20,12,8,-0.0019809709577947032,0.003169973920778224,-0.005150944878572927,0.4895833333333333,-0.28353587894434207,4
SCORE_3,taker_log,168,103,65,-0.006966160955602958,0.004603388131587038,-0.011569549087189997,0.46616878267363704,-0.03136967346183578,3
SCORE_4,taker_log,20,12,8,-0.059673138073242434,0.1797480010293197,-0.23942113910256213,0.3333333333333333,-0.06059122892509227,4
SCORE_3,global_log,168,103,65,0.9298944838200204,1.0287535781650028,-0.09885909434498241,0.4167289021657954,-0.1084315545544815,3
SCORE_4,global_log,20,12,8,1.0026176866073815,1.109970039805127,-0.10735235319774561,0.4791666666666667,-0.15691574670344413,4
SCORE_3,top_position_log,168,103,65,0.6038027204108064,0.6483229168009758,-0.04452019639016935,0.47423450336071693,0.00801665138815671,3
SCORE_4,top_position_log,20,12,8,0.5544339782074171,0.5211407646467873,0.033293213560629864,0.5416666666666666,-0.017089833799385,4
SCORE_3,sweep_taker_pressure,168,103,65,-0.3092203651440637,-0.33291238043470145,0.023692015290637747,0.4700522778192681,-0.09919494995009719,3
SCORE_4,sweep_taker_pressure,20,12,8,0.059673138073242434,-0.1797480010293197,0.23942113910256213,0.6666666666666666,0.06059122892509227,4
SCORE_3,sweep_crowd_pressure,168,103,65,0.19006434652277285,0.06736735045443172,0.12269699606834113,0.5324869305451829,0.07954429909440981,3
SCORE_4,sweep_crowd_pressure,20,12,8,-1.0026176866073815,-1.109970039805127,0.10735235319774561,0.5208333333333334,0.15691574670344413,4
SCORE_3,sweep_top_position_pressure,168,103,65,0.010965977147296933,0.05701036176967062,-0.04604438462237369,0.5272591486183719,0.05466601344310299,3
SCORE_4,sweep_top_position_pressure,20,12,8,-0.5544339782074171,-0.5211407646467873,-0.033293213560629864,0.4583333333333333,0.017089833799385,4
SCORE_3,oi_trap_interaction_1h,168,103,65,2.8146335434644414e-05,-7.25840205981163e-06,3.540473749445604e-05,0.5214339058999253,-0.02272307791028382,3
SCORE_4,oi_trap_interaction_1h,20,12,8,0.0009559318533142025,-0.0020953352019961913,0.0030512670553103937,0.7604166666666666,0.22605189252822888,4
