role,partition,ref_min,hour,family,target_R,n,trades_per_week,wr,pf,expectancy,net,max_loss_streak,wr_5bps,pf_5bps,expectancy_5bps,net_5bps
CENTRAL,development,240,18,E0_RESTING_H,0.4,617,3.940693430656934,0.4473257698541329,1.2550691869355153,0.5090111202001759,314.0598611635086,9,0.44084278768233387,1.121344329655932,0.25901112020017586,159.80986116350851
CENTRAL,external,240,18,E0_RESTING_H,0.4,273,2.6142270861833103,0.3626373626373626,1.4613144390506514,1.2730138531886892,347.53278192051215,9,0.358974358974359,1.3504630216354852,1.023013853188689,279.2827819205121
CENTRAL,reference_validation,240,18,E0_RESTING_H,0.4,317,3.859130434782609,0.3753943217665615,1.1643764429813133,0.2585418298348701,81.95776005765383,9,0.3722397476340694,1.0049383410354147,0.008541829834870033,2.7077600576538003
CLOCK_SUPPORT,external,240,17,E0_RESTING_H,0.4,284,2.719562243502052,0.3626760563380282,1.5218877731447313,1.3558101874931106,385.05009324804337,7,0.3591549295774648,1.4010366731454442,1.1058101874931106,314.05009324804337
CLOCK_SUPPORT,reference_validation,240,17,E0_RESTING_H,0.4,316,3.8469565217391306,0.41455696202531644,1.5820419881343986,0.7358303516587266,232.5223911241576,8,0.41139240506329117,1.3442699311538233,0.48583035165872646,153.52239112415756
REF_SUPPORT,external,180,18,E0_RESTING_H,0.4,300,2.8727770177838576,0.4,1.4152548646085699,1.1276291275731258,338.28873827193775,10,0.39,1.3061359635095888,0.8776291275731254,263.28873827193763
REF_SUPPORT,reference_validation,180,18,E0_RESTING_H,0.4,349,4.248695652173914,0.42406876790830944,1.2263358721866247,0.31187162500713994,108.84319712749185,8,0.4154727793696275,1.040622214954789,0.06187162500713995,21.59319712749184
