role,partition,n,eventual_E40_n,eventual_E40_rate,winner_e10_retest_rate,winner_e05_retest_rate,all_e10_retest_rate,all_e05_retest_rate,e10_retest_to_E40_rate,e05_retest_to_E40_rate,median_e10_retest_min,median_e05_retest_min,median_min_low_R_E40,median_min_low_R_nonE40
CENTRAL,development,27,16,0.5925925925925926,0.0625,0.0625,0.4444444444444444,0.4444444444444444,0.08333333333333333,0.08333333333333333,10.0,15.0,0.15442956807222546,-0.044560943643512756
CENTRAL,external,19,10,0.5263157894736842,0.4,0.2,0.6842105263157895,0.5789473684210527,0.3076923076923077,0.18181818181818182,10.0,10.0,0.169068279943768,-0.07288323510532782
CENTRAL,reference_validation,13,8,0.6153846153846154,0.375,0.25,0.6153846153846154,0.5384615384615384,0.375,0.2857142857142857,7.5,10.0,0.12145901385653346,-0.06976744186046781
CLOCK_SUPPORT,development,34,15,0.4411764705882353,0.3333333333333333,0.06666666666666667,0.7058823529411765,0.5882352941176471,0.20833333333333334,0.05,10.0,15.0,0.14373716632443284,-0.04678362573099148
CLOCK_SUPPORT,external,18,10,0.5555555555555556,0.3,0.1,0.6111111111111112,0.5,0.2727272727272727,0.1111111111111111,5.0,10.0,0.13359935516612143,-0.06346720411583631
CLOCK_SUPPORT,reference_validation,21,11,0.5238095238095238,0.45454545454545453,0.36363636363636365,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.2857142857142857,10.0,12.5,0.06299212598426202,-0.06171761280931469
REF_SUPPORT,development,27,13,0.48148148148148145,0.15384615384615385,0.07692307692307693,0.5925925925925926,0.5555555555555556,0.125,0.06666666666666667,7.5,15.0,0.14373716632443284,-0.04516376701626384
REF_SUPPORT,external,17,9,0.5294117647058824,0.3333333333333333,0.2222222222222222,0.6470588235294118,0.5882352941176471,0.2727272727272727,0.2,10.0,10.0,0.14834416468848488,-0.08986754347858969
REF_SUPPORT,reference_validation,14,8,0.5714285714285714,0.375,0.25,0.6428571428571429,0.5714285714285714,0.3333333333333333,0.25,10.0,12.5,0.12145901385653346,-0.07892517170743257
