clock_min,reference_start_utc,execution_start_utc,execution_end_utc,partition,days,k1_opp0,clean_windows,f85_touches,trades,wins,wr,pf,expectancy,total_net,tp_rate,time_exit_rate
0,00:00,05:30,12:00,external,523,89,63,37,20,18,0.9,4.045765818209395,2.065276400456811,41.305528009136225,0.7,0.2
0,00:00,05:30,12:00,development,782,156,110,72,33,17,0.5151515151515151,0.9554663963098414,-0.050879761025048285,-1.6790321138265933,0.5151515151515151,0.3333333333333333
0,00:00,05:30,12:00,reference_validation,411,78,56,34,17,14,0.8235294117647058,1.46216538941665,0.27659763966711776,4.702159874341002,0.6470588235294118,0.23529411764705882
0,00:00,05:30,12:00,august,14,2,2,0,0,0,,,,0.0,,
30,00:30,06:00,12:30,external,523,111,87,53,30,22,0.7333333333333333,2.0286037966193144,1.2640409776857398,37.921229330572196,0.5666666666666667,0.23333333333333334
30,00:30,06:00,12:30,development,782,160,114,75,32,15,0.46875,0.6322416462512755,-0.4623567201960672,-14.795415046274151,0.375,0.4375
30,00:30,06:00,12:30,reference_validation,411,83,60,34,15,11,0.7333333333333333,1.211734875834045,0.16632025050759416,2.4948037576139126,0.5333333333333333,0.26666666666666666
30,00:30,06:00,12:30,august,14,3,2,0,0,0,,,,0.0,,
60,01:00,06:30,13:00,external,523,113,79,51,18,13,0.7222222222222222,1.834511914401337,0.9381337532618083,16.88640755871255,0.6666666666666666,0.16666666666666666
60,01:00,06:30,13:00,development,782,186,137,87,29,15,0.5172413793103449,0.8071230981243367,-0.2639578317227448,-7.654777119959598,0.41379310344827586,0.3793103448275862
60,01:00,06:30,13:00,reference_validation,411,84,59,36,20,12,0.6,1.1525071978312749,0.13517434820668792,2.7034869641337584,0.6,0.2
60,01:00,06:30,13:00,august,14,3,2,1,0,0,,,,0.0,,
90,01:30,07:00,13:30,external,523,109,74,47,21,15,0.7142857142857143,1.0852108190067378,0.17888438777250898,3.7565721432226886,0.6666666666666666,0.047619047619047616
90,01:30,07:00,13:30,development,782,179,130,83,44,31,0.7045454545454546,1.761723469934863,0.5103507358375997,22.455432376854386,0.5681818181818182,0.38636363636363635
90,01:30,07:00,13:30,reference_validation,411,97,68,42,19,13,0.6842105263157895,0.7272896931669918,-0.2542875513379192,-4.831463475420465,0.5263157894736842,0.2631578947368421
90,01:30,07:00,13:30,august,14,1,1,1,0,0,,,,0.0,,
120,02:00,07:30,14:00,external,523,116,75,42,20,13,0.65,0.8997611885306215,-0.2285218018765936,-4.570436037531872,0.55,0.1
120,02:00,07:30,14:00,development,782,193,139,89,49,31,0.6326530612244898,0.8526418538262724,-0.22967922827183074,-11.254282185319706,0.6122448979591837,0.1836734693877551
120,02:00,07:30,14:00,reference_validation,411,100,70,43,21,13,0.6190476190476191,1.2543578376555717,0.20080771911929277,4.216962101505148,0.5714285714285714,0.23809523809523808
120,02:00,07:30,14:00,august,14,0,0,0,0,0,,,,0.0,,
150,02:30,08:00,14:30,external,523,131,95,63,25,14,0.56,0.6229648312769809,-1.2652903161719116,-31.63225790429779,0.56,0.12
150,02:30,08:00,14:30,development,782,203,142,96,39,24,0.6153846153846154,0.5787725887242948,-0.7698904361807791,-30.025727011050385,0.6153846153846154,0.1282051282051282
150,02:30,08:00,14:30,reference_validation,411,101,66,40,15,9,0.6,0.6805684312725184,-0.36394154261440953,-5.459123139216143,0.5333333333333333,0.13333333333333333
150,02:30,08:00,14:30,august,14,1,1,1,0,0,,,,0.0,,
180,03:00,08:30,15:00,external,523,128,87,61,26,16,0.6153846153846154,1.1249786343300832,0.3790406319071952,9.855056429587076,0.5769230769230769,0.15384615384615385
180,03:00,08:30,15:00,development,782,201,142,93,30,20,0.6666666666666666,0.7302146160563356,-0.5021138907253009,-15.063416721759028,0.6333333333333333,0.1
180,03:00,08:30,15:00,reference_validation,411,106,75,44,17,11,0.6470588235294118,1.216187985799744,0.1805785574599589,3.0698354768193012,0.6470588235294118,0.11764705882352941
180,03:00,08:30,15:00,august,14,2,1,1,0,0,,,,0.0,,
