anchor_hour_wib,local_date,weekday,reference_start_utc,reference_end_utc,execution_start_utc,execution_end_utc,H,L,R,qualified,reason,hi_visits,lo_visits,k1_start,k1_signal,leave,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2
22,2022-01-01,Saturday,2022-01-01 15:00:00+00:00,2022-01-01 19:00:00+00:00,2022-01-01 19:00:00+00:00,2022-01-01 23:00:00+00:00,525.4,516.06,9.340000000000032,True,,1,0,2022-01-01 20:15:00+00:00,2022-01-01 20:20:00+00:00,False,,,BREAK_DURING_K1,2022-01-01 20:20:00+00:00,
22,2022-01-02,Sunday,2022-01-02 15:00:00+00:00,2022-01-02 19:00:00+00:00,2022-01-02 19:00:00+00:00,2022-01-02 23:00:00+00:00,533.9,523.0,10.899999999999977,False,NO_K1,0,0,,,False,,,NO_K1,,
22,2022-01-03,Monday,2022-01-03 15:00:00+00:00,2022-01-03 19:00:00+00:00,2022-01-03 19:00:00+00:00,2022-01-03 23:00:00+00:00,530.41,516.5,13.909999999999968,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-03 19:05:00+00:00,
22,2022-01-04,Tuesday,2022-01-04 15:00:00+00:00,2022-01-04 19:00:00+00:00,2022-01-04 19:00:00+00:00,2022-01-04 23:00:00+00:00,519.82,505.79,14.03000000000003,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-04 19:00:00+00:00,
22,2022-01-05,Wednesday,2022-01-05 15:00:00+00:00,2022-01-05 19:00:00+00:00,2022-01-05 19:00:00+00:00,2022-01-05 23:00:00+00:00,513.53,504.0,9.529999999999973,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-05 19:35:00+00:00,
22,2022-01-06,Thursday,2022-01-06 15:00:00+00:00,2022-01-06 19:00:00+00:00,2022-01-06 19:00:00+00:00,2022-01-06 23:00:00+00:00,480.96,466.23,14.729999999999961,False,NO_K1,0,0,,,False,,,NO_K1,,
22,2022-01-07,Friday,2022-01-07 15:00:00+00:00,2022-01-07 19:00:00+00:00,2022-01-07 19:00:00+00:00,2022-01-07 23:00:00+00:00,454.61,438.24,16.370000000000005,False,NO_K1,0,0,,,False,,,NO_K1,,
22,2022-01-08,Saturday,2022-01-08 15:00:00+00:00,2022-01-08 19:00:00+00:00,2022-01-08 19:00:00+00:00,2022-01-08 23:00:00+00:00,451.5,415.46,36.04000000000002,False,NO_K1,0,0,,,False,,,NO_K1,,
22,2022-01-09,Sunday,2022-01-09 15:00:00+00:00,2022-01-09 19:00:00+00:00,2022-01-09 19:00:00+00:00,2022-01-09 23:00:00+00:00,441.92,426.75,15.170000000000016,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-09 19:25:00+00:00,
22,2022-01-10,Monday,2022-01-10 15:00:00+00:00,2022-01-10 19:00:00+00:00,2022-01-10 19:00:00+00:00,2022-01-10 23:00:00+00:00,427.95,411.05,16.899999999999977,False,NO_K1,0,0,,,False,,,NO_K1,,
22,2022-01-11,Tuesday,2022-01-11 15:00:00+00:00,2022-01-11 19:00:00+00:00,2022-01-11 19:00:00+00:00,2022-01-11 23:00:00+00:00,467.4,448.72,18.67999999999995,False,NO_K1,0,0,,,False,,,NO_K1,,
