partition,timeframe,armed_cycles,entry_cycles,no_trade_rate,n,wr,pf,mean_ret,median_ret,median_winner,median_loser,median_mfe,median_mae,p10_mae,median_hold_minutes,mean_gross_usd,fee_wr,fee_pf,mean_fee_usd,max_losing_streak,mae_le_0p5,mae_le_1p0,mae_le_1p5,mae_le_1p8,bear_cross_exit_rate,force_close_rate
external,5m,2182,1956,0.10357470210815767,1956,0.2960122699386503,1.151374983092367,0.0006661644001332749,-0.0029596206159844263,0.008891436534840702,-0.004750141382044548,0.006483018693437148,-0.0053843166239307405,-0.014724939279455451,190.0,0.3330822000666374,0.2724948875255624,0.9730889756127591,-0.06691779993336251,15,0.5378323108384458,0.21881390593047034,0.09560327198364008,0.05674846625766871,1.0,0.0
development,5m,3423,3060,0.10604732690622265,3060,0.257516339869281,1.035438488404072,0.00010835829988008254,-0.0020037409099735726,0.005714718226281779,-0.0030717151776027962,0.0038464471518094845,-0.0035875998882865523,-0.009888360459187229,185.0,0.05417914994004129,0.2218954248366013,0.8114150737916812,-0.3458208500599587,23,0.34673202614379084,0.09869281045751634,0.036601307189542485,0.021895424836601306,1.0,0.0
reference_validation,5m,1703,1534,0.0992366412213741,1534,0.27835723598435463,0.9802404744958905,-5.3652605337192516e-05,-0.0018748099414418462,0.005374175510403312,-0.0028755181370082594,0.003321873231670991,-0.0032484379162712185,-0.008512414587839323,180.0,-0.026826302668596258,0.24119947848761408,0.741881006344918,-0.4268263026685963,23,0.29986962190352023,0.06844850065189048,0.01955671447196871,0.009778357235984355,0.999348109517601,0.000651890482398957
august,5m,56,54,0.0357142857142857,54,0.35185185185185186,2.5943780956293514,0.001962367877814827,-0.0007589058345652822,0.003730584005968929,-0.001466548399940315,0.00248323955616081,-0.001625207937868467,-0.004897953754480722,255.0,0.9811839389074133,0.25925925925925924,1.6535443564139192,0.5811839389074134,5,0.09259259259259259,0.018518518518518517,0.0,0.0,0.9814814814814815,0.018518518518518517
external,15m,690,629,0.08840579710144925,629,0.32432432432432434,1.3152504820397217,0.002487634389834699,-0.005342803684238118,0.020120063312891512,-0.008926261716643014,0.011425250348456206,-0.00998303214901386,-0.02514165066106868,585.0,1.2438171949173495,0.30842607313195547,1.2000250428160955,0.8438171949173495,12,0.7551669316375199,0.49920508744038156,0.28298887122416533,0.20508744038155802,1.0,0.0
development,15m,1044,933,0.10632183908045978,933,0.2915326902465166,1.1757471861357551,0.00100035175433403,-0.0035040910707931916,0.011113977739743208,-0.005889732518477686,0.007486218727111638,-0.006995305164319343,-0.019872109011936166,555.0,0.500175877167015,0.2754555198285102,1.031971099630343,0.10017587716701501,13,0.6345123258306538,0.33762057877813506,0.16934619506966775,0.1232583065380493,1.0,0.0
reference_validation,15m,539,484,0.10204081632653061,484,0.31611570247933884,1.0285811287834383,0.00013873224941006858,-0.003249122367960433,0.010625322241802682,-0.005532434738897196,0.007666315986483707,-0.006153086416177067,-0.01534894977695841,592.5,0.0693661247050344,0.29132231404958675,0.8777549769593747,-0.3306338752949657,11,0.5702479338842975,0.24380165289256198,0.10950413223140495,0.07231404958677685,1.0,0.0
august,15m,24,21,0.125,21,0.2857142857142857,2.9303508885969602,0.004816296692497073,-0.0018353747301842471,0.0046217276784110695,-0.002856363889980784,0.004263021304286685,-0.003545443772958956,-0.007526963079260929,495.0,2.4081483462485367,0.23809523809523808,2.2950949711444153,2.0081483462485368,9,0.3333333333333333,0.047619047619047616,0.0,0.0,0.9523809523809523,0.047619047619047616
external,1h,144,135,0.0625,135,0.35555555555555557,1.9394738095303852,0.014262803991300406,-0.010268876438505825,0.05864233401864438,-0.021055987900032158,0.030213829029716255,-0.02035875007371235,-0.04968964582307582,3000.0,7.1314019956502035,0.34814814814814815,1.8576107138288727,6.731401995650204,11,0.9259259259259259,0.762962962962963,0.6370370370370371,0.5555555555555556,1.0,0.0
development,1h,254,230,0.09448818897637801,230,0.30434782608695654,1.4129964042417382,0.004770663699181227,-0.0083719679061654,0.029384114269864203,-0.01291312936647343,0.016313543429342214,-0.016564011806868284,-0.04085213140343894,2070.0,2.3853318495906137,0.29130434782608694,1.327769368737337,1.9853318495906132,16,0.8826086956521739,0.7391304347826086,0.5521739130434783,0.45217391304347826,0.9956521739130435,0.004347826086956522
