hour_wib,component_rank,character_rule,raw_component_id,component_size,lookback_min,hold_min,dev_n,dev_wr,dev_net,dev_exp,dev_pf,dev_dd,dev_ls,dev_H1_exp,dev_H1_pf,dev_H2_exp,dev_H2_pf,dev_min_half_exp,dev_positive_anchors
0,1,EFF_LOW__RANGE_MID,1,7,60,240,75,0.6533333333333333,200.8956886119713,2.678609181492951,2.574069860819149,31.297816526010504,8,1.2589814496382776,1.571896933879057,3.73507633078015,3.808673369960515,1.2589814496382776,4
0,1,EFF_LOW__RANGE_MID,1,7,180,240,92,0.5652173913043478,286.61779651727795,3.115410831709543,2.946572411649569,58.509300689614726,10,0.8445110794439444,1.386316535277964,4.326557366251195,4.358764067345989,0.8445110794439444,4
0,1,EFF_LOW__RANGE_MID,1,7,60,360,75,0.6,262.41659992808195,3.498887999041093,2.6316261618251744,47.49929145476926,7,1.7264388384627531,1.6315045046769965,4.817919932494739,3.824483767760808,1.7264388384627531,4
0,1,EFF_LOW__RANGE_MID,1,7,120,360,80,0.55,160.90035840797916,2.01125448009974,1.939513797406237,32.6578903821071,5,0.5681946288358877,1.2010039205528014,3.191939812951981,3.020943030894669,0.5681946288358877,4
0,1,EFF_LOW__RANGE_MID,1,7,180,360,92,0.6413043478260869,375.4396783997311,4.080866069562295,3.341813230541273,38.9947139281828,8,1.7799557054769437,1.8621461969061524,5.308018263741148,4.378964918229273,1.7799557054769437,4
0,1,EFF_LOW__RANGE_MID,1,7,60,480,75,0.5866666666666667,224.76207340407728,2.996827645387697,2.231113455854336,72.01584470381835,8,0.655072389471614,1.1710619968291052,4.10647473779517,3.7652876957392,0.655072389471614,4
0,1,EFF_LOW__RANGE_MID,1,7,180,480,92,0.6086956521739131,296.6620914364032,3.2245879503956867,2.6282146007157854,44.21463437933811,7,0.5906252231520278,1.238849558041427,4.629368071592304,3.694848110339584,0.5906252231520278,4
0,2,DRIVE_UP__RV_MID,1,5,180,240,101,0.5643564356435643,149.63580453654615,1.4815426191737244,1.9362959963412625,57.877446926218,7,1.3175828819934918,1.8434445322723223,1.6132959794078403,2.00920840887042,1.3175828819934918,4
0,2,DRIVE_UP__RV_MID,1,5,180,360,101,0.6435643564356436,155.1601501238218,1.5362391101368496,1.7468577575775752,65.82424814604221,6,2.507209069793908,2.289639108816369,0.7559953925552847,1.352019454429209,0.7559953925552847,4
0,2,DRIVE_UP__RV_MID,1,5,240,360,124,0.6209677419354839,301.4219381228771,2.430822081636106,1.81956328295217,94.97511029857328,8,0.5930487623257579,1.1726042418081752,3.514637116101184,2.307099910287563,0.5930487623257579,4
