cohort,partition,n,fixed_wr,fixed_pf,fixed_exp,fixed_net,hybrid_wr,hybrid_pf,hybrid_exp,hybrid_net,delta_exp,delta_net,e10_reach_rate,floor_exit_rate,hybrid_max_ls
BLIND_F75,external,42,0.7142857142857143,1.4937252540814725,1.0820025397570507,45.44410666979613,0.7142857142857143,1.6198404929310384,1.3583850168721057,57.05217070862844,0.2763824771150549,11.60806403883231,0.6904761904761905,0.6904761904761905,2
BLIND_F75,development,65,0.6923076923076923,1.0816821753098027,0.1740334279544217,11.31217281703741,0.6923076923076923,1.2473104846538154,0.5269239127157234,34.25005432652202,0.3528904847613017,22.93788150948461,0.6461538461538462,0.6461538461538462,3
BLIND_F75,reference_validation,31,0.6774193548387096,1.0195257176567534,0.05568521199229957,1.7262415717612867,0.6774193548387096,0.923147109624078,-0.21917604095457813,-6.794457269591922,-0.2748612529468777,-8.520698841353209,0.6774193548387096,0.6774193548387096,3
BLIND_F75,august,2,0.5,0.8054273022597641,-0.5941014782277101,-1.1882029564554202,0.5,0.8054273022597641,-0.5941014782277101,-1.1882029564554202,0.0,0.0,0.5,0.5,1
EARLY_RECLAIM,external,40,0.725,1.2116646147944852,0.500472939163756,20.01891756655024,0.725,1.3343994943158175,0.7906748982942013,31.626995931768054,0.29020195913044533,11.608078365217814,0.7,0.7,2
EARLY_RECLAIM,development,54,0.7407407407407407,1.0730780510290252,0.14813544003341197,7.999313761804247,0.6851851851851852,1.0905258659128614,0.18434163957196403,9.954448536886058,0.03620619953855206,1.9551347750818113,0.7037037037037037,0.7037037037037037,3
EARLY_RECLAIM,reference_validation,28,0.7142857142857143,1.0236900427665696,0.06244981143424699,1.7485947201589158,0.6785714285714286,0.917716070150785,-0.21835384700819263,-6.113907716229393,-0.2808036584424396,-7.86250243638831,0.7142857142857143,0.7142857142857143,3
EARLY_RECLAIM,august,2,0.5,0.7603038570493219,-0.7350128170782066,-1.4700256341564133,0.5,0.7603038570493219,-0.7350128170782066,-1.4700256341564133,0.0,0.0,0.5,0.5,1
SAME_BAR_REJECTION,external,23,0.7391304347826086,1.3379078931289616,0.6421734488708912,14.769989324030497,0.7391304347826086,1.169212869095221,0.32157879099540737,7.39631219289437,-0.32059465787548386,-7.3736771311361275,0.6956521739130435,0.6956521739130435,2
SAME_BAR_REJECTION,development,31,0.6774193548387096,0.8120468331911557,-0.4560652003425683,-14.138021210619618,0.6451612903225806,0.9336322285517736,-0.16174173090039518,-5.01399365791225,0.29432346944217314,9.124027552707368,0.6129032258064516,0.6129032258064516,3
SAME_BAR_REJECTION,reference_validation,15,0.6666666666666666,0.6716721210490065,-1.059236168770871,-15.888542531563065,0.6,0.6151440576576244,-1.2542069884489246,-18.81310482673387,-0.19497081967805374,-2.924562295170805,0.6666666666666666,0.6666666666666666,2
SAME_BAR_REJECTION,august,2,0.5,0.7603038570493219,-0.7350128170782066,-1.4700256341564133,0.5,0.7603038570493219,-0.7350128170782066,-1.4700256341564133,0.0,0.0,0.5,0.5,1
