partition,variant,raw_n,ambiguous_n,n_0,wins_0,wr_0,pf_0,expectancy_0,net_0,max_ls_0,median_win_0,median_loss_0,n_5,wins_5,wr_5,pf_5,expectancy_5,net_5,max_ls_5,median_win_5,median_loss_5,target_n,floor_n,stop_n,time_n,median_hold
external,BASE_F50,39,0,39,32,0.8205128205128205,2.079556550754464,1.5028988713368319,58.613055982136444,1,2.6810271453677874,-5.9164859587572565,39,31,0.7948717948717948,1.801571308386853,1.1950253122275605,46.60598717687486,1,2.476826556395762,-5.398877407116048,30,0,3,6,45.0
development,BASE_F50,41,0,41,29,0.7073170731707317,0.8960427005125791,-0.19801202500894086,-8.118493025366575,4,2.502866001209814,-5.734202950235012,41,27,0.6585365853658537,0.744513858881591,-0.5263294693470624,-21.579508243229558,4,2.6010212834534756,-5.96574096068152,28,0,11,2,35.0
reference_validation,BASE_F50,15,0,15,11,0.7333333333333333,1.5297614930906913,0.8219146570996243,12.328719856494365,1,2.770808706746242,-7.058600970479906,15,11,0.7333333333333333,1.3003128899296548,0.5055176385595533,7.5827645783933,1,2.519349032230123,-7.551695822083554,11,0,3,1,40.0
august,BASE_F50,0,0,0,0,,,,0.0,0,,,0,0,,,,0.0,0,,,0,0,0,0,
POOLED_MAJOR,BASE_F50,95,0,95,72,0.7578947368421053,1.403592078278085,0.661297713823834,62.82328281326422,4,2.74897608199044,-5.9164859587572565,95,69,0.7263157894736842,1.1942676210704684,0.34325519486356454,32.60924351203863,4,2.519349032230123,-6.228621537990881,69,0,17,9,40.0
external,BO_FLOOR_F90,39,2,37,26,0.7027027027027027,1.8006919047511811,1.1734217492503718,43.416604722263756,3,3.4761514141290033,-2.5950611124968432,37,25,0.6756756756756757,1.5188300391871872,0.8423860490638677,31.168283815363107,3,3.2828842562121046,-2.9734229619316372,25,5,3,4,45.0
development,BO_FLOOR_F90,41,0,41,23,0.5609756097560976,0.7852803533775737,-0.3631103564095867,-14.887524612793056,4,2.325638909539807,-3.19472771356512,41,22,0.5365853658536586,0.6205378085004218,-0.7280484020894739,-29.84998448566843,4,2.1629709698898885,-3.12758070369572,22,9,9,1,20.0
reference_validation,BO_FLOOR_F90,15,0,15,6,0.4,0.6154132617166345,-0.6897007356420476,-10.345511034630714,3,3.0668925967579757,-0.8267568717937209,15,6,0.4,0.4795600516598418,-1.0885797680166989,-16.32869652025048,3,2.815284954280806,-1.326080453131195,6,6,3,0,25.0
august,BO_FLOOR_F90,0,0,0,0,,,,0.0,0,,,0,0,,,,0.0,0,,,0,0,0,0,
POOLED_MAJOR,BO_FLOOR_F90,95,2,93,55,0.5913978494623656,1.1208540595194685,0.195522248116559,18.183569074839987,4,2.770808706746242,-2.475747547186202,93,53,0.5698924731182796,0.9117621395265085,-0.16140212032855702,-15.010397190555803,6,2.7545446963843205,-2.3965150884223014,53,20,15,5,30.0
external,BO_FLOOR_F95,39,2,37,28,0.7567567567567568,1.9057223376983679,1.219790361519248,45.13224337621217,1,2.575564764074068,-3.5240960370262915,37,25,0.6756756756756757,1.591585307181272,0.8818926518945149,32.63002812009705,2,3.165794232801567,-2.169823309862778,24,6,3,4,45.0
development,BO_FLOOR_F95,41,1,40,24,0.6,0.7676897618186819,-0.3710867276150203,-14.843469104600812,3,1.8432010440361362,-4.383118763453892,40,19,0.475,0.5909281980176978,-0.7514779743824042,-30.059118975296165,4,2.2515402310942627,-1.0768924735091052,19,11,9,1,20.0
reference_validation,BO_FLOOR_F95,15,0,15,9,0.6,0.76759479110308,-0.3532267716827167,-5.29840157524075,1,1.1515476096715775,-3.5229051602025554,15,7,0.4666666666666667,0.5753836046633992,-0.7524421098684154,-11.286631648026232,3,2.519349032230123,-0.6518721917771361,6,6,3,0,20.0
august,BO_FLOOR_F95,0,0,0,0,,,,0.0,0,,,0,0,,,,0.0,0,,,0,0,0,0,
POOLED_MAJOR,BO_FLOOR_F95,95,3,92,61,0.6630434782608695,1.1830484665749699,0.27163448583011524,24.9903726963706,3,2.378612890543708,-3.7593959033207387,92,51,0.5543478260869565,0.9438488605482804,-0.09473611416549288,-8.715722503225345,6,2.519349032230123,-1.0918637736785248,49,23,15,5,27.5
external,BO_FLOOR_H,39,4,35,28,0.8,1.5151886921523918,0.7153049329843749,25.035672654453123,1,2.2085730733619306,-3.8907713615421886,35,26,0.7428571428571429,1.2240989535989701,0.33674152032780247,11.785953211473087,2,1.9648039490956064,-4.020723627194123,17,11,3,4,40.0
development,BO_FLOOR_H,41,3,38,26,0.6842105263157895,0.7946193241536899,-0.3348716030936789,-12.7251209175598,3,1.2734856916601482,-5.465437840819032,38,24,0.631578947368421,0.6005418937514695,-0.7222497702680684,-27.445491270186597,3,1.1299638765586821,-5.6877167519425065,17,11,9,1,20.0
reference_validation,BO_FLOOR_H,15,0,15,12,0.8,0.8580194751863242,-0.2124828287199507,-3.1872424307992606,1,1.1334164828817999,-7.267671691792255,15,11,0.7333333333333333,0.6093706664294806,-0.6286454783819022,-9.429682175728534,1,0.8467480581860313,-7.551695822083554,5,7,3,0,15.0
august,BO_FLOOR_H,0,0,0,0,,,,0.0,0,,,0,0,,,,0.0,0,,,0,0,0,0,
POOLED_MAJOR,BO_FLOOR_H,95,7,88,66,0.75,1.068595121374783,0.10367396938743267,9.123309306094075,3,1.5846967988771392,-5.734202950235012,88,61,0.6931818181818182,0.8274933587761991,-0.2851047753913868,-25.08922023444204,3,1.5862492698695667,-5.501987209170601,39,29,15,5,25.0
