zone,year,entries,actual_net_wr,profit_factor,avg_net_return,total_pnl_usd_500
Z00,2022,27,0.37037037037037035,0.604293726449527,-0.0013390660641647847,-18.0773918662246
Z00,2023,43,0.4186046511627907,0.7360832075601131,-0.0006647665720217879,-14.292481298468438
Z00,2024,36,0.3888888888888889,0.6612333597058845,-0.0008162001462659438,-14.691602632786992
Z04,2022,39,0.41025641025641024,0.5948182366525726,-0.001329257898529198,-25.92052902131936
Z04,2023,34,0.29411764705882354,0.2776533651529617,-0.001788601621924201,-30.40622757271142
Z04,2024,33,0.36363636363636365,0.684105085939225,-0.0009237765316625816,-15.242312772432602
Z08,2022,44,0.4318181818181818,0.5948532511839166,-0.0013626049238871694,-29.977308325517733
Z08,2023,54,0.4444444444444444,0.6231081178136382,-0.0007399499840136295,-19.978649568368
Z08,2024,45,0.3333333333333333,0.5792670282747666,-0.0014243180181260807,-32.047155407836804
Z12,2022,25,0.44,0.504541750203157,-0.0024169986344324684,-30.212482930405862
Z12,2023,37,0.40540540540540543,0.48733928024204776,-0.0013995665482278332,-25.891981142214917
Z12,2024,32,0.3125,0.23045706657210566,-0.00303900124612075,-48.624019937932005
Z16,2022,38,0.39473684210526316,0.5775781078841323,-0.001369750554379503,-26.025260533210556
Z16,2023,34,0.4411764705882353,0.5128124122884479,-0.000979874471034205,-16.65786600758149
Z16,2024,33,0.42424242424242425,0.77725882805269,-0.0006261750237350154,-10.331887891627758
Z20,2022,40,0.325,0.5908014894813604,-0.0015636504422702076,-31.273008845404156
Z20,2023,39,0.46153846153846156,0.9142478760505438,-0.00018145445498739786,-3.5383618722542596
Z20,2024,20,0.3,0.1970371606921718,-0.00376686448557325,-37.668644855732495
