clock,clock_min,standalone_n,standalone_wins,standalone_wr,standalone_pf,standalone_net,completed_windows_pass,chronological_supported,positive_portfolio_delta_windows,displaced_long_n,portfolio_supported,slip5_n,slip5_wr,slip5_pf,slip5_net,execution_supported,raw_generated_n,raw_canonical_n,raw_missing_n,raw_extra_n,raw_geometry_mismatch_n,raw_parity_supported,survivor,current_plus_clock_n,current_plus_clock_wr,current_plus_clock_pf,current_plus_clock_net,incremental_n_vs_current,incremental_net_vs_current
SHORT_0000,0,65,43,0.6615384615384615,1.6035577878325449,39.260208031403636,3,True,4,0,True,65,0.6307692307692307,1.08886685104872,6.8092427568016305,False,65,65,0,0,0,True,False,346,0.7196531791907514,2.19930863060287,405.33451524114616,63,37.84847977513522
SHORT_0300,180,67,51,0.7611940298507462,1.3294511764646464,27.28638763390911,3,True,4,0,True,67,0.7014925373134329,0.9327592627480187,-6.176257300920979,False,68,68,0,0,0,True,False,350,0.7371428571428571,2.1062597447711076,394.77242309992005,67,27.2863876339091
SHORT_0330,210,89,65,0.7303370786516854,1.092517226862038,12.08022948275763,2,False,2,0,False,89,0.6853932584269663,0.7744074257023862,-32.394327566279166,False,89,89,0,0,0,True,False,371,0.7304582210242587,1.9328536986240048,377.43472853831406,88,9.948693072303115
SHORT_0430,270,73,54,0.7397260273972602,1.1464922700242814,13.34310765363729,2,False,2,0,False,73,0.6575342465753424,0.7720075806165819,-23.13258708607501,False,73,73,0,0,0,True,False,356,0.7331460674157303,2.0430430122993593,380.8291431196482,73,13.343107653637276
SHORT_2100,1260,69,45,0.6521739130434783,1.5435809265283227,42.660082475892835,2,False,2,0,False,69,0.5652173913043478,1.0893312558668908,8.213119076672285,False,70,70,0,0,0,True,False,330,0.7151515151515152,2.1103208365354087,371.86234526265537,47,4.376309796644421
