role,partition,dev_block,execution_start,loss_class,episode_class_before_a8,lane,window_min,H,L,R,parent_pnl,parent_pnl_5bps,h2_recovery_pnl,h2_recovery_pnl_5bps,episode_pnl_before_a8,episode_pnl_before_a8_5bps,h2_exit_ts,reclaim_signal_ts,reclaim_signal_close,reentry_ts,reentry_price,a8_exit_ts,a8_exit_price,a8_exit_reason,a8_invalidation_close_ts,a8_pnl,a8_pnl_5bps,a8_won,a8_won_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps,selection_scope
CENTRAL,development,0.0,2022-01-07 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,140.65,132.98,7.670000000000016,-0.8531816565944261,-1.103181656594426,-0.7109847138286884,-0.9609847138286884,-1.5641663704231146,-2.0641663704231146,2022-01-08 01:25:00+00:00,2022-01-08 01:25:00+00:00,140.73,2022-01-08 01:30:00+00:00,140.72,2022-01-08 01:40:00+00:00,140.22,FAILED_RECLAIM,2022-01-08 01:35:00+00:00,-1.7765776009096013,-2.0265776009096017,False,False,-3.340743971332716,-4.090743971332716,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-01-12 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_TRUE_FAILURE_PROXY,RC30,30,152.13,145.52,6.609999999999985,-0.3943995267206013,-0.6443995267206013,-0.953132189574657,-1.203132189574657,-1.3475317162952583,-1.8475317162952583,2022-01-12 20:40:00+00:00,2022-01-12 20:40:00+00:00,152.31,2022-01-12 20:45:00+00:00,152.3,2022-01-12 21:00:00+00:00,151.82,FAILED_RECLAIM,2022-01-12 20:55:00+00:00,-1.5758371634931878,-1.8258371634931878,False,False,-2.923368879788446,-3.673368879788446,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-01-15 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,148.83,145.0,3.830000000000013,-0.4367399045892006,-0.6867399045892006,-0.7390983000739038,-0.9890983000739038,-1.1758382046631044,-1.6758382046631044,2022-01-16 07:20:00+00:00,2022-01-16 07:30:00+00:00,149.11,2022-01-16 07:35:00+00:00,149.08,2022-01-16 08:05:00+00:00,150.36200000000002,TARGET,,4.299704856452924,4.049704856452924,True,True,3.1238666517898195,2.3738666517898195,True,True,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-01-28 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,92.7,88.16,4.540000000000006,-3.721682847896424,-3.971682847896424,-0.4854368932039055,-0.7354368932039055,-4.20711974110033,-4.70711974110033,2022-01-28 21:40:00+00:00,2022-01-28 21:40:00+00:00,92.74,2022-01-28 21:45:00+00:00,92.75,2022-01-28 21:55:00+00:00,92.29,FAILED_RECLAIM,2022-01-28 21:50:00+00:00,-2.4797843665768093,-2.7297843665768093,False,False,-6.686904107677139,-7.436904107677139,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-01-31 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,98.77,91.13,7.640000000000001,-4.45479396577908,-4.70479396577908,-0.7593398805305074,-1.0093398805305074,-5.214133846309588,-5.714133846309588,2022-01-31 21:20:00+00:00,2022-01-31 21:20:00+00:00,99.18,2022-01-31 21:25:00+00:00,99.19,2022-02-01 01:25:00+00:00,101.826,TARGET,,13.287629801391198,13.037629801391198,True,True,8.07349595508161,7.32349595508161,True,True,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-04-07 18:00:00+00:00,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,117.53,111.66,5.8700000000000045,-1.8718625031906575,-2.121862503190658,-0.21271164808983611,-0.4627116480898361,-2.084574151280494,-2.5845741512804943,2022-04-07 19:05:00+00:00,2022-04-07 19:05:00+00:00,117.74,2022-04-07 19:10:00+00:00,117.75,2022-04-07 19:20:00+00:00,117.46,FAILED_RECLAIM,2022-04-07 19:15:00+00:00,-1.2314225053078887,-1.4814225053078887,False,False,-3.3159966565883825,-4.065996656588383,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-04-10 18:00:00+00:00,L5_BREAK_FAIL_LATE,RESIDUAL_TRUE_FAILURE_PROXY,RC30,30,114.87,110.56,4.310000000000002,-0.1305823974928066,-0.3805823974928066,-0.13058239749280665,-0.38058239749280665,-0.26116479498561324,-0.7611647949856133,2022-04-10 20:20:00+00:00,2022-04-10 20:20:00+00:00,114.89,2022-04-10 20:25:00+00:00,114.89,2022-04-10 20:45:00+00:00,114.88,FAILED_RECLAIM,2022-04-10 20:40:00+00:00,-0.04351988858908307,-0.29351988858908307,False,False,-0.3046846835746963,-1.0546846835746964,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-04-18 18:00:00+00:00,L3_BREAK_FAST_FAIL_10M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,101.18,97.01,4.170000000000002,-0.3459181656454424,-0.5959181656454424,-0.3459181656454424,-0.5959181656454424,-0.6918363312908848,-1.1918363312908848,2022-04-18 20:25:00+00:00,2022-04-18 20:25:00+00:00,101.33,2022-04-18 20:30:00+00:00,101.33,2022-04-18 20:40:00+00:00,101.01,FAILED_RECLAIM,2022-04-18 20:35:00+00:00,-1.5789993091877563,-1.8289993091877563,False,False,-2.270835640478641,-3.020835640478641,False,False,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-05-15 18:00:00+00:00,L4_BREAK_FAIL_30M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,54.78,52.16,2.6200000000000045,-0.1825483753195023,-0.4325483753195023,-4.381161007667056,-4.631161007667056,-4.563709382986558,-5.063709382986558,2022-05-15 19:30:00+00:00,2022-05-15 19:45:00+00:00,54.93,2022-05-15 19:50:00+00:00,54.93,2022-05-15 20:10:00+00:00,55.828,TARGET,,8.174039686874245,7.924039686874246,True,True,3.610330303887687,2.8603303038876877,True,True,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-05-16 18:00:00+00:00,L3_BREAK_FAST_FAIL_10M,RESIDUAL_LATENT_RECOVERABLE,RC30,30,54.88,51.8,3.0800000000000054,-0.9110787172011968,-1.161078717201197,-2.3688046647230565,-2.618804664723057,-3.2798833819242534,-3.779883381924254,2022-05-16 21:55:00+00:00,2022-05-16 21:55:00+00:00,54.96,2022-05-16 22:00:00+00:00,54.97,2022-05-16 22:30:00+00:00,54.83,FAILED_RECLAIM,2022-05-16 22:25:00+00:00,-1.2734218664726127,-1.5234218664726127,False,False,-4.553305248396866,-5.303305248396867,False,False,DEVELOPMENT_FROZEN_WINNER
