clock,window,start,end,completed_gate_window,short_n,short_wins,short_wr,short_pf,short_expectancy,short_net,window_pass,long_only_n,long_only_wr,long_only_pf,long_only_net,portfolio_n,portfolio_wr,portfolio_pf,portfolio_net,accepted_short_n,accepted_short_wr,accepted_short_net,delta_vs_long,displaced_long_n
SHORT_0000,W1,2020-01-01,2021-07-01,True,16,9,0.5625,1.4257242068739742,0.6210983209130025,9.93757313460804,False,55,0.8,4.103491593944991,133.44236940124964,71,0.7464788732394366,3.1612814664954043,143.37994253585768,16,0.5625,9.93757313460804,9.937573134608044,0
SHORT_0000,W2,2021-07-01,2023-01-01,True,16,11,0.6875,2.3614873349534413,1.1406331600120414,18.250130560192662,True,60,0.5833333333333334,1.0573307465474628,5.992630743784159,76,0.6052631578947368,1.2055657665812833,24.24276130397682,16,0.6875,18.250130560192662,18.250130560192662,0
SHORT_0000,W3,2023-01-01,2024-07-01,True,18,11,0.6111111111111112,1.2856925026921053,0.24633184808304515,4.433973265494813,True,45,0.6666666666666666,2.781717203046739,68.76207242406124,63,0.6507936507936508,2.352645883152124,73.19604568955607,18,0.6111111111111112,4.433973265494813,4.433973265494828,0
SHORT_0000,W4,2024-07-01,2026-01-01,True,13,10,0.7692307692307693,1.2131445831248864,0.2095469692559268,2.7241106003270485,True,54,0.8333333333333334,3.079344644937799,72.984045774655,67,0.8208955223880597,2.5812023507366026,75.70815637498205,13,0.7692307692307693,2.7241106003270485,2.7241106003270517,0
SHORT_0000,W5_YTD,2026-01-01,2027-01-01,False,2,2,1.0,inf,1.957210235390539,3.914420470781078,False,13,0.7692307692307693,1.8666072638739093,8.578594791540809,15,0.8,2.2620409329382953,12.493015262321888,2,1.0,3.914420470781078,3.9144204707810797,0
SHORT_0300,W1,2020-01-01,2021-07-01,True,16,11,0.6875,1.0830533937726419,0.21032008955642567,3.3651214329028107,False,55,0.8,4.103491593944991,133.44236940124964,71,0.7746478873239436,2.6381175459258586,136.80749083415245,16,0.6875,3.3651214329028107,3.3651214329028107,0
SHORT_0300,W2,2021-07-01,2023-01-01,True,17,15,0.8823529411764706,1.9211786970958948,0.7812882462482498,13.281900186220247,True,60,0.5833333333333334,1.0573307465474628,5.992630743784159,77,0.6493506493506493,1.1620447614397218,19.2745309300044,17,0.8823529411764706,13.281900186220247,13.281900186220241,0
SHORT_0300,W3,2023-01-01,2024-07-01,True,20,16,0.8,1.5555446293610626,0.3420614931117287,6.841229862234574,True,45,0.6666666666666666,2.781717203046739,68.76207242406124,65,0.7076923076923077,2.4851082976139915,75.60330228629583,20,0.8,6.841229862234574,6.841229862234584,0
SHORT_0300,W4,2024-07-01,2026-01-01,True,11,7,0.6363636363636364,1.608410792854338,0.5676528243489081,6.244181067837989,True,54,0.8333333333333334,3.079344644937799,72.984045774655,65,0.8,2.7465522663386195,79.22822684249299,11,0.6363636363636364,6.244181067837989,6.244181067837985,0
SHORT_0300,W5_YTD,2026-01-01,2027-01-01,False,3,2,0.6666666666666666,0.5393745713524304,-0.815348305095505,-2.446044915286515,False,13,0.7692307692307693,1.8666072638739093,8.578594791540809,16,0.75,1.4032098365929981,6.132549876254295,3,0.6666666666666666,-2.446044915286515,-2.446044915286514,0
SHORT_0330,W1,2020-01-01,2021-07-01,True,16,10,0.625,0.5632371558970127,-1.310453214809856,-20.967251436957696,False,55,0.8,4.103491593944991,133.44236940124964,71,0.7605633802816901,2.235942370594301,112.4751179642919,16,0.625,-20.967251436957696,-20.96725143695774,0
SHORT_0330,W2,2021-07-01,2023-01-01,True,22,16,0.7272727272727273,1.5017499644712942,0.7503827713371435,16.508420969417156,True,60,0.5833333333333334,1.0573307465474628,5.992630743784159,81,0.6172839506172839,1.1482184277304421,20.369515302746755,21,0.7142857142857143,14.376884558962596,14.376884558962598,0
SHORT_0330,W3,2023-01-01,2024-07-01,True,23,20,0.8695652173913043,3.9310108450104013,0.9344660279045003,21.492718641803506,True,45,0.6666666666666666,2.781717203046739,68.76207242406124,68,0.7352941176470589,2.965221469990705,90.25479106586477,23,0.8695652173913043,21.492718641803506,21.49271864180352,0
