tf,i,entry_ts,week,side,ref_width,score,extension,body_ratio,entry,sl,tp,risk_frac,reason,exit_ts,net_ret,pnl
H1,51,2020-01-03 05:00:00+00:00,2020-W01,LONG,22.76000000000022,7.836977346928014,10.802724077328538,0.725463067540096,7204.86,7182.099999999999,7249.23458,0.0031589788004208574,SL,2020-01-03 05:00:00+00:00,-0.004658978800420819,-2.32948940021041
H1,311,2020-01-14 01:00:00+00:00,2020-W03,LONG,36.98999999999978,2.873895449314909,3.7404703974047417,0.7683246073298454,8277.33,8240.34,8339.15199,0.004468832340863513,TP,2020-01-14 01:00:00+00:00,0.005968832340863596,2.984416170431798
H1,849,2020-02-05 11:00:00+00:00,2020-W06,LONG,32.969999999999345,2.680417184669901,3.198362147406819,0.8380593132154032,9389.96,9356.99,9451.099879999998,0.003511197065802128,TP,2020-02-05 12:00:00+00:00,0.005011197065802055,2.5055985329010273
H1,998,2020-02-11 16:00:00+00:00,2020-W07,LONG,54.399999999999636,4.8735393660543815,5.4115808823529665,0.9005759078547407,10204.89,10150.49,10289.90467,0.005330777695790904,TP,2020-02-11 16:00:00+00:00,0.006830777695791048,3.4153888478955237
H1,1196,2020-02-19 22:00:00+00:00,2020-W08,SHORT,104.78000000000065,2.6018069983291476,4.170547814468382,0.6238525762258402,9620.31,9725.09,9486.669069999998,0.010891540917080703,TIME,2020-02-20 03:00:00+00:00,0.003302340049332998,1.651170024666499
H1,1535,2020-03-05 01:00:00+00:00,2020-W10,LONG,28.479999999999563,2.9556319352362705,3.498946629213524,0.8447204968944104,8867.5,8839.02,8922.5825,0.003211728221031809,TP,2020-03-05 02:00:00+00:00,0.004711728221031887,2.3558641105159435
H1,1665,2020-03-10 11:00:00+00:00,2020-W11,LONG,33.399999999999636,3.1622923215413654,3.893712574850347,0.8121535066472919,8042.05,8008.650000000001,8099.57615,0.004153169900709351,TP,2020-03-10 11:00:00+00:00,0.005653169900709467,2.826584950354733
H1,1809,2020-03-16 11:00:00+00:00,2020-W12,SHORT,113.34999999999945,3.0144017344253404,3.1849139832377764,0.9464625262378064,4431.15,4544.499999999999,4304.50655,0.025580266973584613,SL,2020-03-16 11:00:00+00:00,-0.02708026697358451,-13.540133486792255
H1,1979,2020-03-23 13:00:00+00:00,2020-W13,LONG,122.19999999999982,2.864300505525035,3.224549918166944,0.8882791639812171,6321.03,6198.83,6462.19309,0.019332292363744487,SL,2020-03-23 13:00:00+00:00,-0.020832292363744453,-10.416146181872227
H1,2307,2020-04-06 05:00:00+00:00,2020-W15,LONG,27.789999999999964,2.6759095221041176,3.24289312702411,0.8251611808618887,6938.1,6910.31,6986.7043,0.004005419351119177,SL,2020-04-06 05:00:00+00:00,-0.005505419351119199,-2.7527096755595997
H1,2620,2020-04-19 06:00:00+00:00,2020-W16,SHORT,20.0,3.96991074435841,4.805000000000018,0.8262041091276576,7118.58,7138.58,7077.22426,0.002809549095465669,SL,2020-04-19 06:00:00+00:00,-0.004309549095465602,-2.154774547732801
