partition,execution_utc,n,wins,losses,loss_rate,share_of_partition_losses,mean_loss_pnl
external,05:00,28,16,12,0.42857142857142855,0.23076923076923078,-3.300668241108966
external,09:00,33,20,13,0.3939393939393939,0.25,-7.124894252375553
external,10:00,34,26,8,0.23529411764705882,0.15384615384615385,-9.026168067670824
external,16:00,49,30,19,0.3877551020408163,0.36538461538461536,-4.842665612192166
development,05:00,49,32,17,0.3469387755102041,0.18888888888888888,-3.7292777760757296
development,09:00,43,26,17,0.3953488372093023,0.18888888888888888,-4.595019246582263
development,10:00,91,57,34,0.37362637362637363,0.37777777777777777,-4.228008509748234
development,16:00,50,28,22,0.44,0.24444444444444444,-6.958775986944644
reference_validation,05:00,24,15,9,0.375,0.25,-4.3811953032389335
reference_validation,09:00,14,10,4,0.2857142857142857,0.1111111111111111,-6.785961098116996
reference_validation,10:00,39,26,13,0.3333333333333333,0.3611111111111111,-4.711021784324994
reference_validation,16:00,24,14,10,0.4166666666666667,0.2777777777777778,-5.308053811067464
POOLED_MAJOR,05:00,101,63,38,0.37623762376237624,0.21348314606741572,-3.7483289162038274
POOLED_MAJOR,09:00,90,56,34,0.37777777777777777,0.19101123595505617,-5.820082260742606
POOLED_MAJOR,10:00,164,109,55,0.3353658536585366,0.3089887640449438,-5.040089401255116
POOLED_MAJOR,16:00,123,72,51,0.4146341463414634,0.28651685393258425,-5.846750126570746
