guard,dev_block,n,delta_net,delta_net_5bps
G1_PRE_L25,0,85,13.036152854258743,13.036152854258741
G1_PRE_L25,1,105,-16.88170358235847,-16.881703582358465
G1_PRE_L25,2,111,-26.733626774120275,-26.733626774120278
G1_PRE_L25,3,94,6.826696912513423,6.82669691251342
G1_PRE_L25,4,103,28.099012779968618,28.099012779968618
G1_PRE_L25,5,103,-25.826653340215273,-25.826653340215273
G2_POST_H05,0,85,30.155163066258197,30.155163066258204
G2_POST_H05,1,105,11.777848624130893,11.777848624130893
G2_POST_H05,2,111,31.350382317705478,31.350382317705485
G2_POST_H05,3,94,3.4771470467415693,3.47714704674157
G2_POST_H05,4,103,46.829480687816,46.829480687816
G2_POST_H05,5,103,-1.325184039410563,-1.325184039410563
G3_POST_H10,0,85,36.68583226009053,36.685832260090535
G3_POST_H10,1,105,-17.589776691141314,-17.589776691141314
G3_POST_H10,2,111,19.41500555128689,19.415005551286896
G3_POST_H10,3,94,0.2741387764095844,0.2741387764095844
G3_POST_H10,4,103,40.07510048770301,40.075100487703025
G3_POST_H10,5,103,15.126411933152676,15.126411933152676
