year,n,wins,wr,pf,expectancy,net
2020,18,14,0.7777777777777778,3.4119437162889397,1.3518310042379156,24.33295807628248
2021,9,6,0.6666666666666666,1.4506423641941255,0.7798329302944441,7.018496372649997
2022,2,2,1.0,inf,2.368726904591373,4.737453809182746
2023,8,7,0.875,12.27523183775493,1.8202425470598254,14.561940376478603
2024,9,6,0.6666666666666666,2.695526671573937,2.240138597062377,20.16124737356139
2025,7,6,0.8571428571428571,2.7019369085184475,0.723868819677576,5.067081737743032
2026,3,2,0.6666666666666666,2.694026259077179,0.6157148616072865,1.8471445848218595
