partition,reference_start,execution_start,breakout_ts,entry_ts,H,L,R,E20,F35,eligible,skip_reason,entry_price,exit_ts,exit_price,exit_reason,net_pnl,win,net_pnl_5bps,win_5bps
external,2020-02-04 08:00:00+00:00,2020-02-04 13:30:00+00:00,2020-02-04 16:00:00+00:00,2020-02-04 16:05:00+00:00,188.6,184.71,3.8899999999999864,189.378,186.07150000000001,True,,188.65,2020-02-04 16:20:00+00:00,189.378,TARGET_E20,1.5294990723561779,True,1.0278204126136896,True
external,2020-02-19 08:00:00+00:00,2020-02-19 13:30:00+00:00,2020-02-19 17:20:00+00:00,2020-02-19 17:25:00+00:00,283.46,274.54,8.919999999999959,285.24399999999997,277.66200000000003,True,,283.54,2020-02-19 17:25:00+00:00,285.24399999999997,TARGET_E20,2.604867038160275,True,2.102113547867335,True
external,2020-03-02 08:00:00+00:00,2020-03-02 13:30:00+00:00,2020-03-02 14:20:00+00:00,2020-03-02 14:25:00+00:00,228.0,219.83,8.169999999999987,229.634,222.6895,True,,228.95,2020-03-02 14:30:00+00:00,229.634,TARGET_E20,1.0937759336099977,True,0.5925327792535965,True
external,2020-04-06 08:00:00+00:00,2020-04-06 13:30:00+00:00,2020-04-06 15:40:00+00:00,2020-04-06 15:45:00+00:00,158.4,149.06,9.340000000000003,160.268,152.329,True,,159.24,2020-04-06 15:45:00+00:00,160.268,TARGET_E20,2.827832202964076,True,2.3248558589332284,True
external,2020-06-10 08:00:00+00:00,2020-06-10 13:30:00+00:00,2020-06-10 18:10:00+00:00,2020-06-10 18:15:00+00:00,243.96,242.5,1.460000000000008,244.252,243.011,True,,243.99,2020-06-10 18:15:00+00:00,244.252,TARGET_E20,0.13690725029709172,True,-0.36337951357117115,False
external,2020-07-01 08:00:00+00:00,2020-07-01 13:30:00+00:00,2020-07-01 15:55:00+00:00,2020-07-01 16:00:00+00:00,229.13,225.49,3.6399999999999864,229.858,226.764,True,,229.4,2020-07-01 16:00:00+00:00,229.858,TARGET_E20,0.5982563208369432,True,0.09750843845730583,True
external,2020-07-16 08:00:00+00:00,2020-07-16 13:30:00+00:00,2020-07-16 16:05:00+00:00,2020-07-16 16:10:00+00:00,233.29,230.17,3.1200000000000045,233.914,231.262,True,,233.82,2020-07-16 16:10:00+00:00,233.914,TARGET_E20,-0.19899067658883907,False,-0.6989417103952952,False
external,2020-08-17 08:00:00+00:00,2020-08-17 13:30:00+00:00,2020-08-17 15:45:00+00:00,2020-08-17 15:50:00+00:00,433.22,422.6,10.620000000000005,435.34400000000005,426.317,False,ENTRY_OPEN_AT_OR_ABOVE_TARGET,439.17,,,,,False,,False
external,2020-08-20 08:00:00+00:00,2020-08-20 13:30:00+00:00,2020-08-20 13:55:00+00:00,2020-08-20 14:00:00+00:00,412.23,403.5,8.730000000000018,413.976,406.5555,True,,412.79,2020-08-20 14:25:00+00:00,413.976,TARGET_E20,1.0365658082802214,True,0.5353798354584386,True
external,2020-09-14 08:00:00+00:00,2020-09-14 13:30:00+00:00,2020-09-14 15:15:00+00:00,2020-09-14 15:20:00+00:00,375.95,361.42,14.529999999999973,378.856,366.5055,False,ENTRY_OPEN_AT_OR_ABOVE_TARGET,378.94,,,,,False,,False
external,2020-09-16 08:00:00+00:00,2020-09-16 13:30:00+00:00,2020-09-16 16:00:00+00:00,2020-09-16 16:05:00+00:00,370.6,360.75,9.850000000000023,372.57000000000005,364.1975,True,,372.01,2020-09-16 16:05:00+00:00,372.57000000000005,TARGET_E20,0.35266793903394633,True,-0.14783447769666191,False
external,2020-09-25 08:00:00+00:00,2020-09-25 13:30:00+00:00,2020-09-25 17:40:00+00:00,2020-09-25 17:45:00+00:00,348.67,337.5,11.170000000000016,350.904,341.4095,True,,349.96,2020-09-25 18:00:00+00:00,350.904,TARGET_E20,0.9487255686364108,True,0.4476273921560473,True
external,2020-09-30 08:00:00+00:00,2020-09-30 13:30:00+00:00,2020-09-30 14:05:00+00:00,2020-09-30 14:10:00+00:00,356.1,351.02,5.080000000000041,357.11600000000004,352.798,True,,356.16,2020-09-30 15:10:00+00:00,357.11600000000004,TARGET_E20,0.9420934411501051,True,0.44100189348290664,True
external,2020-10-02 08:00:00+00:00,2020-10-02 13:30:00+00:00,2020-10-02 14:55:00+00:00,2020-10-02 15:00:00+00:00,343.4,334.01,9.389999999999986,345.27799999999996,337.2965,True,,344.16,2020-10-02 16:25:00+00:00,345.27799999999996,TARGET_E20,1.2242445374243798,True,0.722870979665791,True
external,2020-11-04 08:00:00+00:00,2020-11-04 13:30:00+00:00,2020-11-04 16:00:00+00:00,2020-11-04 16:05:00+00:00,384.29,376.65,7.640000000000043,385.81800000000004,379.324,True,,385.03,2020-11-04 16:05:00+00:00,385.81800000000004,TARGET_E20,0.6232968859570368,True,0.12252397552632333,True
external,2020-11-05 08:00:00+00:00,2020-11-05 13:30:00+00:00,2020-11-05 14:10:00+00:00,2020-11-05 14:15:00+00:00,411.49,395.89,15.600000000000023,414.61,401.35,True,,411.6,2020-11-05 14:50:00+00:00,414.61,TARGET_E20,3.2564625850340483,True,2.7530578248292197,True
external,2020-11-19 08:00:00+00:00,2020-11-19 13:30:00+00:00,2020-11-19 14:55:00+00:00,2020-11-19 15:00:00+00:00,477.0,465.15,11.850000000000023,479.37,469.2975,True,,478.37,2020-11-19 20:00:00+00:00,474.55,SESSION_END,-4.392725296318722,False,-4.888484691324846,False
external,2020-11-20 08:00:00+00:00,2020-11-20 13:30:00+00:00,2020-11-20 17:35:00+00:00,2020-11-20 17:40:00+00:00,511.21,490.62,20.589999999999975,515.328,497.8265,True,,511.39,2020-11-20 20:00:00+00:00,510.19,SESSION_END,-1.573272844600004,False,-2.0718502830361247,False
external,2020-12-30 08:00:00+00:00,2020-12-30 13:30:00+00:00,2020-12-30 17:35:00+00:00,2020-12-30 17:40:00+00:00,738.46,717.52,20.940000000000055,742.648,724.849,True,,738.78,2020-12-30 18:55:00+00:00,742.648,TARGET_E20,2.217829394407023,True,1.7154627483357392,True
external,2021-02-03 08:00:00+00:00,2021-02-03 13:30:00+00:00,2021-02-03 15:15:00+00:00,2021-02-03 15:20:00+00:00,1569.58,1515.5,54.07999999999993,1580.396,1534.4279999999999,True,,1569.91,2021-02-03 15:20:00+00:00,1580.396,TARGET_E20,2.9396818925924832,True,2.436593754768968,True
external,2021-02-08 08:00:00+00:00,2021-02-08 13:30:00+00:00,2021-02-08 16:00:00+00:00,2021-02-08 16:05:00+00:00,1758.24,1627.11,131.1300000000001,1784.4660000000001,1673.0055,True,,1764.01,2021-02-08 20:00:00+00:00,1701.84,SESSION_END,-18.02178218944338,False,-18.503919338679275,False
external,2021-03-01 08:00:00+00:00,2021-03-01 13:30:00+00:00,2021-03-01 15:10:00+00:00,2021-03-01 15:15:00+00:00,1541.0,1438.85,102.15000000000009,1561.43,1474.6025,True,,1541.96,2021-03-01 16:00:00+00:00,1561.43,TARGET_E20,5.913393343536755,True,5.407332980374835,True
