partition,stress_bps,base_n,n,retention,wins,wr,pf,expectancy,net,max_ls
external,0,51,10,0.19607843137254902,4,0.4,0.41373922062079493,-1.8163254622578506,-18.163254622578506,2
external,5,51,10,0.19607843137254902,4,0.4,0.34789569952026356,-2.2139893911732322,-22.139893911732322,2
development,0,89,24,0.2696629213483146,19,0.7916666666666666,2.376225081198462,1.2305819425468822,29.533966621125174,2
development,5,89,24,0.2696629213483146,19,0.7916666666666666,1.9096176015947781,0.9073218928831102,21.775725429194644,2
reference_validation,0,31,7,0.22580645161290322,6,0.8571428571428571,19.256322116683297,3.8671639869871846,27.070147908910293,1
reference_validation,5,31,7,0.22580645161290322,6,0.8571428571428571,13.519005175298274,3.543683254794384,24.805782783560687,1
POOLED_MAJOR,0,171,41,0.23976608187134502,29,0.7073170731707317,1.7128652850858825,0.937581948962365,38.44085990745697,2
POOLED_MAJOR,5,171,41,0.23976608187134502,29,0.7073170731707317,1.4082288154622418,0.5961369341712928,24.441614301023,2
