partition,extension,extension_frac,f15_fills,h2_count,low_reach_count,low_reach_rate_given_h2,low_reach_rate_all_fills,close_reach_count,close_reach_rate_given_h2,close_reach_rate_all_fills,median_minutes_h2_to_low_reach
external,E05,0.05,50,37,33,0.8918918918918919,0.66,27,0.7297297297297297,0.54,0.0
external,E10,0.1,50,37,30,0.8108108108108109,0.6,27,0.7297297297297297,0.54,0.0
external,E15,0.15,50,37,30,0.8108108108108109,0.6,25,0.6756756756756757,0.5,5.0
external,E20,0.2,50,37,29,0.7837837837837838,0.58,23,0.6216216216216216,0.46,15.0
external,E25,0.25,50,37,27,0.7297297297297297,0.54,21,0.5675675675675675,0.42,15.0
external,E30,0.3,50,37,25,0.6756756756756757,0.5,19,0.5135135135135135,0.38,15.0
external,E40,0.4,50,37,21,0.5675675675675675,0.42,17,0.4594594594594595,0.34,25.0
external,E50,0.5,50,37,17,0.4594594594594595,0.34,14,0.3783783783783784,0.28,55.0
development,E05,0.05,79,59,58,0.9830508474576272,0.7341772151898734,50,0.847457627118644,0.6329113924050633,0.0
development,E10,0.1,79,59,54,0.9152542372881356,0.6835443037974683,45,0.7627118644067796,0.569620253164557,0.0
development,E15,0.15,79,59,52,0.8813559322033898,0.6582278481012658,41,0.6949152542372882,0.5189873417721519,5.0
development,E20,0.2,79,59,49,0.8305084745762712,0.620253164556962,40,0.6779661016949152,0.5063291139240507,10.0
development,E25,0.25,79,59,44,0.7457627118644068,0.5569620253164557,34,0.576271186440678,0.43037974683544306,12.5
development,E30,0.3,79,59,42,0.711864406779661,0.5316455696202531,33,0.559322033898305,0.4177215189873418,15.0
development,E40,0.4,79,59,37,0.6271186440677966,0.46835443037974683,30,0.5084745762711864,0.379746835443038,25.0
development,E50,0.5,79,59,31,0.5254237288135594,0.3924050632911392,25,0.423728813559322,0.31645569620253167,45.0
reference_validation,E05,0.05,34,24,24,1.0,0.7058823529411765,21,0.875,0.6176470588235294,0.0
reference_validation,E10,0.1,34,24,22,0.9166666666666666,0.6470588235294118,19,0.7916666666666666,0.5588235294117647,5.0
reference_validation,E15,0.15,34,24,20,0.8333333333333334,0.5882352941176471,18,0.75,0.5294117647058824,5.0
reference_validation,E20,0.2,34,24,20,0.8333333333333334,0.5882352941176471,18,0.75,0.5294117647058824,5.0
reference_validation,E25,0.25,34,24,20,0.8333333333333334,0.5882352941176471,15,0.625,0.4411764705882353,20.0
reference_validation,E30,0.3,34,24,18,0.75,0.5294117647058824,15,0.625,0.4411764705882353,27.5
reference_validation,E40,0.4,34,24,15,0.625,0.4411764705882353,14,0.5833333333333334,0.4117647058823529,50.0
reference_validation,E50,0.5,34,24,13,0.5416666666666666,0.38235294117647056,12,0.5,0.35294117647058826,50.0
august,E05,0.05,1,1,1,1.0,1.0,0,0.0,0.0,40.0
august,E10,0.1,1,1,1,1.0,1.0,0,0.0,0.0,40.0
august,E15,0.15,1,1,1,1.0,1.0,0,0.0,0.0,40.0
august,E20,0.2,1,1,0,0.0,0.0,0,0.0,0.0,
august,E25,0.25,1,1,0,0.0,0.0,0,0.0,0.0,
august,E30,0.3,1,1,0,0.0,0.0,0,0.0,0.0,
august,E40,0.4,1,1,0,0.0,0.0,0,0.0,0.0,
august,E50,0.5,1,1,0,0.0,0.0,0,0.0,0.0,
