partition,zone,reference_start,check,actual,expected,pass
external,RAW_0530,2020-01-01 05:30:00+00:00,H,7230.0,7230.0,True
external,RAW_0530,2020-01-01 05:30:00+00:00,L,7174.0,7174.0,True
external,RAW_2330,2020-01-02 23:30:00+00:00,H,7300.0,7300.0,True
external,RAW_2330,2020-01-02 23:30:00+00:00,L,6863.44,6863.44,True
external,RAW_0530,2020-01-08 05:30:00+00:00,H,8372.28,8372.28,True
external,RAW_0530,2020-01-08 05:30:00+00:00,L,8267.0,8267.0,True
external,LONDON,2020-02-12 08:00:00+00:00,H,10395.0,10395.0,True
external,LONDON,2020-02-12 08:00:00+00:00,L,10235.52,10235.52,True
external,ALT_0330,2020-02-17 03:30:00+00:00,H,9841.0,9841.0,True
external,ALT_0330,2020-02-17 03:30:00+00:00,L,9720.23,9720.23,True
external,RAW_0530,2020-03-02 05:30:00+00:00,H,8777.0,8777.0,True
external,RAW_0530,2020-03-02 05:30:00+00:00,L,8607.0,8607.0,True
external,RAW_2330,2020-03-04 23:30:00+00:00,H,8949.34,8949.34,True
external,RAW_2330,2020-03-04 23:30:00+00:00,L,8739.37,8739.37,True
external,ALT_0330,2020-03-13 03:30:00+00:00,H,5646.48,5646.48,True
external,ALT_0330,2020-03-13 03:30:00+00:00,L,4520.62,4520.62,True
external,LONDON,2020-03-18 08:00:00+00:00,H,5249.18,5249.18,True
external,LONDON,2020-03-18 08:00:00+00:00,L,4982.75,4982.75,True
external,ALT_0330,2020-04-02 03:30:00+00:00,H,6675.54,6675.54,True
external,ALT_0330,2020-04-02 03:30:00+00:00,L,6558.93,6558.93,True
external,RAW_2330,2020-04-05 23:30:00+00:00,H,6957.78,6957.78,True
external,RAW_2330,2020-04-05 23:30:00+00:00,L,6760.0,6760.0,True
external,ALT_0330,2020-04-22 03:30:00+00:00,H,6959.0,6959.0,True
external,ALT_0330,2020-04-22 03:30:00+00:00,L,6837.87,6837.87,True
external,LONDON,2020-04-22 08:00:00+00:00,H,7075.0,7075.0,True
external,LONDON,2020-04-22 08:00:00+00:00,L,6915.0,6915.0,True
external,RAW_0530,2020-04-29 05:30:00+00:00,H,8165.0,8165.0,True
external,RAW_0530,2020-04-29 05:30:00+00:00,L,7840.0,7840.0,True
external,LONDON,2020-05-13 08:00:00+00:00,H,9115.0,9115.0,True
external,LONDON,2020-05-13 08:00:00+00:00,L,8828.0,8828.0,True
external,LONDON,2020-06-04 08:00:00+00:00,H,9777.0,9777.0,True
external,LONDON,2020-06-04 08:00:00+00:00,L,9440.0,9440.0,True
external,ALT_0330,2020-06-08 03:30:00+00:00,H,9757.09,9757.09,True
external,ALT_0330,2020-06-08 03:30:00+00:00,L,9631.0,9631.0,True
external,LONDON,2020-06-10 08:00:00+00:00,H,9774.0,9774.0,True
external,LONDON,2020-06-10 08:00:00+00:00,L,9706.0,9706.0,True
external,ALT_0330,2020-06-16 03:30:00+00:00,H,9575.0,9575.0,True
external,ALT_0330,2020-06-16 03:30:00+00:00,L,9450.0,9450.0,True
external,RAW_2330,2020-06-24 23:30:00+00:00,H,9320.0,9320.0,True
external,RAW_2330,2020-06-24 23:30:00+00:00,L,9005.0,9005.0,True
external,LONDON,2020-07-22 08:00:00+00:00,H,9355.0,9355.0,True
external,LONDON,2020-07-22 08:00:00+00:00,L,9292.56,9292.56,True
external,RAW_0530,2020-07-24 05:30:00+00:00,H,9565.0,9565.0,True
external,RAW_0530,2020-07-24 05:30:00+00:00,L,9470.0,9470.0,True
external,LONDON,2020-07-24 08:00:00+00:00,H,9565.0,9565.0,True
external,LONDON,2020-07-24 08:00:00+00:00,L,9490.0,9490.0,True
external,RAW_2330,2020-07-30 23:30:00+00:00,H,11153.0,11153.0,True
external,RAW_2330,2020-07-30 23:30:00+00:00,L,10971.78,10971.78,True
external,ALT_0330,2020-08-26 03:30:00+00:00,H,11400.0,11400.0,True
external,ALT_0330,2020-08-26 03:30:00+00:00,L,11303.81,11303.81,True
external,ALT_0330,2020-09-09 03:30:00+00:00,H,10208.06,10208.06,True
external,ALT_0330,2020-09-09 03:30:00+00:00,L,9996.45,9996.45,True
external,RAW_0530,2020-09-11 05:30:00+00:00,H,10334.99,10334.99,True
external,RAW_0530,2020-09-11 05:30:00+00:00,L,10239.0,10239.0,True
external,LONDON,2020-09-11 08:00:00+00:00,H,10334.99,10334.99,True
external,LONDON,2020-09-11 08:00:00+00:00,L,10251.32,10251.32,True
external,RAW_2330,2020-09-15 23:30:00+00:00,H,10815.0,10815.0,True
external,RAW_2330,2020-09-15 23:30:00+00:00,L,10661.9,10661.9,True
external,ALT_0330,2020-09-16 03:30:00+00:00,H,10937.52,10937.52,True
external,ALT_0330,2020-09-16 03:30:00+00:00,L,10741.74,10741.74,True
external,RAW_0530,2020-09-16 05:30:00+00:00,H,10937.52,10937.52,True
external,RAW_0530,2020-09-16 05:30:00+00:00,L,10755.44,10755.44,True
external,LONDON,2020-10-05 08:00:00+00:00,H,10729.96,10729.96,True
external,LONDON,2020-10-05 08:00:00+00:00,L,10650.0,10650.0,True
external,LONDON,2020-10-15 08:00:00+00:00,H,11402.11,11402.11,True
external,LONDON,2020-10-15 08:00:00+00:00,L,11250.0,11250.0,True
external,LONDON,2020-10-19 08:00:00+00:00,H,11700.0,11700.0,True
external,LONDON,2020-10-19 08:00:00+00:00,L,11442.62,11442.62,True
external,RAW_0530,2020-10-27 05:30:00+00:00,H,13297.71,13297.71,True
external,RAW_0530,2020-10-27 05:30:00+00:00,L,13055.0,13055.0,True
external,RAW_0530,2020-11-04 05:30:00+00:00,H,13871.14,13871.14,True
external,RAW_0530,2020-11-04 05:30:00+00:00,L,13512.0,13512.0,True
external,RAW_0530,2020-11-05 05:30:00+00:00,H,14650.0,14650.0,True
external,RAW_0530,2020-11-05 05:30:00+00:00,L,14262.8,14262.8,True
external,LONDON,2020-11-12 08:00:00+00:00,H,16176.22,16176.22,True
external,LONDON,2020-11-12 08:00:00+00:00,L,15609.0,15609.0,True
