downloaded 10/98 archives
downloaded 20/98 archives
downloaded 30/98 archives
downloaded 40/98 archives
downloaded 50/98 archives
downloaded 60/98 archives
downloaded 70/98 archives
downloaded 80/98 archives
downloaded 90/98 archives
# BTC H4 AMD + FVG Execution H4E1 — Result

Frozen execution: exact session-anchored H4 AMD/FVG -> enter next H4 open -> SL FAR FVG edge -> TP opposite accumulation boundary -> max24H. Same-H4 ambiguity adverse-first. Primary cohort requires modeled net RR>=1:1 after 0.15% round-trip fee.

Coverage **2020-01-01 00:00:00+00:00 -> 2026-08-19 23:00:00+00:00**, official 1H rows **58,152**.

## Aggregate

| Partition | Exact FVG | Descriptive opp reach | Valid N/WR/PnL | RR>=1 N | TP/SL/TIME | WR | PnL | Exp | Med risk | Med net RR |
|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| development | 100 | 82.00% | 48/39.13%/$-51.62 | 21 | 2/18/1 | 10.00% | $-61.86 | $-2.95 | 0.49% | 2.40 |
| reference_validation | 43 | 88.37% | 21/60.00%/$-9.85 | 4 | 0/4/0 | 0.00% | $-6.47 | $-1.62 | 0.15% | 3.65 |
| external | 48 | 93.75% | 16/60.00%/$-1.27 | 5 | 2/2/1 | 50.00% | $+7.94 | $+1.59 | 0.99% | 1.85 |
| august | 2 | 100.00% | 1/0.00%/$-1.28 | 0 | 0/0/0 | - | $+0.00 | - | - | - |

## Reference validation primary by fixed side/session

| Side | Session | FVG | RR>=1 N | TP/SL/TIME | WR | PnL |
|---|---|---:|---:|---:|---:|---:|
| LONG | ASIA_OPEN | 4 | 0 | 0/0/0 | - | $+0.00 |
| LONG | LONDON_OPEN | 6 | 0 | 0/0/0 | - | $+0.00 |
| LONG | NEW_YORK_OPEN | 6 | 0 | 0/0/0 | - | $+0.00 |
| SHORT | ASIA_OPEN | 6 | 2 | 0/2/0 | 0.00% | $-3.59 |
| SHORT | LONDON_OPEN | 15 | 1 | 0/1/0 | 0.00% | $-1.16 |
| SHORT | NEW_YORK_OPEN | 6 | 1 | 0/1/0 | 0.00% | $-1.71 |

## External 2020-2021 primary by fixed side/session

| Side | Session | FVG | RR>=1 N | TP/SL/TIME | WR | PnL |
|---|---|---:|---:|---:|---:|---:|
| LONG | ASIA_OPEN | 10 | 0 | 0/0/0 | - | $+0.00 |
| LONG | LONDON_OPEN | 13 | 1 | 1/0/0 | 100.00% | $+9.06 |
| LONG | NEW_YORK_OPEN | 7 | 1 | 0/1/0 | 0.00% | $-2.08 |
| SHORT | ASIA_OPEN | 3 | 0 | 0/0/0 | - | $+0.00 |
| SHORT | LONDON_OPEN | 9 | 2 | 1/1/0 | 50.00% | $-0.89 |
| SHORT | NEW_YORK_OPEN | 6 | 1 | 0/0/1 | - | $+1.85 |

## External chronological primary blocks

| Block | N | TP | SL | TIME | WR | PnL |
|---|---:|---:|---:|---:|---:|---:|
| B1 | 1 | 0 | 1 | 0 | 0.00% | $-2.08 |
| B2 | 1 | 0 | 0 | 1 | - | $+1.85 |
| B3 | 1 | 1 | 0 | 0 | 100.00% | $+9.06 |
| B4 | 2 | 1 | 1 | 0 | 50.00% | $-0.89 |

## Verdicts

**H4E1_EXECUTION_SUPPORTED: FAIL**
**H4E1_80_CANDIDATE: FAIL**

No post-result entry-depth, stop-buffer, target, hold, side/session, gap-size, weekday, volatility, or accumulation/FVG retuning.

