variant,tp_multiple,use_be,dev_trades,dev_wr,dev_pf,dev_expectancy,dev_total_net,dev_max_dd,dev_max_loss_streak,eligible,profit_dd_ratio,profit_floor_pass,selected,robust_pass,high_quality_70
A_R1,1.0,False,280,0.23214285714285715,0.2479237139476844,-0.5700220144881568,-159.6061640566839,160.58318322161733,21,False,,False,False,False,False
A_R1_5,1.5,False,280,0.19285714285714287,0.2699891711578628,-0.5982280541380695,-167.50385515865946,169.3088353615154,21,False,,False,False,False,False
A_R2,2.0,False,280,0.16428571428571428,0.2525195723739636,-0.6501302657968508,-182.03647442311825,183.01349358805177,17,False,,False,False,False,False
B_R1_BE,1.0,True,280,0.18571428571428572,0.20252544907867776,-0.5699172814683461,-159.5768388111369,160.55385797607042,21,False,,False,False,False,False
B_R1_5_BE,1.5,True,280,0.16071428571428573,0.2337679181196051,-0.5590011468680899,-156.52032112306517,158.32530132592117,21,False,,False,False,False,False
B_R2_BE,2.0,True,280,0.13214285714285715,0.21360842505155883,-0.5840647880216818,-163.5381406460709,164.51515981100448,22,False,,False,False,False,False
