character_rule,lookback_min,hold_min,y2022_trades,y2022_wr,y2022_net,y2022_exp,y2022_pf,y2022_dd,y2022_ls,y2022_H1_exp,y2022_H1_pf,y2022_H2_exp,y2022_H2_pf,y2022_evaluable_anchors,y2022_positive_anchors,y2022_supportive,y2022_strict,y2023_trades,y2023_wr,y2023_net,y2023_exp,y2023_pf,y2023_dd,y2023_ls,y2023_H1_exp,y2023_H1_pf,y2023_H2_exp,y2023_H2_pf,y2023_evaluable_anchors,y2023_positive_anchors,y2023_supportive,y2023_strict,min_year_exp,min_year_pf,max_year_dd,cross_year_stable,strict_both
ALL,60,120,1039,0.40423484119345526,-1043.5641727740997,-1.0043928515631373,0.6300035755725042,1061.7776564847718,24,-0.9001251895890268,0.6781725900276168,-1.107264961656141,0.5795280129216211,4,0,False,False,1039,0.3589990375360924,-807.0450394285617,-0.7767517222604059,0.5462398943941158,910.3809439329997,33,-0.937228174828424,0.5196501039706807,-0.6159660665082489,0.5815519721896343,4,0,False,False,-1.0043928515631373,0.5462398943941158,1061.7776564847718,False,False
ALL,60,240,1039,0.4340712223291627,-837.9636935539786,-0.8065098109277946,0.7706209437608298,974.9650348629177,20,-0.8570831727425932,0.751895828922274,-0.9674140704952533,0.731511159204429,4,0,False,False,1039,0.4523580365736285,-184.89006000216287,-0.17795000962672075,0.9015174325950401,466.11101202341024,20,-0.33218553562869396,0.8521262817756947,-0.040575328854944984,0.9706802505061493,4,1,False,False,-0.8065098109277946,0.7706209437608298,974.9650348629177,False,False
ALL,60,360,1039,0.4552454282964389,-1069.7790747529775,-1.02962374855917,0.7581137587024656,1312.3294904738611,20,-1.5826602249291737,0.6487938952442792,-0.7765955691683172,0.8079986134211256,4,0,False,False,1039,0.45139557266602504,139.1054622834469,0.1338839867983127,1.0636417206297515,384.39972222370216,16,0.24168374604654794,1.0920180042509877,0.03511318866638424,1.022044856350623,4,4,False,False,-1.02962374855917,0.7581137587024656,1312.3294904738611,False,False
ALL,60,480,1039,0.4523580365736285,-1367.4247654518012,-1.316096983110492,0.7319569773099314,1624.8300650364386,17,-2.4075943368259543,0.5818329100733637,-0.36100883936264533,0.9123323735064732,4,0,False,False,1039,0.4408084696823869,169.26522491538182,0.16291166979343774,1.073128957530909,463.7873278729659,24,0.2814979363047385,1.1029258481785391,0.07488463011057718,1.043741348784388,4,4,False,False,-1.316096983110492,0.7319569773099314,1624.8300650364386,False,False
ALL,120,120,1040,0.4048076923076923,-1043.346488046555,-1.0032177769678412,0.6300807558484712,1061.559971757227,24,-0.9001251895890268,0.6781725900276168,-1.104736431714918,0.5796860692109145,4,0,False,False,1038,0.35934489402697495,-802.9560300811897,-0.77356072262157,0.5474986159417032,906.2919345856278,33,-0.937228174828424,0.5196501039706807,-0.6092613497498249,0.5846813262782793,4,0,False,False,-1.0032177769678412,0.5474986159417032,1061.559971757227,False,False
ALL,120,240,1040,0.43365384615384617,-840.1825695746741,-0.8078678553602635,0.7701531669360953,977.1839108836132,21,-0.8570831727425932,0.751895828922274,-0.9698023566597576,0.73065084898596,4,0,False,False,1038,0.45183044315992293,-183.80883215532847,-0.17707979976428562,0.9019896810355664,465.02978417657584,20,-0.33218553562869396,0.8521262817756947,-0.03856634716000396,0.9721085203570862,4,1,False,False,-0.8078678553602635,0.7701531669360953,977.1839108836132,False,False
ALL,120,360,1040,0.4548076923076923,-1073.2740609123873,-1.0319942893388339,0.7575151350919829,1315.8244766332707,20,-1.5826602249291737,0.6487938952442792,-0.7817833374703045,0.8066658688878025,4,0,False,False,1038,0.4508670520231214,142.10649729785484,0.13690413997866555,1.0651208562347843,381.3986872092943,16,0.24168374604654794,1.0920180042509877,0.04097447863370924,1.0257862693710378,4,4,False,False,-1.0319942893388339,0.7575151350919829,1315.8244766332707,False,False
ALL,120,480,1040,0.4519230769230769,-1373.1057167128756,-1.320293958377765,0.7311427899971823,1630.511016297513,17,-2.4075943368259543,0.5818329100733637,-0.3711614012361412,0.9099321604038898,4,0,False,False,1038,0.441233140655106,172.76318521381108,0.1664385214005887,1.0747573655443778,460.81561319025747,24,0.2814979363047385,1.1029258481785391,0.08178201414250759,1.0478736257909131,4,4,False,False,-1.320293958377765,0.7311427899971823,1630.511016297513,False,False
ALL,180,120,1039,0.40423484119345526,-1045.7247500295814,-1.0064723291911275,0.6292375413600584,1063.9382337402533,24,-0.9064909899242023,0.6765246928621226,-1.104736431714918,0.5796860692109145,4,0,False,False,1040,0.35865384615384616,-807.1013623997817,-0.7760590023074824,0.5462225968774521,910.4372669042197,33,-0.937228174828424,0.5196501039706807,-0.6148898297865406,0.5815091016003094,4,0,False,False,-1.0064723291911275,0.5462225968774521,1063.9382337402533,False,False
ALL,180,240,1039,0.4331087584215592,-844.5788036659221,-0.812876615655363,0.7689504991828326,981.5801449748615,21,-0.8673636370556862,0.7494102821169131,-0.9698023566597576,0.73065084898596,4,0,False,False,1040,0.4519230769230769,-184.9043419413355,-0.17779263648205337,0.9015105744952061,466.1252939625829,20,-0.33218553562869396,0.8521262817756947,-0.04052476464401741,0.9706609492494789,4,1,False,False,-0.812876615655363,0.7689504991828326,981.5801449748615,False,False
