bar_open_ts,old_regime,new_regime,reason,challenger_streak,min_margin_in_streak,min_advantage_in_streak
2023-01-05 05:00:00+00:00,BULL,SIDEWAYS,FAST_2BAR,2,0.2521947152468761,0.2521947152468761
2023-01-09 01:00:00+00:00,SIDEWAYS,BULL,NORMAL_3BAR,3,0.1749731903326254,0.17497319033262548
2023-01-10 08:00:00+00:00,BULL,SIDEWAYS,FAST_2BAR,2,0.2538713283630105,0.2538713283630105
2023-01-11 21:00:00+00:00,SIDEWAYS,BULL,NORMAL_3BAR,3,0.0984045010106932,0.0984045010106932
2023-01-15 22:00:00+00:00,BULL,SIDEWAYS,NORMAL_3BAR,3,0.1105862899511326,0.11058628995113262
2023-01-18 10:00:00+00:00,SIDEWAYS,BEAR,NORMAL_3BAR,3,0.1553387698850836,0.15533876988508366
2023-01-20 03:00:00+00:00,BEAR,SIDEWAYS,FAST_2BAR,2,0.1103074359579459,0.28015563034044744
2023-01-26 04:00:00+00:00,SIDEWAYS,BULL,FAST_2BAR,2,0.3269217974952759,0.32692179749527595
2023-01-28 19:00:00+00:00,BULL,SIDEWAYS,FAST_2BAR,2,0.2200080270537192,0.336260872091627
2023-02-01 17:00:00+00:00,SIDEWAYS,BEAR,NORMAL_3BAR,3,0.1587945458912332,0.1587945458912332
2023-02-02 01:00:00+00:00,BEAR,BULL,NORMAL_3BAR,3,0.0810827714706013,0.08108277147060133
2023-02-03 12:00:00+00:00,BULL,BEAR,FAST_2BAR,2,0.0016013099330749,0.24804127377549995
2023-02-03 21:00:00+00:00,BEAR,SIDEWAYS,FAST_2BAR,2,0.3541905285191316,0.35419052851913163
2023-02-05 12:00:00+00:00,SIDEWAYS,BEAR,FAST_2BAR,2,0.2269585584390232,0.22695855843902324
2023-02-08 07:00:00+00:00,BEAR,BULL,FAST_2BAR,2,0.0267821831143251,0.36184883399104345
2023-02-08 21:00:00+00:00,BULL,BEAR,FAST_2BAR,2,0.0228377692441107,0.3457601432045629
2023-02-15 01:00:00+00:00,BEAR,SIDEWAYS,FAST_2BAR,2,0.0242439549142592,0.24758749941958447
2023-02-24 22:00:00+00:00,SIDEWAYS,BEAR,FAST_2BAR,2,0.3540523197268936,0.35405231972689366
2023-02-27 15:00:00+00:00,BEAR,SIDEWAYS,FAST_2BAR,2,0.2171261822339737,0.2981306651611171
2023-02-28 00:00:00+00:00,SIDEWAYS,BEAR,FAST_2BAR,2,0.236135097817603,0.236135097817603
2023-03-02 02:00:00+00:00,BEAR,SIDEWAYS,FAST_2BAR,2,0.0847442004381158,0.19053865733365632
2023-03-02 12:00:00+00:00,SIDEWAYS,BEAR,FAST_2BAR,2,0.2393088669392501,0.23930886693925013
2023-03-04 11:00:00+00:00,BEAR,SIDEWAYS,FAST_2BAR,2,0.3023641881733497,0.30236418817334976
2023-03-04 21:00:00+00:00,SIDEWAYS,BEAR,NORMAL_3BAR,3,0.1599505475610694,0.1599505475610694
2023-03-05 07:00:00+00:00,BEAR,SIDEWAYS,FAST_2BAR,2,0.1654380123443339,0.2523021374288028
2023-03-05 16:00:00+00:00,SIDEWAYS,BULL,NORMAL_3BAR,3,0.1282745537884313,0.1282745537884314
2023-03-05 22:00:00+00:00,BULL,SIDEWAYS,NORMAL_3BAR,3,0.1734312957528652,0.1734312957528652
2023-03-06 11:00:00+00:00,SIDEWAYS,BEAR,FAST_2BAR,2,0.2748722884415321,0.27487228844153216
2023-03-11 07:00:00+00:00,BEAR,SIDEWAYS,FAST_2BAR,2,0.0909655598976489,0.19920832322522786
2023-03-12 18:00:00+00:00,SIDEWAYS,BULL,NORMAL_3BAR,3,0.1411885876702013,0.14118858767020137
2023-03-15 11:00:00+00:00,BULL,SIDEWAYS,FAST_2BAR,2,0.2696364266656039,0.26963642666560395
2023-03-23 01:00:00+00:00,SIDEWAYS,BEAR,FAST_2BAR,2,0.180936627443322,0.18093662744332206
2023-03-23 17:00:00+00:00,BEAR,SIDEWAYS,NORMAL_3BAR,3,0.082307260816684,0.08230726081668405
2023-03-24 17:00:00+00:00,SIDEWAYS,BEAR,NORMAL_3BAR,3,0.1541517920661195,0.1541517920661195
2023-03-26 22:00:00+00:00,BEAR,BULL,FAST_2BAR,2,0.2093670684450761,0.3890698475577043
2023-03-27 03:00:00+00:00,BULL,SIDEWAYS,NORMAL_3BAR,3,0.091577372477603,0.091577372477603
2023-03-27 14:00:00+00:00,SIDEWAYS,BEAR,FAST_2BAR,2,0.2395368413300065,0.23953684133000652
2023-03-29 08:00:00+00:00,BEAR,BULL,FAST_2BAR,2,0.0639648217456333,0.37343502971901926
2023-03-31 07:00:00+00:00,BULL,BEAR,FAST_2BAR,2,0.3021717791358627,0.46081963561512906
2023-04-01 04:00:00+00:00,BEAR,SIDEWAYS,FAST_2BAR,2,0.0037577764775779,0.30945598459089413
2023-04-01 12:00:00+00:00,SIDEWAYS,BULL,FAST_2BAR,2,0.2239493398939126,0.22394933989391264
2023-04-03 03:00:00+00:00,BULL,BEAR,FAST_2BAR,2,0.0120062049207904,0.43445778133113877
2023-04-04 18:00:00+00:00,BEAR,BULL,FAST_2BAR,2,0.0297642915049143,0.41748219435396283
2023-04-06 07:00:00+00:00,BULL,BEAR,FAST_2BAR,2,0.120685638740358,0.3584250004168077
2023-04-08 13:00:00+00:00,BEAR,SIDEWAYS,FAST_2BAR,2,0.065194087747373,0.3281378403773367
2023-04-10 18:00:00+00:00,SIDEWAYS,BULL,NORMAL_3BAR,3,0.089234153597949,0.08923415359794906
2023-04-14 22:00:00+00:00,BULL,SIDEWAYS,FAST_2BAR,2,0.2873465142841027,0.28734651428410274
2023-04-15 06:00:00+00:00,SIDEWAYS,BEAR,NORMAL_3BAR,3,0.1150160553503576,0.11501605535035764
2023-04-15 10:00:00+00:00,BEAR,SIDEWAYS,FAST_2BAR,2,0.3249088783388907,0.37473708953093926
2023-04-17 09:00:00+00:00,SIDEWAYS,BULL,FAST_2BAR,2,0.2914506965453571,0.2914506965453572
2023-04-18 17:00:00+00:00,BULL,SIDEWAYS,FAST_2BAR,2,0.2283693654880326,0.22836936548803266
2023-04-22 22:00:00+00:00,SIDEWAYS,BULL,FAST_2BAR,2,0.2744868631275098,0.27448686312750986
2023-04-24 00:00:00+00:00,BULL,SIDEWAYS,FAST_2BAR,2,0.1134821448293305,0.3318466475194668
2023-04-24 07:00:00+00:00,SIDEWAYS,BEAR,FAST_2BAR,2,0.2085786067715674,0.20857860677156748
2023-04-24 14:00:00+00:00,BEAR,SIDEWAYS,FAST_2BAR,2,0.3308733338213511,0.33087333382135115
2023-05-03 13:00:00+00:00,SIDEWAYS,BEAR,NORMAL_3BAR,3,0.1089975970424894,0.10899759704248946
2023-05-05 02:00:00+00:00,BEAR,BULL,FAST_2BAR,2,0.0600742106180914,0.21309326508758902
2023-05-07 23:00:00+00:00,BULL,SIDEWAYS,FAST_2BAR,2,0.2367064653321463,0.23670646533214634
2023-05-08 07:00:00+00:00,SIDEWAYS,BEAR,FAST_2BAR,2,0.2670236257831548,0.2670236257831549
2023-05-09 13:00:00+00:00,BEAR,SIDEWAYS,NORMAL_3BAR,3,0.0869120239265434,0.0869120239265434
2023-05-12 20:00:00+00:00,SIDEWAYS,BULL,FAST_2BAR,2,0.2792912474255673,0.2792912474255673
2023-05-15 07:00:00+00:00,BULL,SIDEWAYS,NORMAL_3BAR,3,0.1672044842605825,0.16720448426058254
2023-05-27 06:00:00+00:00,SIDEWAYS,BULL,FAST_2BAR,2,0.2802283840156739,0.28022838401567396
2023-05-29 19:00:00+00:00,BULL,SIDEWAYS,FAST_2BAR,2,0.2047115405215229,0.3050535599753397
2023-05-29 23:00:00+00:00,SIDEWAYS,BEAR,NORMAL_3BAR,3,0.0800253304086772,0.08002533040867721
2023-05-30 12:00:00+00:00,BEAR,BULL,FAST_2BAR,2,0.0399925763573989,0.40396337897805046
2023-05-31 14:00:00+00:00,BULL,SIDEWAYS,FAST_2BAR,2,0.0435502973099488,0.27222302902362816
2023-06-02 19:00:00+00:00,SIDEWAYS,BULL,FAST_2BAR,2,0.3030543123689939,0.30305431236899394
2023-06-05 17:00:00+00:00,BULL,BEAR,NORMAL_3BAR,3,0.0827617941904874,0.08276179419048751
2023-06-06 19:00:00+00:00,BEAR,SIDEWAYS,FAST_2BAR,2,0.0730247815742388,0.2563494264374848
2023-06-07 16:00:00+00:00,SIDEWAYS,BEAR,NORMAL_3BAR,3,0.080963445078401,0.08096344507840109
2023-06-08 16:00:00+00:00,BEAR,SIDEWAYS,NORMAL_3BAR,3,0.0824758558400703,0.08247585584007033
2023-06-17 00:00:00+00:00,SIDEWAYS,BULL,FAST_2BAR,2,0.2511176537100021,0.25111765371000216
2023-06-18 22:00:00+00:00,BULL,SIDEWAYS,FAST_2BAR,2,0.1554972479896565,0.30759773810514335
2023-06-19 06:00:00+00:00,SIDEWAYS,BEAR,NORMAL_3BAR,3,0.0909272703915166,0.0909272703915166
