partition,timeframe,bull_cross_ts,signal_ts,entry_ts,exit_ts,bars_cross_to_signal,entry_px,exit_px,return,mfe,mae,bars_held,hold_minutes,gross_pnl_usd,fee_sensitive_pnl_usd,exit_reason
external,5m,2020-01-01 11:25:00+00:00,2020-01-01 11:30:00+00:00,2020-01-01 11:35:00+00:00,2020-01-01 11:55:00+00:00,1,7218.51,7190.05,-0.003942641902553334,0.0007965632796795852,-0.004640846933785525,4,20,-1.9713209512766672,-2.371320951276667,REVERSAL_CUT
external,5m,2020-01-02 09:10:00+00:00,2020-01-02 09:15:00+00:00,2020-01-02 09:20:00+00:00,2020-01-02 09:35:00+00:00,1,7147.03,7137.51,-0.0013320218328451983,0.0006953937509706076,-0.001957456453939632,3,15,-0.6660109164225991,-1.066010916422599,REVERSAL_CUT
external,5m,2020-01-03 03:55:00+00:00,2020-01-03 04:00:00+00:00,2020-01-03 04:05:00+00:00,2020-01-03 07:50:00+00:00,1,6954.99,7192.81,0.03419415412531146,0.049606110145377746,-1.437816589233698e-06,45,225,17.09707706265573,16.69707706265573,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-03 16:10:00+00:00,2020-01-03 16:25:00+00:00,2020-01-03 16:30:00+00:00,2020-01-03 17:20:00+00:00,3,7364.99,7337.11,-0.0037854769660243814,0.004801092737396928,-0.004310935927951065,10,50,-1.8927384830121907,-2.2927384830121906,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-03 23:55:00+00:00,2020-01-04 00:20:00+00:00,2020-01-04 00:25:00+00:00,2020-01-04 00:30:00+00:00,5,7319.22,7312.97,-0.0008539161276748253,3.6889176715515504e-05,-0.0013908585887567604,1,5,-0.42695806383741264,-0.8269580638374127,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-04 02:55:00+00:00,2020-01-04 03:05:00+00:00,2020-01-04 03:10:00+00:00,2020-01-04 04:05:00+00:00,2,7332.29,7318.23,-0.0019175455417066445,0.0005741725981924795,-0.0024576223799112062,11,55,-0.9587727708533222,-1.3587727708533222,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-04 17:35:00+00:00,2020-01-04 17:45:00+00:00,2020-01-04 17:50:00+00:00,2020-01-04 18:45:00+00:00,2,7338.95,7306.97,-0.004357571587216058,0.008318628686664997,-0.00436165936544064,11,55,-2.178785793608029,-2.578785793608029,REVERSAL_CUT
external,5m,2020-01-04 19:45:00+00:00,2020-01-04 20:00:00+00:00,2020-01-04 20:05:00+00:00,2020-01-04 20:15:00+00:00,3,7339.98,7319.5,-0.002790198338414984,0.0012288861822511432,-0.0044932002539516125,2,10,-1.395099169207492,-1.795099169207492,REVERSAL_CUT
external,5m,2020-01-05 12:35:00+00:00,2020-01-05 12:45:00+00:00,2020-01-05 12:50:00+00:00,2020-01-05 13:25:00+00:00,2,7448.03,7439.76,-0.0011103607262591408,0.0009358179276937051,-0.001425880400589108,7,35,-0.5551803631295704,-0.9551803631295704,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-05 15:05:00+00:00,2020-01-05 15:10:00+00:00,2020-01-05 15:15:00+00:00,2020-01-05 16:55:00+00:00,1,7441.9,7452.03,0.0013612115185637208,0.0048509117295314486,-0.0007901208024830852,20,100,0.6806057592818604,0.2806057592818604,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-06 01:55:00+00:00,2020-01-06 02:00:00+00:00,2020-01-06 02:05:00+00:00,2020-01-06 04:30:00+00:00,1,7477.73,7516.26,0.00515263321890469,0.013687308849075874,-0.003297792244437825,29,145,2.576316609452345,2.176316609452345,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-06 17:20:00+00:00,2020-01-06 17:35:00+00:00,2020-01-06 17:40:00+00:00,2020-01-06 18:10:00+00:00,3,7545.4,7542.03,-0.00044662973467279876,0.001456516553131726,-0.0009847059135366099,6,30,-0.22331486733639938,-0.6233148673363994,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-06 20:15:00+00:00,2020-01-06 20:20:00+00:00,2020-01-06 20:25:00+00:00,2020-01-06 20:45:00+00:00,1,7548.41,7536.95,-0.0015182005216992644,0.00020931560421333373,-0.0020414895322325988,4,20,-0.7591002608496322,-1.1591002608496321,REVERSAL_CUT
external,5m,2020-01-07 06:50:00+00:00,2020-01-07 07:00:00+00:00,2020-01-07 07:05:00+00:00,2020-01-07 07:20:00+00:00,2,7892.52,7867.44,-0.003177692295996848,0.0006943283007201373,-0.0038314758784268044,3,15,-1.588846147998424,-1.9888461479984239,REVERSAL_CUT
external,5m,2020-01-07 10:55:00+00:00,2020-01-07 11:00:00+00:00,2020-01-07 11:05:00+00:00,2020-01-07 12:00:00+00:00,1,7895.26,7898.9,0.0004610361153400966,0.00933978108384026,-0.0014717691374318553,11,55,0.2305180576700483,-0.16948194232995173,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-07 16:40:00+00:00,2020-01-07 16:45:00+00:00,2020-01-07 16:50:00+00:00,2020-01-07 21:20:00+00:00,1,7932.46,8111.29,0.022544078381737886,0.032844792157792124,-0.006192278309628985,54,270,11.272039190868943,10.872039190868943,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-07 23:15:00+00:00,2020-01-07 23:20:00+00:00,2020-01-07 23:25:00+00:00,2020-01-08 02:20:00+00:00,1,8082.12,8333.84,0.031145293561590348,0.04779686517893822,-0.0013016386789603818,35,175,15.572646780795175,15.172646780795175,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-08 10:15:00+00:00,2020-01-08 10:20:00+00:00,2020-01-08 10:25:00+00:00,2020-01-08 11:00:00+00:00,1,8341.17,8330.01,-0.0013379417995317278,0.0018966164219167414,-0.0020668563283088304,7,35,-0.6689708997658639,-1.0689708997658638,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-08 13:45:00+00:00,2020-01-08 13:50:00+00:00,2020-01-08 13:55:00+00:00,2020-01-08 14:15:00+00:00,1,8407.68,8267.95,-0.016619328994443072,0.0005138159397122255,-0.024570392783740624,4,20,-8.309664497221537,-8.709664497221537,REVERSAL_CUT
external,5m,2020-01-08 23:15:00+00:00,2020-01-08 23:20:00+00:00,2020-01-08 23:25:00+00:00,2020-01-08 23:55:00+00:00,1,8088.19,8046.65,-0.005135883306401023,0.005045628255518242,-0.005678649982257977,6,30,-2.5679416532005117,-2.9679416532005116,REVERSAL_CUT
external,5m,2020-01-09 13:20:00+00:00,2020-01-09 13:45:00+00:00,2020-01-09 13:50:00+00:00,2020-01-09 13:55:00+00:00,5,7921.0,7902.9,-0.0022850650170433973,0.000504986744098046,-0.00239868703446533,1,5,-1.1425325085216986,-1.5425325085216985,REVERSAL_CUT
external,5m,2020-01-09 19:45:00+00:00,2020-01-09 19:50:00+00:00,2020-01-09 19:55:00+00:00,2020-01-09 20:55:00+00:00,1,7935.04,7820.71,-0.014408244948985738,0.009047213372585405,-0.016010001209823765,12,60,-7.204122474492869,-7.604122474492869,REVERSAL_CUT
external,5m,2020-01-10 10:50:00+00:00,2020-01-10 10:55:00+00:00,2020-01-10 11:00:00+00:00,2020-01-10 14:00:00+00:00,1,7770.99,7868.0,0.012483608909547028,0.022122020489024008,-0.0007798234201819021,36,180,6.241804454773514,5.841804454773514,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-11 13:55:00+00:00,2020-01-11 14:05:00+00:00,2020-01-11 14:10:00+00:00,2020-01-11 14:50:00+00:00,2,8094.0,8067.6,-0.0032616753150481737,0.0032196688905361537,-0.0038299975290339017,8,40,-1.6308376575240868,-2.0308376575240867,REVERSAL_CUT
external,5m,2020-01-11 15:35:00+00:00,2020-01-11 15:45:00+00:00,2020-01-11 15:50:00+00:00,2020-01-11 16:05:00+00:00,2,8096.93,8077.84,-0.002357683714691916,0.001614192045627183,-0.0032567899191421334,3,15,-1.178841857345958,-1.578841857345958,REVERSAL_CUT
external,5m,2020-01-12 02:45:00+00:00,2020-01-12 02:55:00+00:00,2020-01-12 03:00:00+00:00,2020-01-12 03:20:00+00:00,2,8097.8,8074.89,-0.002829163476499752,0.0019894292276914083,-0.00391587838672236,4,20,-1.414581738249876,-1.814581738249876,REVERSAL_CUT
external,5m,2020-01-12 20:00:00+00:00,2020-01-12 20:05:00+00:00,2020-01-12 20:10:00+00:00,2020-01-12 20:45:00+00:00,1,8141.25,8133.66,-0.00093228926761868,0.001274988484569306,-0.0012491939198525648,7,35,-0.46614463380934,-0.86614463380934,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-12 22:40:00+00:00,2020-01-12 22:45:00+00:00,2020-01-12 22:50:00+00:00,2020-01-13 00:25:00+00:00,1,8162.54,8158.01,-0.000554974309467382,0.0045892577555515235,-0.003759859063477755,19,95,-0.277487154733691,-0.677487154733691,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-13 08:55:00+00:00,2020-01-13 09:20:00+00:00,2020-01-13 09:25:00+00:00,2020-01-13 09:45:00+00:00,5,8113.78,8097.26,-0.0020360423871487177,0.0009231209128175433,-0.00217900904387347,4,20,-1.0180211935743588,-1.4180211935743587,REVERSAL_CUT
external,5m,2020-01-13 16:50:00+00:00,2020-01-13 16:55:00+00:00,2020-01-13 17:00:00+00:00,2020-01-13 17:25:00+00:00,1,8109.15,8099.51,-0.0011887805750293579,0.002817804578778338,-0.0013749899804541554,5,25,-0.5943902875146789,-0.994390287514679,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-14 00:10:00+00:00,2020-01-14 00:15:00+00:00,2020-01-14 00:20:00+00:00,2020-01-14 03:30:00+00:00,1,8132.74,8390.34,0.03167444182403467,0.04331381551604996,-0.0002754299289046136,38,190,15.837220912017337,15.437220912017336,DYNAMIC_DETERIORATION_CUT
external,5m,2020-01-14 10:45:00+00:00,2020-01-14 10:50:00+00:00,2020-01-14 10:55:00+00:00,2020-01-14 11:30:00+00:00,1,8528.34,8513.03,-0.0017951910922875403,0.0011057251469805962,-0.002150477115124394,7,35,-0.8975955461437701,-1.29759554614377,REVERSAL_CUT
