partition,entry_tf,higher_tf,entry_type,signal_ts,entry_ts,higher_state,entry_px,max_follow_bars,bars_to_soft_failure,hours_to_soft_failure,soft_censored,bars_to_hard_failure,hours_to_hard_failure,hard_censored
external,5m,1h,PULLBACK_RECLAIM,2020-01-06 10:35:00+00:00,2020-01-06 10:40:00+00:00,STRONG_BULL,7545.0,208960,10.0,0.8333333333333334,False,12.0,1.0,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-06 10:45:00+00:00,2020-01-06 10:50:00+00:00,STRONG_BULL,7557.47,208958,8.0,0.6666666666666666,False,10.0,0.8333333333333334,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-06 13:30:00+00:00,2020-01-06 13:35:00+00:00,STRONG_BULL,7556.0,208925,4.0,0.3333333333333333,False,4.0,0.3333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-06 22:00:00+00:00,2020-01-06 22:05:00+00:00,NEUTRAL,7589.34,208823,44.0,3.6666666666666665,False,75.0,6.25,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-07 08:35:00+00:00,2020-01-07 08:40:00+00:00,STRONG_BULL,7892.92,208696,1.0,0.08333333333333333,False,2.0,0.16666666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-08 11:00:00+00:00,2020-01-08 11:05:00+00:00,NEUTRAL,8331.02,208379,11.0,0.9166666666666666,False,13.0,1.0833333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-08 11:05:00+00:00,2020-01-08 11:10:00+00:00,NEUTRAL,8348.72,208378,10.0,0.8333333333333334,False,12.0,1.0,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-09 13:45:00+00:00,2020-01-09 13:50:00+00:00,STRONG_BEAR,7921.0,208058,1.0,0.08333333333333333,False,1.0,0.08333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-10 11:50:00+00:00,2020-01-10 11:55:00+00:00,STRONG_BEAR,7826.89,207793,25.0,2.0833333333333335,False,61.0,5.083333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-10 11:55:00+00:00,2020-01-10 12:00:00+00:00,NEUTRAL,7841.0,207792,24.0,2.0,False,60.0,5.0,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-10 22:40:00+00:00,2020-01-10 22:45:00+00:00,STRONG_BULL,8089.67,207663,24.0,2.0,False,55.0,4.583333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-10 22:50:00+00:00,2020-01-10 22:55:00+00:00,STRONG_BULL,8083.05,207661,22.0,1.8333333333333333,False,53.0,4.416666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-10 23:20:00+00:00,2020-01-10 23:25:00+00:00,STRONG_BULL,8093.97,207655,16.0,1.3333333333333333,False,47.0,3.9166666666666665,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-10 23:25:00+00:00,2020-01-10 23:30:00+00:00,STRONG_BULL,8099.17,207654,15.0,1.25,False,46.0,3.8333333333333335,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-11 14:35:00+00:00,2020-01-11 14:40:00+00:00,NEUTRAL,8089.96,207472,2.0,0.16666666666666666,False,2.0,0.16666666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-11 21:15:00+00:00,2020-01-11 21:20:00+00:00,STRONG_BULL,8174.08,207392,2.0,0.16666666666666666,False,7.0,0.5833333333333334,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-11 21:35:00+00:00,2020-01-11 21:40:00+00:00,STRONG_BULL,8210.74,207388,2.0,0.16666666666666666,False,3.0,0.25,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-12 04:00:00+00:00,2020-01-12 04:05:00+00:00,NEUTRAL,8104.41,207311,6.0,0.5,False,7.0,0.5833333333333334,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-12 04:15:00+00:00,2020-01-12 04:20:00+00:00,NEUTRAL,8090.59,207308,3.0,0.25,False,4.0,0.3333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-12 04:25:00+00:00,2020-01-12 04:30:00+00:00,NEUTRAL,8095.4,207306,1.0,0.08333333333333333,False,2.0,0.16666666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-12 05:25:00+00:00,2020-01-12 05:30:00+00:00,NEUTRAL,8094.62,207294,15.0,1.25,False,17.0,1.4166666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-12 07:50:00+00:00,2020-01-12 07:55:00+00:00,NEUTRAL,8110.0,207265,1.0,0.08333333333333333,False,1.0,0.08333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-12 10:45:00+00:00,2020-01-12 10:50:00+00:00,STRONG_BULL,8138.48,207230,2.0,0.16666666666666666,False,6.0,0.5,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-12 13:10:00+00:00,2020-01-12 13:15:00+00:00,NEUTRAL,8133.45,207201,15.0,1.25,False,19.0,1.5833333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-12 13:35:00+00:00,2020-01-12 13:40:00+00:00,NEUTRAL,8144.82,207196,10.0,0.8333333333333334,False,14.0,1.1666666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-12 15:20:00+00:00,2020-01-12 15:25:00+00:00,STRONG_BULL,8158.61,207175,7.0,0.5833333333333334,False,9.0,0.75,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-12 15:25:00+00:00,2020-01-12 15:30:00+00:00,STRONG_BULL,8167.92,207174,6.0,0.5,False,8.0,0.6666666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-12 15:40:00+00:00,2020-01-12 15:45:00+00:00,STRONG_BULL,8165.4,207171,3.0,0.25,False,5.0,0.4166666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-13 00:05:00+00:00,2020-01-13 00:10:00+00:00,STRONG_BULL,8167.4,207070,3.0,0.25,False,5.0,0.4166666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-13 00:10:00+00:00,2020-01-13 00:15:00+00:00,STRONG_BULL,8180.01,207069,2.0,0.16666666666666666,False,4.0,0.3333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-13 09:35:00+00:00,2020-01-13 09:40:00+00:00,NEUTRAL,8109.02,206956,1.0,0.08333333333333333,False,1.0,0.08333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-13 11:00:00+00:00,2020-01-13 11:05:00+00:00,NEUTRAL,8126.73,206939,6.0,0.5,False,6.0,0.5,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-13 16:55:00+00:00,2020-01-13 17:00:00+00:00,NEUTRAL,8109.15,206868,5.0,0.4166666666666667,False,10.0,0.8333333333333334,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-13 17:25:00+00:00,2020-01-13 17:30:00+00:00,NEUTRAL,8114.67,206862,3.0,0.25,False,4.0,0.3333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-13 20:10:00+00:00,2020-01-13 20:15:00+00:00,NEUTRAL,8116.36,206829,16.0,1.3333333333333333,False,25.0,2.0833333333333335,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-14 09:25:00+00:00,2020-01-14 09:30:00+00:00,STRONG_BULL,8549.99,206670,4.0,0.3333333333333333,False,5.0,0.4166666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-14 11:55:00+00:00,2020-01-14 12:00:00+00:00,STRONG_BULL,8530.24,206640,2.0,0.16666666666666666,False,8.0,0.6666666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-14 12:00:00+00:00,2020-01-14 12:05:00+00:00,STRONG_BULL,8542.07,206639,1.0,0.08333333333333333,False,7.0,0.5833333333333334,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-14 12:20:00+00:00,2020-01-14 12:25:00+00:00,STRONG_BULL,8543.0,206635,3.0,0.25,False,3.0,0.25,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-14 13:20:00+00:00,2020-01-14 13:25:00+00:00,STRONG_BULL,8555.0,206623,32.0,2.6666666666666665,False,32.0,2.6666666666666665,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-14 13:40:00+00:00,2020-01-14 13:45:00+00:00,STRONG_BULL,8552.69,206619,28.0,2.3333333333333335,False,28.0,2.3333333333333335,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-14 16:55:00+00:00,2020-01-14 17:00:00+00:00,STRONG_BULL,8684.81,206580,19.0,1.5833333333333333,False,41.0,3.4166666666666665,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-14 22:10:00+00:00,2020-01-14 22:15:00+00:00,STRONG_BULL,8757.99,206517,9.0,0.75,False,10.0,0.8333333333333334,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-14 23:15:00+00:00,2020-01-14 23:20:00+00:00,STRONG_BULL,8793.84,206504,9.0,0.75,False,9.0,0.75,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-15 00:15:00+00:00,2020-01-15 00:20:00+00:00,STRONG_BULL,8872.7,206492,5.0,0.4166666666666667,False,8.0,0.6666666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-15 02:30:00+00:00,2020-01-15 02:35:00+00:00,STRONG_BULL,8799.2,206465,6.0,0.5,False,7.0,0.5833333333333334,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-15 02:40:00+00:00,2020-01-15 02:45:00+00:00,STRONG_BULL,8822.51,206463,4.0,0.3333333333333333,False,5.0,0.4166666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-15 13:40:00+00:00,2020-01-15 13:45:00+00:00,NEUTRAL,8820.0,206331,5.0,0.4166666666666667,False,5.0,0.4166666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-15 13:45:00+00:00,2020-01-15 13:50:00+00:00,NEUTRAL,8856.28,206330,4.0,0.3333333333333333,False,4.0,0.3333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-15 14:25:00+00:00,2020-01-15 14:30:00+00:00,NEUTRAL,8869.02,206322,7.0,0.5833333333333334,False,11.0,0.9166666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-15 14:40:00+00:00,2020-01-15 14:45:00+00:00,NEUTRAL,8852.76,206319,4.0,0.3333333333333333,False,8.0,0.6666666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-15 22:15:00+00:00,2020-01-15 22:20:00+00:00,NEUTRAL,8842.23,206228,11.0,0.9166666666666666,False,12.0,1.0,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-15 22:50:00+00:00,2020-01-15 22:55:00+00:00,NEUTRAL,8855.61,206221,4.0,0.3333333333333333,False,5.0,0.4166666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-16 08:30:00+00:00,2020-01-16 08:35:00+00:00,NEUTRAL,8716.99,206105,2.0,0.16666666666666666,False,4.0,0.3333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-16 20:15:00+00:00,2020-01-16 20:20:00+00:00,NEUTRAL,8706.16,205964,11.0,0.9166666666666666,False,11.0,0.9166666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-16 20:40:00+00:00,2020-01-16 20:45:00+00:00,NEUTRAL,8714.74,205959,6.0,0.5,False,6.0,0.5,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-16 20:45:00+00:00,2020-01-16 20:50:00+00:00,NEUTRAL,8717.64,205958,5.0,0.4166666666666667,False,5.0,0.4166666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-17 05:20:00+00:00,2020-01-17 05:25:00+00:00,STRONG_BULL,8843.76,205855,18.0,1.5,False,61.0,5.083333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-17 17:10:00+00:00,2020-01-17 17:15:00+00:00,NEUTRAL,8910.0,205713,6.0,0.5,False,8.0,0.6666666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-17 18:15:00+00:00,2020-01-17 18:20:00+00:00,NEUTRAL,8904.56,205700,16.0,1.3333333333333333,False,16.0,1.3333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-17 18:40:00+00:00,2020-01-17 18:45:00+00:00,NEUTRAL,8936.39,205695,11.0,0.9166666666666666,False,11.0,0.9166666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-17 18:45:00+00:00,2020-01-17 18:50:00+00:00,NEUTRAL,8949.86,205694,10.0,0.8333333333333334,False,10.0,0.8333333333333334,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-17 22:35:00+00:00,2020-01-17 22:40:00+00:00,NEUTRAL,8922.0,205648,10.0,0.8333333333333334,False,16.0,1.3333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-17 22:40:00+00:00,2020-01-17 22:45:00+00:00,NEUTRAL,8938.4,205647,9.0,0.75,False,15.0,1.25,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-18 00:30:00+00:00,2020-01-18 00:35:00+00:00,STRONG_BULL,8956.97,205625,7.0,0.5833333333333334,False,14.0,1.1666666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-18 00:35:00+00:00,2020-01-18 00:40:00+00:00,STRONG_BULL,8977.28,205624,6.0,0.5,False,13.0,1.0833333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-18 10:15:00+00:00,2020-01-18 10:20:00+00:00,NEUTRAL,8887.63,205508,9.0,0.75,False,11.0,0.9166666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-18 10:30:00+00:00,2020-01-18 10:35:00+00:00,NEUTRAL,8899.99,205505,6.0,0.5,False,8.0,0.6666666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-18 21:50:00+00:00,2020-01-18 21:55:00+00:00,NEUTRAL,8929.49,205369,15.0,1.25,False,25.0,2.0833333333333335,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-20 16:20:00+00:00,2020-01-20 16:25:00+00:00,NEUTRAL,8681.97,204859,3.0,0.25,False,13.0,1.0833333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-20 18:10:00+00:00,2020-01-20 18:15:00+00:00,NEUTRAL,8679.52,204837,14.0,1.1666666666666667,False,29.0,2.4166666666666665,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-20 18:50:00+00:00,2020-01-20 18:55:00+00:00,NEUTRAL,8679.93,204829,6.0,0.5,False,21.0,1.75,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-20 20:55:00+00:00,2020-01-20 21:00:00+00:00,NEUTRAL,8679.98,204804,2.0,0.16666666666666666,False,23.0,1.9166666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-20 21:25:00+00:00,2020-01-20 21:30:00+00:00,NEUTRAL,8680.75,204798,1.0,0.08333333333333333,False,17.0,1.4166666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-21 03:45:00+00:00,2020-01-21 03:50:00+00:00,NEUTRAL,8675.0,204722,14.0,1.1666666666666667,False,18.0,1.5,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-22 06:35:00+00:00,2020-01-22 06:40:00+00:00,STRONG_BULL,8740.78,204400,11.0,0.9166666666666666,False,12.0,1.0,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-22 17:35:00+00:00,2020-01-22 17:40:00+00:00,NEUTRAL,8680.0,204268,6.0,0.5,False,13.0,1.0833333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-22 17:50:00+00:00,2020-01-22 17:55:00+00:00,NEUTRAL,8690.0,204265,3.0,0.25,False,10.0,0.8333333333333334,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-24 00:45:00+00:00,2020-01-24 00:50:00+00:00,NEUTRAL,8410.05,203894,4.0,0.3333333333333333,False,5.0,0.4166666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-24 00:50:00+00:00,2020-01-24 00:55:00+00:00,NEUTRAL,8412.71,203893,3.0,0.25,False,4.0,0.3333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-24 18:10:00+00:00,2020-01-24 18:15:00+00:00,NEUTRAL,8488.12,203685,4.0,0.3333333333333333,False,26.0,2.1666666666666665,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-24 19:05:00+00:00,2020-01-24 19:10:00+00:00,NEUTRAL,8497.69,203674,13.0,1.0833333333333333,False,15.0,1.25,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-24 19:40:00+00:00,2020-01-24 19:45:00+00:00,NEUTRAL,8506.31,203667,6.0,0.5,False,8.0,0.6666666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-24 19:45:00+00:00,2020-01-24 19:50:00+00:00,NEUTRAL,8514.44,203666,5.0,0.4166666666666667,False,7.0,0.5833333333333334,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-25 19:15:00+00:00,2020-01-25 19:20:00+00:00,NEUTRAL,8345.43,203384,14.0,1.1666666666666667,False,42.0,3.5,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-25 22:05:00+00:00,2020-01-25 22:10:00+00:00,NEUTRAL,8404.95,203350,6.0,0.5,False,8.0,0.6666666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-25 22:15:00+00:00,2020-01-25 22:20:00+00:00,NEUTRAL,8417.39,203348,4.0,0.3333333333333333,False,6.0,0.5,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-26 04:25:00+00:00,2020-01-26 04:30:00+00:00,NEUTRAL,8368.0,203274,23.0,1.9166666666666667,False,24.0,2.0,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-26 04:50:00+00:00,2020-01-26 04:55:00+00:00,NEUTRAL,8370.99,203269,18.0,1.5,False,19.0,1.5833333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-26 10:40:00+00:00,2020-01-26 10:45:00+00:00,NEUTRAL,8464.88,203199,18.0,1.5,False,41.0,3.4166666666666665,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-26 15:05:00+00:00,2020-01-26 15:10:00+00:00,STRONG_BULL,8474.48,203146,6.0,0.5,False,6.0,0.5,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-26 23:45:00+00:00,2020-01-26 23:50:00+00:00,STRONG_BULL,8598.7,203042,26.0,2.1666666666666665,False,28.0,2.3333333333333335,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-27 03:35:00+00:00,2020-01-27 03:40:00+00:00,STRONG_BULL,8665.99,202996,9.0,0.75,False,10.0,0.8333333333333334,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-27 04:05:00+00:00,2020-01-27 04:10:00+00:00,STRONG_BULL,8678.63,202990,3.0,0.25,False,4.0,0.3333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-27 06:45:00+00:00,2020-01-27 06:50:00+00:00,STRONG_BULL,8661.01,202958,6.0,0.5,False,6.0,0.5,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-27 07:40:00+00:00,2020-01-27 07:45:00+00:00,STRONG_BULL,8658.01,202947,4.0,0.3333333333333333,False,4.0,0.3333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-27 07:45:00+00:00,2020-01-27 07:50:00+00:00,STRONG_BULL,8664.0,202946,3.0,0.25,False,3.0,0.25,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-27 16:15:00+00:00,2020-01-27 16:20:00+00:00,STRONG_BULL,8803.42,202844,16.0,1.3333333333333333,False,20.0,1.6666666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-28 00:10:00+00:00,2020-01-28 00:15:00+00:00,STRONG_BULL,8948.18,202749,35.0,2.9166666666666665,False,55.0,4.583333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-28 00:25:00+00:00,2020-01-28 00:30:00+00:00,STRONG_BULL,8956.9,202746,32.0,2.6666666666666665,False,52.0,4.333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-28 11:55:00+00:00,2020-01-28 12:00:00+00:00,NEUTRAL,9089.4,202608,2.0,0.16666666666666666,False,2.0,0.16666666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-28 13:20:00+00:00,2020-01-28 13:25:00+00:00,NEUTRAL,9090.48,202591,2.0,0.16666666666666666,False,17.0,1.4166666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-28 22:35:00+00:00,2020-01-28 22:40:00+00:00,NEUTRAL,9103.0,202480,36.0,3.0,False,100.0,8.333333333333334,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-29 06:15:00+00:00,2020-01-29 06:20:00+00:00,STRONG_BULL,9378.43,202388,4.0,0.3333333333333333,False,8.0,0.6666666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-29 08:30:00+00:00,2020-01-29 08:35:00+00:00,STRONG_BULL,9379.75,202361,7.0,0.5833333333333334,False,9.0,0.75,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-29 18:15:00+00:00,2020-01-29 18:20:00+00:00,NEUTRAL,9375.66,202244,10.0,0.8333333333333334,False,11.0,0.9166666666666666,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-29 18:55:00+00:00,2020-01-29 19:00:00+00:00,NEUTRAL,9379.93,202236,2.0,0.16666666666666666,False,3.0,0.25,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-29 19:55:00+00:00,2020-01-29 20:00:00+00:00,NEUTRAL,9400.0,202224,4.0,0.3333333333333333,False,17.0,1.4166666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-30 05:35:00+00:00,2020-01-30 05:40:00+00:00,NEUTRAL,9355.44,202108,1.0,0.08333333333333333,False,43.0,3.5833333333333335,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-30 07:10:00+00:00,2020-01-30 07:15:00+00:00,NEUTRAL,9350.62,202089,17.0,1.4166666666666667,False,24.0,2.0,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-30 10:00:00+00:00,2020-01-30 10:05:00+00:00,NEUTRAL,9380.49,202055,1.0,0.08333333333333333,False,2.0,0.16666666666666666,False
