role,partition,dev_block,execution_start,parent_entry_ts,lane,component,H,L,R,entry_ts,entry_price,baseline_exit_ts,baseline_exit_price,baseline_exit_reason,baseline_pnl,baseline_pnl_5bps,intervention,signal_ts,candidate_exit_ts,candidate_exit_price,candidate_exit_reason,candidate_pnl,candidate_pnl_5bps,guard_entry_to_e20_min,guard_running_mae_R_to_e20,selection_scope
CENTRAL,development,0.0,2022-01-01 18:00:00+00:00,2022-01-01 18:55:00+00:00,G_SHALLOW25,PARENT,175.48,172.0,3.4799999999999898,2022-01-01 18:55:00+00:00,175.48,2022-01-01 19:35:00+00:00,176.872,TARGET,3.9662639617050734,3.7162639617050734,False,,2022-01-01 19:35:00+00:00,176.872,TARGET,3.9662639617050743,3.7162639617050743,,,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-01-06 18:00:00+00:00,2022-01-06 18:05:00+00:00,G_SHALLOW25,PARENT,152.7,147.25,5.449999999999989,2022-01-06 18:05:00+00:00,152.7,2022-01-06 20:20:00+00:00,151.85,FAILED_BREAK,-2.783235101506188,-3.033235101506188,False,,2022-01-06 20:20:00+00:00,151.85,FAILED_BREAK,-2.7832351015061874,-3.033235101506188,,,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-01-07 18:00:00+00:00,2022-01-07 20:00:00+00:00,G_SHALLOW25,PARENT,140.65,132.98,7.670000000000016,2022-01-07 20:00:00+00:00,140.65,2022-01-07 20:10:00+00:00,140.41,FAILED_BREAK,-0.8531816565944261,-1.103181656594426,False,,2022-01-07 20:10:00+00:00,140.41,FAILED_BREAK,-0.8531816565944261,-1.1031816565944261,,,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-01-08 18:00:00+00:00,2022-01-08 22:00:00+00:00,G_SHALLOW25,PARENT,146.15,135.0,11.150000000000006,2022-01-08 22:00:00+00:00,146.15,2022-01-08 22:35:00+00:00,145.19,FAILED_BREAK,-3.284296955183064,-3.534296955183064,False,,2022-01-08 22:35:00+00:00,145.19,FAILED_BREAK,-3.2842969551830636,-3.5342969551830636,,,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-01-09 18:00:00+00:00,2022-01-09 18:00:00+00:00,G_SHALLOW25,PARENT,144.71,137.83,6.879999999999996,2022-01-09 18:00:00+00:00,144.71,2022-01-09 18:25:00+00:00,144.69,FAILED_BREAK,-0.0691037246908221,-0.3191037246908221,False,,2022-01-09 18:25:00+00:00,144.69,FAILED_BREAK,-0.06910372469082215,-0.31910372469082215,,,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-01-10 18:00:00+00:00,2022-01-11 04:00:00+00:00,G_SHALLOW25,PARENT,137.5,129.45,8.050000000000011,2022-01-11 04:00:00+00:00,137.5,2022-01-11 04:10:00+00:00,137.06,FAILED_BREAK,-1.5999999999999903,-1.8499999999999903,False,,2022-01-11 04:10:00+00:00,137.06,FAILED_BREAK,-1.5999999999999903,-1.8499999999999903,,,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-01-11 18:00:00+00:00,2022-01-11 18:35:00+00:00,G_SHALLOW25,PARENT,143.02,135.01,8.01000000000002,2022-01-11 18:35:00+00:00,143.02,2022-01-12 05:55:00+00:00,140.25,TIME,-9.683960285274797,-9.933960285274797,False,,2022-01-12 05:55:00+00:00,140.25,TIME,-9.683960285274795,-9.933960285274795,,,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-01-12 18:00:00+00:00,2022-01-12 19:50:00+00:00,G_SHALLOW25,PARENT,152.13,145.52,6.609999999999985,2022-01-12 19:50:00+00:00,152.13,2022-01-12 20:05:00+00:00,152.01,FAILED_BREAK,-0.3943995267206013,-0.6443995267206013,False,,2022-01-12 20:05:00+00:00,152.01,FAILED_BREAK,-0.3943995267206013,-0.6443995267206013,,,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-01-14 18:00:00+00:00,2022-01-14 19:35:00+00:00,G_SHALLOW25,PARENT,148.55,142.89,5.660000000000025,2022-01-14 19:35:00+00:00,148.55,2022-01-14 20:00:00+00:00,148.23,FAILED_BREAK,-1.0770784247728926,-1.3270784247728926,True,2022-01-14 19:40:00+00:00,2022-01-14 19:45:00+00:00,148.85,A16_GUARDED_E10_FAIL,1.0097610232244758,0.7597610232244758,0.0,0.11484098939929378,DEVELOPMENT_FROZEN_WINNER
CENTRAL,development,0.0,2022-01-15 18:00:00+00:00,2022-01-15 20:10:00+00:00,G_SHALLOW25,PARENT,148.83,145.0,3.830000000000013,2022-01-15 20:10:00+00:00,148.83,2022-01-15 20:25:00+00:00,148.7,FAILED_BREAK,-0.4367399045892006,-0.6867399045892006,False,,2022-01-15 20:25:00+00:00,148.7,FAILED_BREAK,-0.43673990458920064,-0.6867399045892006,,,DEVELOPMENT_FROZEN_WINNER
