partition,mechanism,warning,loss_n,loss_hit_n,loss_hit_rate,winner_n,winner_hit_n,winner_hit_rate,gap,hit_rate_ratio,median_loss_lead_min,median_warning_from_break_min,dev_same_direction_blocks,dev_candidate,replicated
development,M2_FAILED_BREAK,POST_H10,262,231,0.8816793893129771,244,70,0.28688524590163933,0.5947941434113377,3.073282442748092,10.0,0.0,6,True,True
external,M2_FAILED_BREAK,POST_H10,137,130,0.948905109489051,115,62,0.5391304347826087,0.40977467470644235,1.760065928890982,10.0,0.0,6,True,True
reference_validation,M2_FAILED_BREAK,POST_H10,140,133,0.95,150,54,0.36,0.59,2.638888888888889,5.0,0.0,6,True,True
development,M2_FAILED_BREAK,POST_H05,262,182,0.6946564885496184,244,37,0.15163934426229508,0.5430171442873233,4.580977924489375,5.0,0.0,6,True,True
external,M2_FAILED_BREAK,POST_H05,137,110,0.8029197080291971,115,38,0.33043478260869563,0.47248492542050147,2.42988859008836,10.0,0.0,6,True,True
reference_validation,M2_FAILED_BREAK,POST_H05,140,106,0.7571428571428571,150,32,0.21333333333333335,0.5438095238095237,3.5491071428571423,5.0,0.0,6,True,True
development,M2_FAILED_BREAK,NO_EXT_005R_BY_5M,262,25,0.09541984732824428,244,1,0.004098360655737705,0.09132148667250657,23.282442748091604,,,6,False,False
external,M2_FAILED_BREAK,NO_EXT_005R_BY_5M,137,30,0.21897810218978103,115,2,0.017391304347826087,0.20158679784195493,12.591240875912408,,,6,False,False
reference_validation,M2_FAILED_BREAK,NO_EXT_005R_BY_5M,140,19,0.1357142857142857,150,0,0.0,0.1357142857142857,inf,,,6,False,False
development,M2_FAILED_BREAK,NO_EXT_010R_BY_10M,262,89,0.33969465648854963,244,2,0.00819672131147541,0.3314979351770742,41.44274809160305,,,6,False,False
external,M2_FAILED_BREAK,NO_EXT_010R_BY_10M,137,64,0.46715328467153283,115,6,0.05217391304347826,0.4149793716280546,8.953771289537713,,,6,False,False
reference_validation,M2_FAILED_BREAK,NO_EXT_010R_BY_10M,140,49,0.35,150,2,0.013333333333333334,0.33666666666666667,26.249999999999996,,,6,False,False
development,M0_REFERENCE_INVALIDATION,PRE_L25,37,33,0.8918918918918919,244,9,0.036885245901639344,0.8550066459902526,24.18018018018018,40.0,,6,True,True
external,M0_REFERENCE_INVALIDATION,PRE_L25,13,13,1.0,115,4,0.034782608695652174,0.9652173913043478,28.75,65.0,,6,True,True
reference_validation,M0_REFERENCE_INVALIDATION,PRE_L25,26,24,0.9230769230769231,150,6,0.04,0.8830769230769231,23.076923076923077,35.0,,6,True,True
development,M0_REFERENCE_INVALIDATION,PRE_L10,37,15,0.40540540540540543,244,3,0.012295081967213115,0.3931103234381923,32.972972972972975,10.0,,6,False,False
external,M0_REFERENCE_INVALIDATION,PRE_L10,13,10,0.7692307692307693,115,0,0.0,0.7692307692307693,inf,22.5,,6,False,False
reference_validation,M0_REFERENCE_INVALIDATION,PRE_L10,26,14,0.5384615384615384,150,3,0.02,0.5184615384615384,26.92307692307692,10.0,,6,False,False
development,M0_REFERENCE_INVALIDATION,NO_BREAK_30M,37,35,0.9459459459459459,244,87,0.35655737704918034,0.5893885688967656,2.6529978254116187,,,6,True,True
external,M0_REFERENCE_INVALIDATION,NO_BREAK_30M,13,13,1.0,115,26,0.22608695652173913,0.7739130434782608,4.423076923076923,,,6,True,True
reference_validation,M0_REFERENCE_INVALIDATION,NO_BREAK_30M,26,25,0.9615384615384616,150,57,0.38,0.5815384615384616,2.5303643724696356,,,6,True,True
development,M0_REFERENCE_INVALIDATION,NO_BREAK_60M,37,33,0.8918918918918919,244,75,0.3073770491803279,0.5845148427115641,2.9016216216216217,,,6,True,True
external,M0_REFERENCE_INVALIDATION,NO_BREAK_60M,13,12,0.9230769230769231,115,22,0.19130434782608696,0.7317725752508362,4.825174825174825,,,6,True,True
reference_validation,M0_REFERENCE_INVALIDATION,NO_BREAK_60M,26,23,0.8846153846153846,150,49,0.32666666666666666,0.5579487179487179,2.708006279434851,,,6,True,True
development,M0_REFERENCE_INVALIDATION,NO_BREAK_120M,37,29,0.7837837837837838,244,58,0.23770491803278687,0.546078865750997,3.2972972972972974,,,6,True,True
external,M0_REFERENCE_INVALIDATION,NO_BREAK_120M,13,12,0.9230769230769231,115,16,0.1391304347826087,0.7839464882943145,6.634615384615385,,,6,True,True
reference_validation,M0_REFERENCE_INVALIDATION,NO_BREAK_120M,26,19,0.7307692307692307,150,41,0.2733333333333333,0.4574358974358974,2.673545966228893,,,6,True,True
