i,period,date,parent_pnl,parent_win,parent_mfe_r,parent_mae_r,failure_to_develop,developed_05r,sf68_pnl,sf9_pnl,ret6h,ret12h,ret24h,ret48h,ret72h,sun_pre16_ret,sat_day_ret,fri_day_ret,thu_day_ret,sat18_to_sun12_ret,sun12_to16_ret,prior24_range,prior24_close_loc,prior24_taker,pre_close_vs_ema7,pre_close_vs_ema20,pre_ema_spread,ret30m,ret60m,ret120m,ret240m,ret480m,taker30,taker60,taker120,taker240,range_pos2h,range_pos4h,range_pos8h,ema7_slope30,ema20_slope60,last_green,last_body_ratio,last_upper_wick_ratio,last_lower_wick_ratio,last_wick_dominant,last_upper_gt_lower,last3_up
0,D,2023-12-03,-7.699536725601946,False,0.04804998649160508,1.1885572130282565,True,False,-7.699536725601946,-7.699536725601946,0.0011334497279467115,-0.004462965724119972,0.01807773815061764,0.028601941088461258,0.046238629573069456,0.01718657608597418,-0.0016009280742459442,0.03024057538365099,-0.002667401283637072,0.01582777644395228,0.0011359939820272391,0.03138619338361881,0.5828529072640412,0.01133315541302395,-0.0006906542002286242,-0.0009591919850119313,-0.00026872337971417526,-0.001839553439534125,-0.002041845159231004,-0.0003248211580382243,0.0011359939820272391,-0.0023350225524683133,-0.3305568493337455,-0.22066792339167407,0.03015135162381788,0.029090292033740806,0.055,0.4758735440931865,0.4707283866575954,-0.0007087371971703504,-0.00017030728020950292,False,0.6275071633239286,0.29512893982800437,0.07736389684806705,False,True,False
1,D,2023-12-10,11.943680114806734,True,2.3641714440966424,0.48842474133057945,False,True,11.943680114806734,11.943680114806734,0.0004979670153959503,-0.004957063019673691,-0.001411254009762386,0.012878414722416798,0.004518058473309106,-0.0057273092542692305,0.00477845748199246,0.0030106838095673716,-0.0036992886334058506,0.002480399599670724,-0.00393198507255621,0.014368040408678784,0.3911792905081524,-0.018092015240418795,-0.0008504464530371125,-0.002055536959087778,-0.0012061162433317785,-0.0025164938522397318,-0.004454970701748828,-0.0032179366972224788,-0.00393198507255621,-4.5662100456311805e-06,-0.1452950879151791,-0.10998829588867198,-0.06771663340056244,-0.07229267019472296,0.11776000000000932,0.11776000000000932,0.19267935578331746,-0.002030958398822613,-0.0013202139014651948,True,0.40181818181828766,0.5127272727272199,0.08545454545449253,True,True,False
2,D,2023-12-17,11.865836000367446,True,1.888012890288726,0.9497999865044626,False,True,11.865836000367446,11.865836000367446,0.000666017359419957,-0.010413174755310561,-0.006632921471328435,-0.022482207318552105,-0.01983309522083676,-0.016373939671254112,0.01908246350299514,-0.018298981172825024,0.016804315653792923,-0.006147129014023256,-0.002410756782484591,0.02604916585075534,0.228005527406725,-0.01856565661941387,0.0008110025524861175,0.0006167976850357526,-0.00019404749443696634,0.0014477484644548344,0.0005752531352489765,-0.002332405924311054,-0.002410756782484591,-0.005754092022779322,0.046920622888394714,-0.02732258226273887,-0.0846730336340159,-0.07972893681628146,0.6315386578208704,0.6245268735806162,0.4094292803970223,0.0008795708051694273,-0.001346561835152249,True,0.6049382716048662,0.2685185185186412,0.12654320987649262,False,True,True
3,D,2023-12-24,11.848751643487457,True,1.8158211866855274,0.4063879473580334,False,True,11.848751643487457,11.848751643487457,-0.005267594723291746,-0.0017833544439821436,0.00031388829700707,0.0004903937816236326,-0.0011461934252881,-0.003608114492022585,0.005295144664361873,-0.002884712169321846,-0.0002904457083788836,0.005051825353146189,-0.003844547929077735,0.01244301458320396,0.380432772332167,-0.036772649203801716,-0.00014119220553410194,0.0001571565541858,0.0002983908901879051,0.0003093045687720952,-0.00043270518582272377,0.0016242630021336968,-0.003844547929077735,-0.0020480280872423595,0.09398356792975204,-0.05848763960994463,0.069459760267095,-0.01710342856969127,0.7334217506631544,0.5281129653401909,0.380432772332167,0.0002779353723085798,0.00044533599412655,True,0.2352941176471008,0.14705882352934882,0.6176470588235504,True,False,False
4,D,2023-12-31,-1.6366953095032644,False,0.7254599479913438,0.7326843059727306,False,True,-1.6366953095032644,1.6040461717186227,0.009387553538020343,0.004750200879141575,0.021666097939605944,-7.526188785034194e-05,-0.010558848650296548,0.0017648403278973657,0.010408805106314034,-0.01185689852706262,-0.014218460111317222,0.010191423811697797,0.005903159787533641,0.02838026474127542,0.8183514246947103,0.002977822439814557,0.001193363645479506,0.001247589026003748,5.416074705788532e-05,0.0017530383642079261,-0.0012216035896351896,0.005339424723097119,0.005900779830405822,0.002828157027580991,0.06192108540603547,-0.12151508067110983,0.0007674501436933934,0.009294334501652513,0.5177847816298998,0.5747468731387764,0.7058500411974761,-0.0003813538623042012,4.554110805043976e-05,True,0.7487437185929602,0.18341708542712076,0.06783919597991903,False,True,True
5,D,2024-01-07,6.7436570097704935,True,1.3826403090206805,0.7740123997792717,False,True,6.7436570097704935,1.2500000000000018,0.0018735373660296872,0.0044161546818086705,0.007181418936701434,0.002238588436768385,0.026860357407014313,0.003294168068682879,0.014914115425906038,-0.015765227232875767,0.021016433693256342,0.006870414193058227,0.0003432223808268464,0.017016945725891075,0.6516808424463366,-0.012076372717444526,-0.0011285249841423983,-0.0012071048067889834,-7.866860212957238e-05,-0.0028096315983858755,-0.001399994554316053,-0.00012268461194175906,0.0003432223808268464,-0.002475118486097827,-0.23799805281076025,-0.09904079240278241,-0.05318403858761023,-0.02864909748117539,0.1647382920110273,0.5426847662141824,0.5505484731692937,-0.0010518411223985336,0.0005614864093477223,False,0.5683453237409959,0.044964028776979595,0.38669064748202453,False,False,False
6,D,2024-01-14,11.75000000000001,True,1.908345589957521,0.16113294065622785,False,True,11.75000000000001,11.75000000000001,0.005051083493638808,0.002997399143933377,-0.003984156030668706,-0.062432542633055976,-0.07073392116182575,0.0023287201829409465,-0.01745485694392268,-0.051626916894739194,0.01588996842307333,-0.00286113654083453,0.009648235070360167,0.017962916786246952,0.6406495547406994,-0.02702652639291644,0.0006880416814929458,0.001080993503156602,0.0003926816403276856,0.002310028694705535,-0.00032083472826704984,5.581836703361098e-05,0.009648235070360167,0.00720991679784122,-0.04841649451557117,-0.1657528208654332,-0.12522763804759518,-0.021048231006212892,0.6292517006802669,0.863664790494057,0.8721157606570175,0.000636600299786183,0.0002196581393352215,True,0.5259259259258181,0.07407407407407407,0.40000000000010777,False,False,True
7,D,2024-01-21,3.503422796562018,True,0.6948561443764687,0.3730587145727001,False,True,3.503422796562018,3.503422796562018,-0.0009735300535441693,-0.002047963055225588,0.0017600342389174628,0.009153356876765217,-0.02540848430975795,0.002321564325375114,0.028662215468984398,-0.0368332860592222,-0.009551801881558575,0.003184690377324495,-0.0002759461353143422,0.010370631260011143,0.48778785764132043,0.015026646016310853,-0.00025096030419480275,-0.00012095096147679563,0.000130041978092299,-0.0007027626005573495,0.0003553549347516949,0.0014277507637505682,-0.0002759461353143422,0.00044903781042449076,-0.16471786668457933,0.07801351792465283,0.10305189762796796,0.007267123095410222,0.6004566210045706,0.6944121071012858,0.6246073298429472,-0.00037916510687385774,0.0006328007963425364,False,0.07865168539291856,0.0,0.9213483146070814,True,False,False
8,D,2024-01-28,2.345059823143878,True,1.471783198531981,0.3578558782536704,False,True,2.345059823143878,2.345059823143878,0.009322098339463958,0.010119002321068438,0.024597519261664313,0.05874625794213606,0.060040979003875616,0.01641333167421255,-0.003697761078382711,0.05653148614609571,-0.012093763997412021,0.023454648276126644,-0.005509196823256235,0.03568414969983147,0.7554712378887452,-0.01957780451951374,-0.0003812656566034578,0.0004458111178844426,0.0008273922307300285,-0.00015771459778080033,0.0024805286759499445,0.002040643003071496,-0.005511525268962036,0.01188289582454849,-0.007881906613721235,0.0705350447643025,-0.0038149267619584926,-0.058516072698900135,0.5821344931415161,0.37398091934084743,0.5802512212142356,0.001087671888743147,0.0013437836991925245,False,0.045454545454545456,0.0,0.9545454545454546,True,False,False
9,D,2024-02-04,3.3890422518091947,True,1.0099468663430762,0.5518059833466505,False,True,3.3890422518091947,1.2203876199113277,-0.005109147862971675,-0.006174588941492476,-0.005176238599950644,-0.0051646718770710365,0.012917889951699957,-0.0067975409988300095,-0.0027573593248984007,0.01293563373114237,-0.018817433162216846,-0.0035003611852449934,-0.0028063959722157694,0.013158510997040018,0.14095034703683376,-0.0046380131626663655,-0.00017659958215920923,-0.0004402331660821046,-0.000263680149727219,-0.0007287540174901741,-0.0009621042995788809,0.001216954991387631,-0.0028063959722157694,-0.005007337738302087,-0.07236461182545662,-0.05312459232254818,0.052506328387674106,-0.05079559262926314,0.5477178423236368,0.3390410958904006,0.22461712989222182,-0.00042337932535030376,-0.0003786923278550347,False,0.02068965517261451,0.20000000000010035,0.7793103448272851,True,False,False
