feature,cohort,n,median,q25,q75,dev_q33,dev_q67,psi_vs_development
raw_efficiency,external,102,0.034599627997906696,0.017988538752281742,0.05943998693701162,0.02163009605681104,0.03779153703732718,0.10767483743043306
raw_efficiency,development,201,0.029844097995545462,0.01591043017089041,0.04247876061968971,0.02163009605681104,0.03779153703732718,0.0
raw_efficiency,reference_validation,84,0.036211323929336334,0.012809609508020521,0.053428138838500436,0.02163009605681104,0.03779153703732718,0.14163000305263915
raw_efficiency,2025,43,0.03649036490364841,0.012039865778535178,0.052360611068230076,0.02163009605681104,0.03779153703732718,0.1304973624860883
raw_efficiency,2026,41,0.034400948991696746,0.01393095093882519,0.05352798053527972,0.02163009605681104,0.03779153703732718,0.1546749714631351
raw_range,external,102,0.09259808513821824,0.07700865132107337,0.12326274236024873,0.04428408500877388,0.057174689922960584,6.094999552812411
raw_range,development,201,0.05144577546138389,0.04031364527401353,0.06490451148629957,0.04428408500877388,0.057174689922960584,0.0
raw_range,reference_validation,84,0.039010749738134426,0.03322867688940019,0.0499645953944128,0.04428408500877388,0.057174689922960584,0.5796742679629927
raw_range,2025,43,0.04210639095730426,0.03802931057178278,0.055934882093982424,0.04428408500877388,0.057174689922960584,0.28073682471768857
raw_range,2026,41,0.03526093088857546,0.027450472614269125,0.03950247610272955,0.04428408500877388,0.057174689922960584,4.799736781076912
drive_return,external,102,0.001846411685887786,-0.013118140112064955,0.014637126494801138,-0.003660895448034353,0.004571905765037201,0.15364974467801074
drive_return,development,201,0.0013470747852092682,-0.006085083467959049,0.006533175533770788,-0.003660895448034353,0.004571905765037201,0.0
drive_return,reference_validation,84,0.0006097373513199084,-0.0066595680238301265,0.005122749466629488,-0.003660895448034353,0.004571905765037201,0.02297327083645503
drive_return,2025,43,0.0009045680687472075,-0.005107319525446255,0.008674233264811069,-0.003660895448034353,0.004571905765037201,0.014610057867343595
drive_return,2026,41,-0.00012385434728747716,-0.007738862982438745,0.003699923449859738,-0.003660895448034353,0.004571905765037201,0.07685159430535227
eff_pct,external,102,0.14285714285714285,0.06666666666666667,0.23333333333333334,0.11666666666666667,0.21666666666666667,0.01941562998103409
eff_pct,development,201,0.16666666666666666,0.1,0.23333333333333334,0.11666666666666667,0.21666666666666667,0.0
eff_pct,reference_validation,84,0.2,0.08333333333333333,0.26666666666666666,0.11666666666666667,0.21666666666666667,0.07879049379779421
eff_pct,2025,43,0.23333333333333334,0.1,0.26666666666666666,0.11666666666666667,0.21666666666666667,0.17105046834465723
eff_pct,2026,41,0.18333333333333332,0.08333333333333333,0.25,0.11666666666666667,0.21666666666666667,0.025316173214242673
range_pct,external,102,0.8083333333333333,0.7166666666666667,0.8833333333333333,0.75,0.85,0.033845518191715926
range_pct,development,201,0.8,0.7166666666666667,0.8666666666666667,0.75,0.85,0.0
range_pct,reference_validation,84,0.775,0.7333333333333333,0.8708333333333333,0.75,0.85,0.005316705969098741
range_pct,2025,43,0.7833333333333333,0.725,0.875,0.75,0.85,0.0028799394738571226
range_pct,2026,41,0.7666666666666667,0.7333333333333333,0.8666666666666667,0.75,0.85,0.03827060961587072
ret_24h,external,102,0.009537963425458318,-0.08892788414379724,0.08412369560674343,-0.019672578431039624,0.017225681117162273,0.4513564466743704
ret_24h,development,201,0.0010071876573729543,-0.040383110005986045,0.024789164324048096,-0.019672578431039624,0.017225681117162273,0.0
ret_24h,reference_validation,84,-0.010950159506834756,-0.04118667983957694,0.003962168765164642,-0.019672578431039624,0.017225681117162273,0.10832035203429674
ret_24h,2025,43,-0.0073218962107851615,-0.0430910073295091,0.004950089549606518,-0.019672578431039624,0.017225681117162273,0.12074186067916429
ret_24h,2026,41,-0.012661168544546464,-0.03581634597066108,0.0009528995371632654,-0.019672578431039624,0.017225681117162273,0.10072966087547494
ret_72h,external,102,0.07173546800968322,-0.045948122143584014,0.15079646382873257,-0.056625463380605603,0.07435204862779578,0.08225933900945388
ret_72h,development,201,0.005393082146446737,-0.07753335737468459,0.10172715894868589,-0.056625463380605603,0.07435204862779578,0.0
ret_72h,reference_validation,84,-0.029982988970062963,-0.09039561018072712,0.036796124829129806,-0.056625463380605603,0.07435204862779578,0.19159850834404313
ret_72h,2025,43,-0.0344767643991194,-0.07942358345156891,0.003470018935863739,-0.056625463380605603,0.07435204862779578,0.3853442860202299
ret_72h,2026,41,-0.0259120354585749,-0.1229529503509228,0.07069090909090914,-0.056625463380605603,0.07435204862779578,0.0912193566588041
ret_7d,external,102,0.07658456798607205,-0.07863343956472157,0.4380150392253057,-0.04233385380652266,0.13745200116028414,0.06466903453458411
ret_7d,development,201,0.0688868855067084,-0.09443478260869564,0.21322228006246746,-0.04233385380652266,0.13745200116028414,0.0
ret_7d,reference_validation,84,-0.04863935064234559,-0.15535636282048823,0.03794374232374309,-0.04233385380652266,0.13745200116028414,0.25784427456527503
ret_7d,2025,43,-0.049944574454982016,-0.15316642282306603,0.053262665985858826,-0.04233385380652266,0.13745200116028414,0.26016303019335624
ret_7d,2026,41,-0.041829600663585764,-0.16934002693767602,0.03540197461212968,-0.04233385380652266,0.13745200116028414,0.3662480501269199
range_24h,external,102,0.2044023203315351,0.14802067822877235,0.2516570694798468,0.08098256652222954,0.12340133916776315,4.916391728654061
range_24h,development,201,0.09887679431024766,0.07686636850641365,0.14193492855913234,0.08098256652222954,0.12340133916776315,0.0
range_24h,reference_validation,84,0.06710183463087756,0.04369483643922193,0.1032823766947582,0.08098256652222954,0.12340133916776315,0.4646542186230046
range_24h,2025,43,0.07300620821394453,0.05644799188481395,0.1131739855687056,0.08098256652222954,0.12340133916776315,0.20987877235494817
range_24h,2026,41,0.06566125290023198,0.03701441485462987,0.0723081780865173,0.08098256652222954,0.12340133916776315,0.9288570213362618
range_72h,external,102,0.32698073506960357,0.20202363653147412,0.4715906566732263,0.14672582825073632,0.2269944114176297,4.4820995926172
range_72h,development,201,0.18265416516408226,0.1249860763535641,0.24970978975880304,0.14672582825073632,0.2269944114176297,0.0
range_72h,reference_validation,84,0.11892292391912408,0.09826182373012682,0.17833081099251294,0.14672582825073632,0.2269944114176297,0.4638544779674403
range_72h,2025,43,0.12845238095238104,0.0997849697797878,0.2084557602607954,0.14672582825073632,0.2269944114176297,0.35831800251419177
range_72h,2026,41,0.11037436109959932,0.09300309597523226,0.1773813947726992,0.14672582825073632,0.2269944114176297,1.0015335710277242
loc_24h,external,102,0.49456194454298763,0.3944031900555671,0.727398630989238,0.42554762981431343,0.5698878021822673,0.011926579828756166
loc_24h,development,201,0.4852286523674633,0.3829531812725086,0.63923487544484,0.42554762981431343,0.5698878021822673,0.0
loc_24h,reference_validation,84,0.4621543035218336,0.36955691367456084,0.5871190917678324,0.42554762981431343,0.5698878021822673,0.026010180976748693
loc_24h,2025,43,0.4331285444234401,0.32265940571391205,0.6499051233396584,0.42554762981431343,0.5698878021822673,0.10180463630560523
loc_24h,2026,41,0.47402597402597224,0.4075471698113192,0.5561674008810571,0.42554762981431343,0.5698878021822673,0.07685159430535227
loc_7d,external,102,0.6256228240248504,0.3819000241036928,0.7951939079788953,0.4342676026058781,0.7323624877515988,0.03268618943892315
loc_7d,development,201,0.6178458765209555,0.32767232767232785,0.7832167832167828,0.4342676026058781,0.7323624877515988,0.0
loc_7d,reference_validation,84,0.29543044029058024,0.19885567005100568,0.6039064305934343,0.4342676026058781,0.7323624877515988,0.38992824457521424
loc_7d,2025,43,0.300660792951542,0.2070979473383634,0.5614387778796646,0.4342676026058781,0.7323624877515988,0.47769393147368966
loc_7d,2026,41,0.2866507747318237,0.16371951219512204,0.607237422771403,0.4342676026058781,0.7323624877515988,0.30996779484678116
