variant,partition,stress_bps,candidates,accepted,blocked,trades_per_week,n,wins,wr,pf,expectancy,net,max_ls
S4_BASELINE,external,0,167,144,23,1.3789329685362517,144,92,0.6388888888888888,1.6687362580140315,1.3767219257238317,198.24795730423176,3
S4_BASELINE,external,5,167,144,23,1.3789329685362517,144,84,0.5833333333333334,1.441593252155439,0.9948420520321645,143.25725549263169,4
S4_BASELINE,development,0,288,233,55,1.4881386861313868,233,143,0.6137339055793991,1.213057115982109,0.40083853516133644,93.3953786925914,5
S4_BASELINE,development,5,288,233,55,1.4881386861313868,233,139,0.5965665236051502,1.015551762016963,0.03228426422302813,7.522233563965555,5
S4_BASELINE,reference_validation,0,120,101,19,1.2295652173913043,101,65,0.6435643564356436,1.5202021781927468,0.931720335635137,94.10375389914884,4
S4_BASELINE,reference_validation,5,120,101,19,1.2295652173913043,101,64,0.6336633663366337,1.2818325555768442,0.5556532954434431,56.12098283978776,4
S4_BASELINE,POOLED_MAJOR,0,575,478,97,1.3930058284762699,478,300,0.6276150627615062,1.421255348037584,0.8070022801170963,385.747089895972,5
S4_BASELINE,POOLED_MAJOR,5,575,478,97,1.3930058284762699,478,287,0.600418410041841,1.205415542552364,0.4328461755154499,206.90047189638506,5
S9B_STRUCTURAL_EXIT,external,0,167,151,16,1.4459644322845417,151,48,0.31788079470198677,0.8069420567297594,-0.1805346442094827,-27.260731275631887,10
S9B_STRUCTURAL_EXIT,external,5,167,151,16,1.4459644322845417,151,31,0.2052980132450331,0.4975883207881318,-0.658711859391435,-99.46549076810668,11
S9B_STRUCTURAL_EXIT,development,0,288,244,44,1.5583941605839415,244,67,0.27459016393442626,0.4871842593291297,-0.4802070723736951,-117.1705256591816,11
S9B_STRUCTURAL_EXIT,development,5,288,244,44,1.5583941605839415,244,42,0.1721311475409836,0.2820521282021616,-0.9510004912565913,-232.04411986660827,25
S9B_STRUCTURAL_EXIT,reference_validation,0,120,102,18,1.2417391304347827,102,32,0.3137254901960784,0.7941079654435065,-0.15326463509335578,-15.632992779522288,9
S9B_STRUCTURAL_EXIT,reference_validation,5,120,102,18,1.2417391304347827,102,21,0.20588235294117646,0.4500359041200289,-0.6162372037803351,-62.856194785594184,12
S9B_STRUCTURAL_EXIT,POOLED_MAJOR,0,575,497,78,1.4483763530391343,497,147,0.29577464788732394,0.6408036368030231,-0.3220608646163698,-160.06424971433577,11
S9B_STRUCTURAL_EXIT,POOLED_MAJOR,5,575,497,78,1.4483763530391343,497,94,0.1891348088531187,0.3794129835968562,-0.7934925662380464,-394.3658054203091,25
