clock,side,partition,reference_start,execution_start,H,L,k1,clean,leave_bar,eligible_start,terminal,terminal_bar
ALT_0330,LONG,external,2020-01-01 03:30:00+00:00,2020-01-01 09:00:00+00:00,130.67,129.75,2020-01-01 10:40:00+00:00,True,2020-01-01 10:50:00+00:00,2020-01-01 10:55:00+00:00,H2,2020-01-01 11:10:00+00:00
RAW_0530,LONG,external,2020-01-01 05:30:00+00:00,2020-01-01 11:00:00+00:00,130.68,129.75,2020-01-01 11:10:00+00:00,False,,,BREAK_DURING_K1,2020-01-01 11:20:00+00:00
LONDON,LONG,external,2020-01-01 08:00:00+00:00,2020-01-01 13:30:00+00:00,131.97,129.75,2020-01-01 14:20:00+00:00,False,,,BREAK_DURING_K1,2020-01-01 14:25:00+00:00
SHORT_2000,SHORT,external,2020-01-01 20:00:00+00:00,2020-01-02 01:30:00+00:00,132.25,129.54,2020-01-02 02:00:00+00:00,True,2020-01-02 02:05:00+00:00,2020-01-02 02:10:00+00:00,H2,2020-01-02 02:10:00+00:00
ALT_0330,LONG,external,2020-01-02 03:30:00+00:00,2020-01-02 09:00:00+00:00,130.22,128.67,2020-01-02 10:10:00+00:00,True,2020-01-02 10:15:00+00:00,2020-01-02 10:20:00+00:00,NO_H2,
RAW_0530,LONG,external,2020-01-06 05:30:00+00:00,2020-01-06 11:00:00+00:00,142.48,138.47,2020-01-06 11:00:00+00:00,True,2020-01-06 11:10:00+00:00,2020-01-06 11:15:00+00:00,H2,2020-01-06 11:15:00+00:00
RAW_0530,LONG,external,2020-01-07 05:30:00+00:00,2020-01-07 11:00:00+00:00,143.45,142.39,2020-01-07 11:15:00+00:00,True,2020-01-07 11:20:00+00:00,2020-01-07 11:25:00+00:00,H2,2020-01-07 11:25:00+00:00
SHORT_2000,SHORT,external,2020-01-09 20:00:00+00:00,2020-01-10 01:30:00+00:00,139.33,136.03,2020-01-10 05:30:00+00:00,False,,,BREAK_DURING_K1,2020-01-10 05:40:00+00:00
LONDON,LONG,external,2020-01-10 08:00:00+00:00,2020-01-10 13:30:00+00:00,139.99,135.3,2020-01-10 14:40:00+00:00,True,2020-01-10 14:45:00+00:00,2020-01-10 14:50:00+00:00,H2,2020-01-10 14:50:00+00:00
SHORT_2000,SHORT,external,2020-01-12 20:00:00+00:00,2020-01-13 01:30:00+00:00,147.0,144.3,2020-01-13 02:35:00+00:00,True,2020-01-13 02:45:00+00:00,2020-01-13 02:50:00+00:00,H2,2020-01-13 02:50:00+00:00
ALT_0330,LONG,external,2020-01-13 03:30:00+00:00,2020-01-13 09:00:00+00:00,144.07,142.32,2020-01-13 10:55:00+00:00,True,2020-01-13 11:05:00+00:00,2020-01-13 11:10:00+00:00,NO_H2,
RAW_2330,LONG,external,2020-01-13 23:30:00+00:00,2020-01-14 05:00:00+00:00,150.78,143.45,2020-01-14 09:15:00+00:00,True,2020-01-14 09:20:00+00:00,2020-01-14 09:25:00+00:00,H2,2020-01-14 09:25:00+00:00
ALT_0330,LONG,external,2020-01-14 03:30:00+00:00,2020-01-14 09:00:00+00:00,150.78,147.22,2020-01-14 09:15:00+00:00,True,2020-01-14 09:20:00+00:00,2020-01-14 09:25:00+00:00,H2,2020-01-14 09:25:00+00:00
LONDON,LONG,external,2020-01-14 08:00:00+00:00,2020-01-14 13:30:00+00:00,153.4,149.0,2020-01-14 13:50:00+00:00,False,,,BREAK_DURING_K1,2020-01-14 13:55:00+00:00
SHORT_2000,SHORT,external,2020-01-14 20:00:00+00:00,2020-01-15 01:30:00+00:00,172.18,160.48,2020-01-15 04:55:00+00:00,False,,,BREAK_DURING_K1,2020-01-15 05:05:00+00:00
ALT_0330,LONG,external,2020-01-16 03:30:00+00:00,2020-01-16 09:00:00+00:00,162.8,159.38,2020-01-16 11:05:00+00:00,True,2020-01-16 11:15:00+00:00,2020-01-16 11:20:00+00:00,H2,2020-01-16 11:30:00+00:00
RAW_0530,LONG,external,2020-01-16 05:30:00+00:00,2020-01-16 11:00:00+00:00,162.8,159.82,2020-01-16 11:05:00+00:00,True,2020-01-16 11:15:00+00:00,2020-01-16 11:20:00+00:00,H2,2020-01-16 11:30:00+00:00
ALT_0330,LONG,external,2020-01-21 03:30:00+00:00,2020-01-21 09:00:00+00:00,168.9,166.06,2020-01-21 13:35:00+00:00,False,,,BREAK_DURING_K1,2020-01-21 13:40:00+00:00
LONDON,LONG,external,2020-01-21 08:00:00+00:00,2020-01-21 13:30:00+00:00,168.81,166.06,2020-01-21 13:35:00+00:00,False,,,BREAK_DURING_K1,2020-01-21 13:40:00+00:00
LONDON,LONG,external,2020-01-24 08:00:00+00:00,2020-01-24 13:30:00+00:00,162.15,155.72,2020-01-24 14:10:00+00:00,True,2020-01-24 14:15:00+00:00,2020-01-24 14:20:00+00:00,H2,2020-01-24 14:30:00+00:00
ALT_0330,LONG,external,2020-01-27 03:30:00+00:00,2020-01-27 09:00:00+00:00,168.73,165.28,2020-01-27 11:45:00+00:00,False,,,BREAK_DURING_K1,2020-01-27 11:50:00+00:00
