phase,feature,year,direction,event_median,failure_median,direction_ok
DEVELOPMENT,liquidity_age_h1,2020,LOWER,3.0,5.0,True
DEVELOPMENT,liquidity_age_h1,2021,LOWER,3.0,5.0,True
DEVELOPMENT,liquidity_age_h1,2022,LOWER,2.0,4.0,True
DEVELOPMENT,source_to_opposite_structure_range_units,2020,LOWER,2.3284671532846586,3.2210743801652937,True
DEVELOPMENT,source_to_opposite_structure_range_units,2021,LOWER,2.2445708546955476,3.0927160978161377,True
DEVELOPMENT,source_to_opposite_structure_range_units,2022,LOWER,2.274771341463408,3.115789473684218,True
DEVELOPMENT,opposite_reference_age_h1,2020,LOWER,3.0,4.0,True
DEVELOPMENT,opposite_reference_age_h1,2021,LOWER,4.0,4.0,False
DEVELOPMENT,opposite_reference_age_h1,2022,LOWER,3.0,4.0,True
DEVELOPMENT,same_bar_swept_level_count,2020,LOWER,1.0,1.0,False
DEVELOPMENT,same_bar_swept_level_count,2021,LOWER,1.0,1.0,False
DEVELOPMENT,same_bar_swept_level_count,2022,LOWER,1.0,1.0,False
DEVELOPMENT,same_bar_swept_level_span_range_units,2020,LOWER,0.0,0.0,False
DEVELOPMENT,same_bar_swept_level_span_range_units,2021,LOWER,0.0,0.0,False
DEVELOPMENT,same_bar_swept_level_span_range_units,2022,LOWER,0.0,0.0,False
DEVELOPMENT,approach_bars,2020,LOWER,3.0,5.0,True
DEVELOPMENT,approach_bars,2021,LOWER,3.0,5.0,True
DEVELOPMENT,approach_bars,2022,LOWER,2.0,4.0,True
DEVELOPMENT,approach_efficiency,2020,LOWER,0.6143079315707619,0.6074766355140193,False
DEVELOPMENT,approach_efficiency,2021,LOWER,0.5607496029851647,0.5657096643752523,True
DEVELOPMENT,approach_efficiency,2022,LOWER,0.5086206896551727,0.5566001103594865,True
DEVELOPMENT,approach_net_range_units,2020,LOWER,0.9118012422360205,1.4104541559554389,True
DEVELOPMENT,approach_net_range_units,2021,LOWER,0.9359289866959258,1.1745698699118798,True
DEVELOPMENT,approach_net_range_units,2022,LOWER,0.845809947275066,1.147937086847505,True
DEVELOPMENT,approach_median_overlap,2020,HIGHER,0.8340072891357153,0.7794871794871818,True
DEVELOPMENT,approach_median_overlap,2021,HIGHER,0.7950709706959695,0.7907850504251542,True
DEVELOPMENT,approach_median_overlap,2022,HIGHER,0.8308775731310922,0.8225806451613009,True
DEVELOPMENT,approach_overlap_gt50_share,2020,LOWER,1.0,0.8,False
DEVELOPMENT,approach_overlap_gt50_share,2021,LOWER,0.8,0.8,False
DEVELOPMENT,approach_overlap_gt50_share,2022,LOWER,0.8,0.8,False
DEVELOPMENT,approach_range_contraction_ratio,2020,HIGHER,1.008130081300814,1.0956937799043063,False
DEVELOPMENT,approach_range_contraction_ratio,2021,HIGHER,1.079180918573099,1.0388349514563173,True
DEVELOPMENT,approach_range_contraction_ratio,2022,HIGHER,1.0938416422287482,1.0657210169824254,True
DEVELOPMENT,approach_body_contraction_ratio,2020,HIGHER,0.9999999999999458,1.2153846153846275,False
DEVELOPMENT,approach_body_contraction_ratio,2021,HIGHER,1.2424488716898776,1.117279666897995,True
DEVELOPMENT,approach_body_contraction_ratio,2022,HIGHER,1.479166666666671,1.2439185616076178,True
DEVELOPMENT,approach_directional_close_share,2020,LOWER,0.5,0.6666666666666666,True
DEVELOPMENT,approach_directional_close_share,2021,LOWER,0.6666666666666666,0.6666666666666666,False
DEVELOPMENT,approach_directional_close_share,2022,LOWER,0.6666666666666666,0.6666666666666666,False
DEVELOPMENT,approach_max_directional_body_range_units,2020,LOWER,0.8608247422680343,1.0838548185231642,True
DEVELOPMENT,approach_max_directional_body_range_units,2021,LOWER,0.8306815260779554,0.9661319073083747,True
DEVELOPMENT,approach_max_directional_body_range_units,2022,LOWER,0.804975100087883,0.9546230022551243,True
DEVELOPMENT,approach_start_distance_to_level_range_units,2020,LOWER,1.6087824351297395,2.3083700440528467,True
DEVELOPMENT,approach_start_distance_to_level_range_units,2021,LOWER,1.7737481903450063,2.0910596026490076,True
DEVELOPMENT,approach_start_distance_to_level_range_units,2022,LOWER,1.6356723124784018,2.17433347147397,True
DEVELOPMENT,pre_sweep_touch_count,2020,LOWER,0.0,0.0,False
DEVELOPMENT,pre_sweep_touch_count,2021,LOWER,0.0,0.0,False
DEVELOPMENT,pre_sweep_touch_count,2022,LOWER,0.0,0.0,False
