feature,partition,n_loss,n_win,loss_median,win_median,auc_loss_higher,effect,directionally_replicated
pre4_return,external,52,92,-0.0015311717227116106,0.001393097639916463,0.4245401337792642,-0.1509197324414716,False
pre4_return,development,90,143,0.0011085278340082771,0.0009601018355205326,0.5146076146076146,0.029215229215229233,False
pre4_return,reference_validation,36,65,-0.00026178834429552156,0.0014980677097655715,0.4128205128205128,-0.1743589743589744,False
pre4_return,POOLED_MAJOR,178,300,0.0004575432070571539,0.001075395679684843,0.46361423220973785,-0.0727715355805243,False
pre24_return,external,52,92,0.004757138242579062,0.0026235935080599626,0.5131688963210702,0.026337792642140423,False
pre24_return,development,90,143,-0.0022169559610054623,-0.0015480004304598838,0.518026418026418,0.036052836052836046,False
pre24_return,reference_validation,36,65,-0.0050173655328287214,0.008995830419253892,0.47264957264957264,-0.05470085470085473,False
pre24_return,POOLED_MAJOR,178,300,3.3479241047129626e-05,-2.9008325768964394e-05,0.502003745318352,0.004007490636704025,False
pre24_vol,external,52,92,0.0023717334281384284,0.0026471472822184785,0.43770903010033446,-0.12458193979933108,False
pre24_vol,development,90,143,0.0017852314135037772,0.0017931525128589277,0.4641025641025641,-0.07179487179487176,False
pre24_vol,reference_validation,36,65,0.0018419510415486427,0.0020262193980788313,0.4670940170940171,-0.0658119658119658,False
pre24_vol,POOLED_MAJOR,178,300,0.0018697194969167956,0.0020965819071340408,0.4547565543071161,-0.09048689138576782,False
pre24_range_pct,external,52,92,0.06473274804097351,0.06599471095626197,0.49268394648829433,-0.014632107023411334,False
pre24_range_pct,development,90,143,0.045957132736575326,0.048221627367854736,0.4630924630924631,-0.0738150738150738,False
pre24_range_pct,reference_validation,36,65,0.04774271318811864,0.05488292502558197,0.4777777777777778,-0.0444444444444444,False
pre24_range_pct,POOLED_MAJOR,178,300,0.0502827410439567,0.05529056585751302,0.4710486891385768,-0.05790262172284644,False
ref_return,external,52,92,0.009741239388768475,0.008647653279748813,0.5390886287625418,0.07817725752508364,False
ref_return,development,90,143,0.004982983123395512,0.00466819273449226,0.5004662004662005,0.0009324009324009896,False
ref_return,reference_validation,36,65,0.006029816453611558,0.0034722096766617305,0.5384615384615384,0.07692307692307687,False
ref_return,POOLED_MAJOR,178,300,0.00682764593477414,0.005858131496671692,0.5166479400749063,0.03329588014981266,False
ref_range_pct,external,52,92,0.025261439054905042,0.026089388365938868,0.506061872909699,0.012123745819397902,False
ref_range_pct,development,90,143,0.019021665862946877,0.01643495351669433,0.5460761460761461,0.09215229215229215,False
ref_range_pct,reference_validation,36,65,0.022269781056929276,0.0191930248960404,0.5393162393162393,0.07863247863247858,False
