partition,ref_min,hour,visit,opportunity_n,break_n,break_conversion,median_extension_R,median_ext30_R,median_ext60_R,median_break_delay_min,reclaim30_rate,reach_E05_rate,reach_E10_rate,reach_E15_rate,reach_E20_rate,reach_E30_rate,reach_E40_rate,b1_opp_n,b1_break_conversion,b2_opp_n,b2_break_conversion,b3_opp_n,b3_break_conversion,b4_opp_n,b4_break_conversion,b5_opp_n,b5_break_conversion,b6_opp_n,b6_break_conversion,adequate_blocks,pass_blocks,min_adequate_block_conversion,eligible
development,60,0,1,903,619,0.6854928017718716,0.48890724569270777,0.5955445544554425,0.7142857142857215,35.0,0.6187399030694669,0.6865912762520194,0.6817447495961227,0.6704361873990307,0.654281098546042,0.5977382875605816,0.5444264943457189,135,0.674074074074074,138,0.6666666666666666,147,0.6530612244897959,158,0.7215189873417721,160,0.69375,165,0.696969696969697,6,6,0.6530612244897959,True
development,60,0,2,245,177,0.7224489795918367,0.4827586206896586,0.5336225596529303,0.6666666666666666,90.0,0.6271186440677966,0.7966101694915254,0.7796610169491526,0.751412429378531,0.7175141242937854,0.615819209039548,0.5423728813559322,37,0.7297297297297297,39,0.5897435897435898,44,0.8181818181818182,39,0.8205128205128205,41,0.6585365853658537,45,0.7111111111111111,6,6,0.5897435897435898,True
development,60,0,3,57,38,0.6666666666666666,0.3466787231917885,0.41006258531434225,0.4923611111111131,160.0,0.5526315789473685,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5789473684210527,0.4473684210526316,9,0.7777777777777778,14,0.5714285714285714,6,0.5,5,0.8,13,0.8461538461538461,10,0.5,5,5,0.5,False
development,60,0,4,18,9,0.5,0.9047619047619118,0.7083716651333665,0.896825396825411,160.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,2,0.5,5,0.4,3,0.3333333333333333,1,0.0,2,1.0,5,0.6,0,0,,False
development,60,0,5,8,5,0.625,0.2419354838709793,0.3492063492063499,0.3492063492063499,325.0,0.6,0.8,0.8,0.8,0.8,0.4,0.2,1,1.0,3,0.6666666666666666,2,0.5,1,0.0,0,,1,1.0,0,0,,False
development,60,1,1,844,593,0.70260663507109,0.3839409321642792,0.42936596218019496,0.5221518987341659,55.0,0.5784148397976391,0.730185497470489,0.7133220910623946,0.6812816188870152,0.6374367622259697,0.5649241146711635,0.4924114671163575,131,0.7251908396946565,135,0.7111111111111111,134,0.6417910447761194,150,0.6866666666666666,145,0.7655172413793103,149,0.6845637583892618,6,6,0.6417910447761194,True
development,60,1,2,207,150,0.7246376811594203,0.33459277917716035,0.4217161245376347,0.5093445980542755,95.0,0.5733333333333334,0.7266666666666667,0.7266666666666667,0.7,0.66,0.52,0.43333333333333335,28,0.9285714285714286,33,0.5757575757575758,36,0.7777777777777778,37,0.6756756756756757,29,0.7586206896551724,44,0.6818181818181818,6,6,0.5757575757575758,True
development,60,1,3,48,30,0.625,0.3391145713628982,0.3969748333716368,0.48443614772165394,217.5,0.5,0.7,0.7,0.6333333333333333,0.5666666666666667,0.5,0.4666666666666667,2,1.0,10,0.6,7,0.42857142857142855,11,0.7272727272727273,6,0.5,12,0.6666666666666666,5,5,0.42857142857142855,False
development,60,1,4,14,10,0.7142857142857143,0.23546144121364987,0.4015637729250693,0.592063492063486,200.0,0.7,0.7,0.7,0.7,0.6,0.4,0.4,0,,4,0.75,3,0.6666666666666666,2,1.0,1,0.0,4,0.75,0,0,,False
development,60,1,5,3,3,1.0,0.3085356303837193,0.40015661707126154,0.41008116189662736,480.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0,,0,,1,1.0,0,,1,1.0,1,1.0,0,0,,False
