role,partition,n,winner_n,failure_n,winner_e10_close_violation,failure_e10_close_violation,gap_failure_minus_winner,winner_median_min_close_R,failure_median_min_close_R
CENTRAL,development,27,16,11,0.0625,1.0,0.9375,0.2543474020494576,-0.0315139701104595
CENTRAL,external,19,10,9,0.1,1.0,0.9,0.19229986441631614,-0.0448736651689318
CENTRAL,reference_validation,13,8,5,0.375,1.0,0.625,0.23176650926626968,-0.0147783251231532
CLOCK_SUPPORT,development,34,15,19,0.06666666666666667,1.0,0.9333333333333333,0.1966759002770066,-0.0315139701104595
CLOCK_SUPPORT,external,18,10,8,0.0,1.0,1.0,0.17809616946759038,-0.01368266556101155
CLOCK_SUPPORT,reference_validation,21,11,10,0.2727272727272727,1.0,0.7272727272727273,0.1804384485666091,-0.03498480953493925
REF_SUPPORT,development,27,13,14,0.07692307692307693,1.0,0.9230769230769231,0.2140350877192935,-0.0288631449503815
REF_SUPPORT,external,17,9,8,0.1111111111111111,1.0,0.8888888888888888,0.1717710238549252,-0.0698442399918731
REF_SUPPORT,reference_validation,14,8,6,0.25,1.0,0.75,0.23176650926626968,-0.03504474799811705
