check,value,expected,pass,expected_min
cohort_95_x_5,475.0,475.0,True,
m8_base_e15_f50_exact_parity,1.0,,True,
raw_coverage,1.0,,True,0.995
reentry_after_reclaim,1.0,,True,
max_one_reentry,1.0,,True,
