week,week_start,week_end,high,high_ts,low,low_ts,high_to_low_pct,low_to_high_pct,extreme_order
2020-W02,2020-01-06 00:00:00+00:00,2020-01-12 23:00:00+00:00,8468.42,2020-01-08 00:00:00+00:00,7345.0,2020-01-06 00:00:00+00:00,13.265992947917086,15.295030633083732,LOW_FIRST
2020-W03,2020-01-13 00:00:00+00:00,2020-01-19 23:00:00+00:00,9205.3,2020-01-19 03:00:00+00:00,8053.78,2020-01-13 06:00:00+00:00,12.509315285759287,14.297882484994616,LOW_FIRST
2020-W04,2020-01-20 00:00:00+00:00,2020-01-26 23:00:00+00:00,8820.0,2020-01-22 07:00:00+00:00,8247.0,2020-01-24 10:00:00+00:00,6.496598639455782,6.947981084030556,HIGH_FIRST
2020-W05,2020-01-27 00:00:00+00:00,2020-02-02 23:00:00+00:00,9599.0,2020-01-30 20:00:00+00:00,8565.0,2020-01-27 08:00:00+00:00,10.771955412022086,12.072387624051371,LOW_FIRST
2020-W06,2020-02-03 00:00:00+00:00,2020-02-09 23:00:00+00:00,10184.34,2020-02-09 07:00:00+00:00,9105.0,2020-02-04 13:00:00+00:00,10.598035807916862,11.854365733113676,LOW_FIRST
2020-W07,2020-02-10 00:00:00+00:00,2020-02-16 23:00:00+00:00,10540.0,2020-02-13 13:00:00+00:00,9626.64,2020-02-16 16:00:00+00:00,8.665654648956362,9.487837916448528,HIGH_FIRST
2020-W08,2020-02-17 00:00:00+00:00,2020-02-23 23:00:00+00:00,10286.0,2020-02-19 17:00:00+00:00,9293.07,2020-02-19 21:00:00+00:00,9.65321796616761,10.684628438180283,HIGH_FIRST
2020-W09,2020-02-24 00:00:00+00:00,2020-03-01 23:00:00+00:00,10000.0,2020-02-24 00:00:00+00:00,8409.0,2020-03-01 19:00:00+00:00,15.909999999999998,18.920204542751815,HIGH_FIRST
2020-W10,2020-03-02 00:00:00+00:00,2020-03-08 23:00:00+00:00,9204.0,2020-03-07 16:00:00+00:00,7997.7,2020-03-08 23:00:00+00:00,13.106258148631031,15.083086387336362,HIGH_FIRST
2020-W11,2020-03-09 00:00:00+00:00,2020-03-15 23:00:00+00:00,8182.31,2020-03-09 00:00:00+00:00,3621.81,2020-03-13 02:00:00+00:00,55.73609408589994,125.91770413135974,HIGH_FIRST
2020-W12,2020-03-16 00:00:00+00:00,2020-03-22 23:00:00+00:00,6911.0,2020-03-20 10:00:00+00:00,4413.62,2020-03-16 10:00:00+00:00,36.136304442193605,56.58348475854288,LOW_FIRST
2020-W13,2020-03-23 00:00:00+00:00,2020-03-29 23:00:00+00:00,6960.71,2020-03-25 09:00:00+00:00,5670.0,2020-03-23 00:00:00+00:00,18.542792330092762,22.76384479717813,LOW_FIRST
2020-W14,2020-03-30 00:00:00+00:00,2020-04-05 23:00:00+00:00,7290.0,2020-04-02 17:00:00+00:00,5850.0,2020-03-30 00:00:00+00:00,19.753086419753085,24.615384615384617,LOW_FIRST
