feature,binary,n,event_median,failure_median,direction,auc_oriented,threshold,baseline_rate,favorable_n,favorable_rate,lift,years_direction_ok,development_candidate
liquidity_age_h1,False,2824,3.0,5.0,LOWER,0.5759157061811301,1.0,0.24822946175637395,917,0.28789531079607417,0.03966584903970022,3,False
source_to_opposite_structure_range_units,False,2824,2.281249999999999,3.1203703703703796,LOWER,0.6949768280694493,2.073485713625842,0.24822946175637395,706,0.40793201133144474,0.1597025495750708,3,True
opposite_reference_age_h1,False,2824,3.0,4.0,LOWER,0.5860079437019855,2.0,0.24822946175637395,800,0.30125,0.05302053824362607,2,False
same_bar_swept_level_count,False,2824,1.0,1.0,LOWER,0.49643433813346527,1.0,0.24822946175637395,2388,0.24706867671691793,-0.0011607850394560193,0,False
same_bar_swept_level_span_range_units,False,2824,0.0,0.0,LOWER,0.4977674716759518,0.0,0.24822946175637395,2397,0.24780976220275344,-0.00041969955362050615,0,False
approach_bars,False,2824,3.0,5.0,LOWER,0.5644409473580236,1.0,0.24822946175637395,917,0.28789531079607417,0.03966584903970022,3,False
approach_efficiency,False,1671,0.5426463808206686,0.5622507719281924,LOWER,0.5221691476904154,0.2708607851545741,0.21723518850987433,418,0.2535885167464115,0.03635332823653714,2,False
approach_net_range_units,False,1671,0.8868971404182685,1.2021295403407235,LOWER,0.595482557012999,0.49755142017630016,0.21723518850987433,419,0.2649164677804296,0.047681279270555266,3,False
approach_median_overlap,False,1671,0.8200000000000074,0.8012503859215797,HIGHER,0.5244679910026032,0.9192454662031457,0.21723518850987433,418,0.21291866028708134,-0.004316528222792992,3,False
approach_overlap_gt50_share,False,1671,0.8,0.8,LOWER,0.43731729303038724,0.6,0.21723518850987433,421,0.16864608076009502,-0.048589107749779314,0,False
approach_range_contraction_ratio,False,1671,1.0810810810810831,1.055196041111528,HIGHER,0.5136498428825369,1.3890497344185868,0.21723518850987433,418,0.22248803827751196,0.005252849767637624,2,False
approach_body_contraction_ratio,False,1665,1.284263959390869,1.1937891189215235,HIGHER,0.5196735017724068,2.290909090909093,0.21561561561561562,417,0.2422062350119904,0.026590619396374776,2,False
approach_directional_close_share,False,1671,0.6666666666666666,0.6666666666666666,LOWER,0.5596604072417249,0.5,0.21723518850987433,584,0.2534246575342466,0.036189469024372256,1,False
approach_max_directional_body_range_units,False,1671,0.8316354880533448,0.9738984546854899,LOWER,0.592829883488766,0.6608533848988447,0.21723518850987433,418,0.27751196172248804,0.06027677321261371,3,False
approach_start_distance_to_level_range_units,False,1671,1.7023945267958953,2.1422560609096264,LOWER,0.6280865367604317,1.4084118083030879,0.21723518850987433,418,0.31100478468899523,0.0937695961791209,3,True
pre_sweep_touch_count,False,2824,0.0,0.0,LOWER,0.47167527984717345,0.0,0.24822946175637395,2478,0.2360774818401937,-0.01215197991618025,0,False
sweep_depth_range_units,False,2824,0.39130434782610335,0.3529411764705866,HIGHER,0.5312732030078826,0.6484462736007853,0.24822946175637395,706,0.2577903682719547,0.009560906515580725,3,False
sweep_range_units,False,2824,1.4444444444444413,1.470588235294113,LOWER,0.507077568348292,1.0950425444467364,0.24822946175637395,706,0.24929178470254956,0.0010623229461756145,2,False
sweep_body_range_units,False,2824,0.6461538461538532,0.6718749999999971,LOWER,0.5151670818150237,0.33187772925764636,0.24822946175637395,706,0.2507082152974504,0.0024787535410764616,2,False
sweep_rejection_wick_fraction,False,2824,0.37869822485206894,0.35268505079826046,HIGHER,0.5119323515360266,0.545897562582345,0.24822946175637395,706,0.2563739376770538,0.00814447592067985,2,False
sweep_close_inside_range_units,False,2824,0.15998166399266758,0.14721912910976814,HIGHER,0.5047526479566571,0.45715944766328354,0.24822946175637395,706,0.29036827195467424,0.04213881019830029,3,False
sweep_close_location_reversal,False,2824,0.4144144144144154,0.3749999999999978,HIGHER,0.5352366547217722,0.6299019607843154,0.24822946175637395,707,0.297029702970297,0.04880024121392307,3,False
reclaim_delay_h1_bars,False,2824,0.0,0.0,LOWER,0.4678062360277996,0.0,0.24822946175637395,1924,0.2286902286902287,-0.019539233066145245,0,False
reclaim_range_units,False,2824,1.3424657534246494,1.3282051282051377,HIGHER,0.5176616676398631,1.8280067283431483,0.24822946175637395,706,0.28611898016997167,0.03788951841359772,2,False
reclaim_body_range_units,False,2824,0.5510791366906511,0.53829457364341,HIGHER,0.5115396012559946,0.92708709814625,0.24822946175637395,706,0.26912181303116145,0.020892351274787502,2,False
reclaim_directional_body_range_units,False,2824,0.23484013230429218,0.0,HIGHER,0.5864242119628577,0.4999999999999881,0.24822946175637395,706,0.3286118980169972,0.08038243626062325,3,True
reclaim_close_inside_range_units,False,2824,0.4004178272980442,0.2921070384528884,HIGHER,0.5930065588288851,0.6013241386375646,0.24822946175637395,706,0.35127478753541075,0.1030453257790368,3,True
reclaim_close_location_reversal,False,2824,0.7333333333333365,0.6085192697768754,HIGHER,0.600315611302876,0.8297452663978615,0.24822946175637395,706,0.311614730878187,0.06338526912181303,3,False
near_equal_prior_same_side,True,2824,0.0,0.0,HIGHER,0.49205226636061933,1.0,0.24822946175637395,352,0.22443181818181818,-0.02379764357455577,0,False
