template,ref_min,horizon_min,exec_min,execution_utc,reference_start_utc,development_positive_probes,development_median_pf,development_median_expectancy,development_median_n,development_pass,raw_opportunities_per_week,external_positive_probes,external_enough_n_probes,external_pass,reference_validation_positive_probes,reference_validation_enough_n_probes,reference_validation_pass,supported
NATIVE_SHORT,240,300,0,00:00,20:00,0,0.5164363292849002,-0.9732881649386738,60.0,False,0.38321167883211676,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,30,00:30,20:30,0,0.43616789023575847,-1.3165158365788938,54.0,False,0.3448905109489051,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,60,01:00,21:00,0,0.5361084547233387,-0.7062619904922414,50.0,False,0.31934306569343063,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,90,01:30,21:30,3,1.351869986444247,0.39059378377367215,66.0,True,0.4215328467153284,1,3,False,0,3,False,False
NATIVE_SHORT,240,300,120,02:00,22:00,0,0.7712195968045034,-0.38530309564918863,63.0,False,0.4023722627737226,1,3,False,3,3,True,False
NATIVE_SHORT,240,300,150,02:30,22:30,2,1.1462898468638127,0.17556704137172652,70.0,True,0.4470802919708029,3,3,True,3,3,True,True
NATIVE_SHORT,240,300,180,03:00,23:00,0,0.8110463050274852,-0.3128266407232021,66.0,False,0.4215328467153284,3,3,True,0,3,False,False
NATIVE_SHORT,240,300,210,03:30,23:30,1,1.0167476141833776,0.022639052700723368,68.0,False,0.43430656934306566,3,3,True,3,3,True,False
NATIVE_SHORT,240,300,240,04:00,00:00,0,0.8699846304592699,-0.18878108276662467,65.0,False,0.4151459854014598,3,3,True,3,3,True,False
NATIVE_SHORT,240,300,270,04:30,00:30,1,0.9757845446404219,-0.031514680239499056,72.0,False,0.4598540145985401,3,3,True,3,3,True,False
NATIVE_SHORT,240,300,300,05:00,01:00,1,1.0448798482447226,0.059442539547429236,68.0,False,0.43430656934306566,3,3,True,2,3,True,False
NATIVE_SHORT,240,300,330,05:30,01:30,0,0.8270752166340675,-0.2842262878980667,72.0,False,0.4598540145985401,1,3,False,3,3,True,False
NATIVE_SHORT,240,300,360,06:00,02:00,0,0.7090986911734641,-0.4614577177522628,72.0,False,0.4598540145985401,0,3,False,2,3,True,False
NATIVE_SHORT,240,300,390,06:30,02:30,0,0.5294536219549032,-0.8441713072655251,84.0,False,0.5364963503649635,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,420,07:00,03:00,0,0.67689993714924,-0.5143934349164355,82.0,False,0.5237226277372262,0,3,False,1,3,False,False
NATIVE_SHORT,240,300,450,07:30,03:30,0,0.6047295430986422,-0.7491425517044537,83.0,False,0.5301094890510949,1,3,False,2,3,True,False
NATIVE_SHORT,240,300,480,08:00,04:00,1,1.080518946427763,0.09885644199446282,85.0,False,0.542883211678832,3,3,True,1,3,False,False
NATIVE_SHORT,240,300,510,08:30,04:30,0,1.0671283011911499,0.07972467994525456,87.0,False,0.5556569343065693,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,540,09:00,05:00,0,0.8568003653524505,-0.22170277354438647,94.0,False,0.6003649635036495,3,3,True,2,3,True,False
NATIVE_SHORT,240,300,570,09:30,05:30,0,0.9266739136599497,-0.10030090601103872,87.0,False,0.5556569343065693,3,3,True,0,3,False,False
NATIVE_SHORT,240,300,600,10:00,06:00,0,1.0120146723007715,0.016647090414643073,98.0,False,0.625912408759124,3,3,True,0,3,False,False
NATIVE_SHORT,240,300,630,10:30,06:30,0,0.9124909221947355,-0.1383156663195884,94.0,False,0.6003649635036495,1,3,False,3,3,True,False
NATIVE_SHORT,240,300,660,11:00,07:00,0,0.8841395098449809,-0.18977571567831208,92.0,False,0.5875912408759124,1,3,False,0,3,False,False
NATIVE_SHORT,240,300,690,11:30,07:30,0,0.8192228931637674,-0.31883397505595573,78.0,False,0.4981751824817518,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,720,12:00,08:00,0,0.8114243154043151,-0.36850487647318714,87.0,False,0.5556569343065693,2,3,True,3,3,True,False
NATIVE_SHORT,240,300,750,12:30,08:30,0,0.6884798071037823,-0.6666933189647705,70.0,False,0.4470802919708029,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,780,13:00,09:00,0,0.4821448356649213,-1.4624984100249279,60.0,False,0.38321167883211676,3,3,True,1,3,False,False
NATIVE_SHORT,240,300,810,13:30,09:30,0,0.7231164635252271,-0.6939147421656564,70.0,False,0.4470802919708029,3,3,True,2,3,True,False
NATIVE_SHORT,240,300,840,14:00,10:00,0,0.8133742021094513,-0.4012499877934798,82.0,False,0.5237226277372262,1,3,False,0,3,False,False
NATIVE_SHORT,240,300,870,14:30,10:30,0,0.6370063981195252,-0.8600171420358415,65.0,False,0.4151459854014598,2,3,True,1,3,False,False
NATIVE_SHORT,240,300,900,15:00,11:00,0,0.9812552640569023,-0.03269739969863191,63.0,False,0.4023722627737226,3,3,True,1,3,False,False
NATIVE_SHORT,240,300,930,15:30,11:30,3,1.240417283816298,0.4013256083379475,54.0,True,0.3448905109489051,3,3,True,1,3,False,False
NATIVE_SHORT,240,300,960,16:00,12:00,2,1.1531267251589417,0.2600564762219622,59.0,True,0.37682481751824815,3,3,True,3,3,True,True
NATIVE_SHORT,240,300,990,16:30,12:30,3,1.2708634100748586,0.5073208609178015,53.0,True,0.3385036496350365,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,1020,17:00,13:00,1,0.9759150392750434,-0.043278109902378424,52.0,False,0.33211678832116787,3,3,True,0,3,False,False
NATIVE_SHORT,240,300,1050,17:30,13:30,1,1.0352871634158778,0.05706137220169361,51.0,False,0.32572992700729925,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,1080,18:00,14:00,1,0.879541404801896,-0.2605281795534835,51.0,False,0.32572992700729925,1,3,False,0,3,False,False
NATIVE_SHORT,240,300,1110,18:30,14:30,0,0.6281232176076404,-0.8859842355794686,48.0,False,0.3065693430656934,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,1140,19:00,15:00,3,1.1810233900633262,0.28728322095040265,62.0,True,0.395985401459854,1,3,False,0,3,False,False
NATIVE_SHORT,240,300,1170,19:30,15:30,0,0.5891903010433488,-0.7719736542584346,60.0,False,0.38321167883211676,1,3,False,0,3,False,False
NATIVE_SHORT,240,300,1200,20:00,16:00,0,0.6715281590108311,-0.6001725400250618,72.0,False,0.4598540145985401,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,1230,20:30,16:30,0,0.4063837388256159,-1.4762957341137195,63.0,False,0.4023722627737226,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,1260,21:00,17:00,0,0.5825622352507516,-0.9377698350554289,64.0,False,0.4087591240875912,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,1290,21:30,17:30,0,0.5472036000479661,-1.111566037110467,60.0,False,0.38321167883211676,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,1320,22:00,18:00,0,0.549206039509353,-1.0593111019074941,66.0,False,0.4215328467153284,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,1350,22:30,18:30,0,0.5175482088474985,-0.9751260505536007,68.0,False,0.43430656934306566,0,3,False,0,3,False,False
NATIVE_SHORT,240,300,1380,23:00,19:00,0,0.6152627009499186,-0.8495500321463221,68.0,False,0.43430656934306566,2,3,True,0,3,False,False
NATIVE_SHORT,240,300,1410,23:30,19:30,0,0.5054924041474825,-0.9551409236188281,74.0,False,0.4726277372262773,0,3,False,0,3,False,False
NATIVE_CENTER,300,360,0,00:00,19:00,0,0.5800550102370935,-1.0044503892148158,58.0,False,0.3704379562043795,0,3,False,0,3,False,False
NATIVE_CENTER,300,360,30,00:30,19:30,0,0.458636645784634,-1.5880111905445398,55.0,False,0.35127737226277367,0,3,False,0,3,False,False
NATIVE_CENTER,300,360,60,01:00,20:00,0,0.5830759556951277,-0.9607897174744604,51.0,False,0.32572992700729925,0,3,False,0,3,False,False
NATIVE_CENTER,300,360,90,01:30,20:30,3,1.1848970151057703,0.31239552817913147,60.0,True,0.38321167883211676,0,3,False,0,3,False,False
NATIVE_CENTER,300,360,120,02:00,21:00,0,0.8147567149794032,-0.33379479809447815,60.0,False,0.38321167883211676,2,3,True,0,3,False,False
NATIVE_CENTER,300,360,150,02:30,21:30,0,1.018418058331327,0.030023780313709558,73.0,False,0.4662408759124087,3,3,True,3,3,True,False
NATIVE_CENTER,300,360,180,03:00,22:00,0,0.7132442966237464,-0.5268801576305485,71.0,False,0.4534671532846715,3,3,True,3,3,True,False
NATIVE_CENTER,300,360,210,03:30,22:30,0,0.840703257244843,-0.24207636213800038,78.0,False,0.4981751824817518,3,3,True,0,3,False,False
NATIVE_CENTER,300,360,240,04:00,23:00,1,0.9657361072317507,-0.04949242575639239,70.0,False,0.4470802919708029,3,3,True,3,3,True,False
NATIVE_CENTER,300,360,270,04:30,23:30,0,0.856924601637025,-0.2306883357628492,73.0,False,0.4662408759124087,3,3,True,3,3,True,False
NATIVE_CENTER,300,360,300,05:00,00:00,2,1.1331651855513643,0.19714053869170467,69.0,True,0.4406934306569343,2,3,True,3,3,True,True
NATIVE_CENTER,300,360,330,05:30,00:30,0,0.7820979806434797,-0.4250377018918998,73.0,False,0.4662408759124087,1,3,False,3,3,True,False
NATIVE_CENTER,300,360,360,06:00,01:00,0,0.758016877794044,-0.4742560416180995,75.0,False,0.47901459854014594,2,3,True,3,3,True,False
NATIVE_CENTER,300,360,390,06:30,01:30,0,0.7804469505729525,-0.39857131786812916,85.0,False,0.542883211678832,2,3,True,2,3,True,False
NATIVE_CENTER,300,360,420,07:00,02:00,0,0.9296810571386317,-0.11974918555932597,82.0,False,0.5237226277372262,0,3,False,1,3,False,False
NATIVE_CENTER,300,360,450,07:30,02:30,0,0.6748108912714424,-0.5640013461450315,94.0,False,0.6003649635036495,0,3,False,0,3,False,False
NATIVE_CENTER,300,360,480,08:00,03:00,0,0.8101737223899754,-0.30719500891077195,97.0,False,0.6195255474452555,3,3,True,3,3,True,False
NATIVE_CENTER,300,360,510,08:30,03:30,0,0.8889981301045943,-0.17606427027021676,97.0,False,0.6195255474452555,0,3,False,0,3,False,False
NATIVE_CENTER,300,360,540,09:00,04:00,2,1.3429270162625933,0.448005143538862,101.0,True,0.6450729927007299,3,3,True,3,3,True,True
