feature,group_type,group_value,band,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,max_win_streak
ret_24h,partition,external,LOW,309,0.5792880258899676,2310.6765589482757,7.477917666499274,1.930402950750182,433.3400303454505,9,17
ret_24h,partition,external,MID,258,0.4418604651162791,367.9459398453144,1.4261470536640093,1.1112053187787212,789.3137746457901,16,16
ret_24h,partition,external,HIGH,384,0.4921875,1077.440062266859,2.805833495486612,1.222322185517643,1575.2934454678286,14,14
ret_24h,partition,development,LOW,289,0.5363321799307958,657.9646481857835,2.276694284379874,1.2626143651736719,388.3350419188868,8,11
ret_24h,partition,development,MID,288,0.4791666666666667,1084.074332823103,3.7641469889691077,1.536250329837929,277.14939611495424,10,5
ret_24h,partition,development,HIGH,288,0.4930555555555556,269.66495105568856,0.9363366356100298,1.0927505185783704,702.0182040543501,13,8
ret_24h,partition,reference_validation,LOW,93,0.6236559139784946,658.9277812092345,7.0852449592390805,1.9786180637668338,183.3672562209723,8,11
ret_24h,partition,reference_validation,MID,91,0.5274725274725275,16.2481339995056,0.17855092307149012,1.0324664088001003,128.24102756220339,6,6
ret_24h,partition,reference_validation,HIGH,37,0.5945945945945946,-29.388569869939104,-0.7942856721605164,0.8791157017183251,160.30196743426316,6,7
ret_24h,year,2020,LOW,38,0.6052631578947368,206.02105787866807,5.421606786280739,1.812080029058072,83.35426107639809,4,11
ret_24h,year,2020,MID,43,0.6511627906976745,161.2307442740747,3.749552192420342,1.4649192968414253,149.68186328536643,4,7
ret_24h,year,2020,HIGH,30,0.5666666666666667,112.35289146169286,3.745096382056429,1.4533842543121542,155.57229254390967,4,6
ret_24h,year,2021,LOW,271,0.5756457564575646,2104.6555010696075,7.766256461511467,1.9438649797388825,433.3400303454506,9,17
ret_24h,year,2021,MID,215,0.4,206.71519557123963,0.9614660259127424,1.0697910595167939,789.3137746457901,16,16
ret_24h,year,2021,HIGH,354,0.4858757062146893,965.087170805166,2.726234945777305,1.2098704136878147,1575.2934454678295,14,14
ret_24h,year,2022,LOW,160,0.525,325.47751335100156,2.03423445844376,1.21556802179868,388.3350419188868,7,11
ret_24h,year,2022,MID,111,0.5225225225225225,538.9913717971087,4.855778124298277,1.6156200079247383,146.3067485522975,7,5
ret_24h,year,2022,HIGH,121,0.48760330578512395,-252.82208799848573,-2.089438743789138,0.8144946170428843,702.0182040543501,13,7
ret_24h,year,2023,LOW,53,0.5283018867924528,17.913791934800983,0.337996074241528,1.053408692368475,146.21615401929515,5,6
ret_24h,year,2023,MID,78,0.3974358974358974,162.3482647191926,2.081388009220418,1.2783846244130113,251.2865659661999,10,5
ret_24h,year,2023,HIGH,93,0.5053763440860215,561.0281768154662,6.032561041026518,1.6184338328066745,224.10291373116127,10,8
ret_24h,year,2024,LOW,76,0.5657894736842105,314.5733428999811,4.139122932894488,1.4765029259053033,235.04625061317722,8,8
ret_24h,year,2024,MID,99,0.494949494949495,382.73469630680165,3.866007033402037,1.6799617491448748,98.84942202677121,6,5
ret_24h,year,2024,HIGH,74,0.4864864864864865,-38.54113776129179,-0.5208261859634026,0.9395304188450777,200.48584375984598,7,7
ret_24h,year,2025,LOW,75,0.72,812.6407827938252,10.835210437251003,3.125060906915846,134.73267269912935,4,11
ret_24h,year,2025,MID,66,0.5151515151515151,-22.847679021336333,-0.34617695486873235,0.9430380752046242,128.24102756220339,6,6
ret_24h,year,2025,HIGH,29,0.5862068965517241,-39.205422746305686,-1.3519111291829546,0.8242488672249819,160.30196743426316,6,7
ret_24h,year,2026,LOW,18,0.2222222222222222,-153.71300158459087,-8.539611199143938,0.47162508163951217,183.36725622097228,8,4
ret_24h,year,2026,MID,25,0.56,39.095813020841916,1.5638325208336767,1.3934944325192473,72.35399490493607,3,4
ret_24h,year,2026,HIGH,8,0.625,9.816852876366584,1.227106609545823,1.489870329410621,10.34913179904509,1,2
ret_72h,partition,external,LOW,260,0.5923076923076923,2170.7376876182507,8.348991106224041,2.0132082464890733,241.8491754635793,8,12
ret_72h,partition,external,MID,262,0.4770992366412214,221.25467001003517,0.8444834733207449,1.0831252438913856,600.2953226151637,12,15
ret_72h,partition,external,HIGH,429,0.4731934731934732,1364.0702034321628,3.1796508238511954,1.2337983186843942,1686.9995782412975,18,16
