event_ts,utc_date,event_hour_utc,event_hour_wib,prior3_high,prior3_low,event_open,event_high,event_low,event_close,entry_ts,entry_price,sweep_depth_range,lower_wick_ratio,close_position,body_ratio,range_expansion,reclaim_depth_range,ret1h_long,ret3h_long,positive1h,positive3h,source_index,sigma24,sweep_frac,sweep_sigma
2026-08-06 19:00:00+00:00,2026-08-06,19,2,64807.4,64343.7,64388.8,64445.6,64323.2,64412.8,2026-08-06 20:00:00+00:00,64412.8,0.04420961828768559,0.5359477124183418,0.7320261437908885,0.19607843137254669,0.4977633184221258,0.1490187621306991,-0.00014127626807103333,-0.0014748621392021155,0,0,57835,0.002137261307096265,0.00031860151032657436,0.1490699846896279
2026-08-07 04:00:00+00:00,2026-08-07,4,11,64524.8,64220.0,64264.0,64340.2,64128.3,64225.8,2026-08-07 05:00:00+00:00,64225.8,0.300853018372691,0.46012269938651573,0.46012269938651573,0.18027371401603653,1.1331550802138726,0.019028871391085483,0.001320341669547087,0.0009824712187314066,1,1,57844,0.002155968501290669,0.0014279040797258967,0.6623028485207845
2026-08-08 18:00:00+00:00,2026-08-08,18,1,65123.8,65000.1,65086.2,65094.1,65000.0,65015.3,2026-08-08 19:00:00+00:00,65015.3,0.0008084074373366312,0.1625929861849431,0.1625929861849431,0.753453772582309,1.0705346985210125,0.12287793047699135,0.0004645060470380713,-0.0003922153708434406,1,0,57882,0.0009367893461614288,1.5384591715788869e-06,0.0016422680060174143
2026-08-08 19:00:00+00:00,2026-08-08,19,2,65123.1,65000.0,65015.3,65089.2,64986.2,65045.5,2026-08-08 20:00:00+00:00,65045.5,0.11210398050368053,0.2825242718447167,0.5757281553398341,0.2932038834951174,1.1717861205915618,0.3696181965881441,2.1523395161926473e-05,-0.002003213135420623,1,0,57883,0.0009658691182490083,0.00021230769230773708,0.2198100014757927
2026-08-10 18:00:00+00:00,2026-08-10,18,1,64691.2,63808.9,63932.6,64005.4,63788.0,63866.4,2026-08-10 19:00:00+00:00,63866.3,0.02368808795194555,0.3606255749770052,0.3606255749770052,0.3045078196871971,0.41855987678090856,0.06517057690128107,0.0023627484291401935,0.001294892611596321,1,1,57930,0.00256338186664894,0.0003275405155080475,0.1277767155060026
2026-08-11 19:00:00+00:00,2026-08-11,19,2,63637.5,63222.0,63352.5,63513.9,63211.6,63508.5,2026-08-11 20:00:00+00:00,63508.5,0.025030084235863913,0.4660932848164079,0.982136950049615,0.5160436652332071,1.503980099502502,0.6895306859205776,0.003342859617216698,0.0020957824543170744,1,1,57955,0.002214421858404129,0.0001644996994717259,0.07428561944844429
2026-08-12 19:00:00+00:00,2026-08-12,19,2,63557.5,63338.9,63360.0,63441.0,63283.0,63394.9,2026-08-12 20:00:00+00:00,63394.8,0.25571820677036516,0.4873417721518987,0.708227848101275,0.2208860759493763,1.0063694267515924,0.25617566331198705,0.0028188431858764407,0.00017509322531172877,1,1,57979,0.0025013991804003397,0.0008825540070951888,0.3528241369911776
2026-08-14 04:00:00+00:00,2026-08-14,4,11,63595.1,63277.1,63288.0,63449.6,63243.2,63349.9,2026-08-14 05:00:00+00:00,63350.0,0.10660377358491023,0.21705426356590404,0.5169573643411027,0.2999031007751987,1.3063291139240598,0.22893081761007206,0.00012312549329118738,-0.007291239147592776,1,0,58012,0.002328482789179528,0.000535738837588977,0.23008065169240602
2026-08-14 08:00:00+00:00,2026-08-14,8,15,63375.6,62888.0,62888.0,62974.4,62658.8,62904.9,2026-08-14 09:00:00+00:00,62904.9,0.47005742411812507,0.726235741444861,0.7797845373890991,0.053548795944238066,1.651491365777085,0.03465955701394895,-0.0022414788037179445,-0.0010730483634819876,0,0,58016,0.0025581869026000304,0.0036445744816180686,1.424670917482175
2026-08-14 19:00:00+00:00,2026-08-14,19,2,63215.3,62857.9,62899.9,62968.0,62781.4,62936.3,2026-08-14 20:00:00+00:00,62936.4,0.21404588696138693,0.635048231511259,0.8301178992497463,0.19506966773848736,0.7455053935277522,0.21936205931729472,-0.0009199763570842956,-0.001264768877787703,0,0,58027,0.002248313235336894,0.0012170307948563346,0.5413083798681508
2026-08-18 08:00:00+00:00,2026-08-18,8,15,64425.0,64107.0,64170.8,64310.0,64056.4,64264.5,2026-08-18 09:00:00+00:00,64264.4,0.15911949685534132,0.4511041009463806,0.82058359621451,0.36947949526812945,1.30789066529137,0.49528301886792453,-0.0019279725633476463,0.00095854003149487,0,1,58112,0.002423222789583636,0.0007893053800676766,0.32572546918118783
