partition,date_utc,signal_ts,window_status,filled,h2_after_fill,fill_bar_start,entry_px,entry_fraction,H,L,range,h2_bar_start,path_class,pre_max_frac,pre_required_d,cons_max_frac,cons_required_d,next_max_frac,next_required_d,failure_max_frac,failure_required_d
august,2026-08-14,2026-08-14 14:05:00+00:00,H2_ARRIVAL,True,True,2026-08-14 14:10:00+00:00,62618.335,0.15,62974.4,62555.5,418.90000000000146,2026-08-14 14:15:00+00:00,F15_H2_WINNER,0.31343996180473255,0.16343996180473255,0.31343996180473255,0.16343996180473255,,,,
august,2026-08-18,2026-08-18 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,False,False,,,0.15,64380.0,64025.5,354.5,,NO_FILL,,,,,,,,
development,2022-01-03,2022-01-03 15:10:00+00:00,H2_ARRIVAL,True,True,2022-01-03 15:15:00+00:00,46896.733,0.15,47575.22,46777.0,798.2200000000012,2022-01-03 15:50:00+00:00,F15_H2_WINNER,0.30442735085565337,0.15442735085565337,0.30442735085565337,0.15442735085565337,0.24592217684348003,0.09592217684348003,,
development,2022-01-07,2022-01-07 13:40:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,42960.0,41601.96,1358.0400000000009,,NO_FILL,,,,,,,,
development,2022-01-10,2022-01-10 13:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,42098.52,40726.16,1372.3599999999933,,NO_FILL,,,,,,,,
development,2022-01-17,2022-01-17 15:15:00+00:00,H2_ARRIVAL,True,True,2022-01-17 15:30:00+00:00,42490.1445,0.15,42887.63,42420.0,467.6299999999974,2022-01-17 15:55:00+00:00,F15_H2_WINNER,0.4478968415200014,0.2978968415200014,0.4478968415200014,0.2978968415200014,0.4478968415200014,0.2978968415200014,,
development,2022-01-18,2022-01-18 14:30:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,42040.0,41379.39,660.6100000000006,,NO_FILL,,,,,,,,
development,2022-02-08,2022-02-08 15:10:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,44910.0,43123.38,1786.6200000000026,,NO_FILL,,,,,,,,
development,2022-02-23,2022-02-23 17:55:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,39250.0,38052.8,1197.199999999997,,NO_FILL,,,,,,,,
development,2022-03-02,2022-03-02 13:35:00+00:00,NO_WINDOW_LOW_BREAK_DURING_K1,False,False,,,0.15,44344.5,43500.0,844.5,,NO_FILL,,,,,,,,
