hour_wib,character_rule,raw_component_id,component_size,halo_cell_count,halo_economic_support_count,halo_economic_support_ratio,component_min_half_exp_floor,component_min_half_exp_mean,component_exp_floor,component_exp_mean,component_pf_median,component_dd_max,component_wr_min,component_wr_mean,component_trade_sum,min_lb,max_lb,min_hold,max_hold,component_cells
0,DRIVE_DOWN__EFF_LOW,1,1,5,1,0.2,1.0392706101883955,1.0392706101883955,1.0535632313066494,1.0535632313066494,1.4582691266855032,87.24968319609599,0.5562913907284768,0.5562913907284768,151,180,180,240,240,LB180/H240
0,DRIVE_DOWN__EFF_LOW,2,1,5,1,0.2,0.5419447118429812,0.5419447118429812,0.6485886374215746,0.6485886374215746,1.2123297247952174,92.23074745425942,0.5571428571428572,0.5571428571428572,140,120,120,360,360,LB120/H360
0,DRIVE_DOWN__RANGE_LOW,1,1,5,2,0.4,0.4654979925380265,0.4654979925380265,0.6149626996445449,0.6149626996445449,1.248305596714894,79.19140479965549,0.6010362694300518,0.6010362694300518,193,120,120,360,360,LB120/H360
0,DRIVE_DOWN__RANGE_MID,1,2,6,2,0.3333333333333333,0.8565356124499528,1.051460468758214,1.4706625941927522,1.5634867537506665,1.663649711633092,100.43977279483518,0.5909090909090909,0.6174242424242424,264,60,60,240,360,LB60/H240;LB60/H360
0,DRIVE_DOWN__RV_MID,1,1,4,2,0.5,0.8402763424382672,0.8402763424382672,1.686968128370544,1.686968128370544,1.900718847191181,54.02092305683233,0.6048387096774194,0.6048387096774194,124,60,60,240,240,LB60/H240
0,DRIVE_DOWN__STR_B0_20,1,2,7,4,0.5714285714285714,0.0442701072845308,0.18653891786866345,0.7189006942927968,0.8121419511649114,1.2983056373160988,67.55304993984652,0.59,0.595,185,60,120,360,360,LB60/H360;LB120/H360
0,DRIVE_DOWN__STR_B20_40,1,1,4,1,0.25,0.3962053114584055,0.3962053114584055,0.940727440135808,0.940727440135808,1.4555879871821242,39.2477763423646,0.59,0.59,100,60,60,240,240,LB60/H240
0,DRIVE_DOWN__STR_B20_40,2,2,8,3,0.375,0.6749651302538098,0.8497302289667962,0.9772420505395936,1.0734938025720164,1.5348677424591237,66.39651665215214,0.5604395604395604,0.5659340659340659,182,240,240,240,360,LB240/H240;LB240/H360
0,DRIVE_DOWN__STR_B20_40,3,1,3,1,0.3333333333333333,0.1182414240071896,0.1182414240071896,1.903825193279556,1.903825193279556,1.6652076776837732,66.64123159778312,0.55,0.55,100,60,60,480,480,LB60/H480
0,DRIVE_DOWN__STR_B60_80,1,2,5,2,0.4,0.9535735509966784,1.1219656735976198,1.5382844936156297,1.7222919947267894,2.08016374134709,65.00334864562302,0.5853658536585366,0.5975609756097561,164,360,360,120,240,LB360/H120;LB360/H240
0,DRIVE_UP__EFF_HIGH,1,4,10,6,0.6,0.6433121610682427,1.8874683303343902,1.8729197756,2.452024834196589,1.9469374644969366,119.90148405619726,0.616,0.630359375,506,240,360,240,360,LB240/H240;LB360/H240;LB240/H360;LB360/H360
0,DRIVE_UP__EXT_HIGH,1,2,6,3,0.5,0.8123396528620294,1.3632150677521782,2.494391440830878,2.545411018091328,2.004710759109847,107.7398912587245,0.5775862068965517,0.5818965517241379,232,360,360,240,360,LB360/H240;LB360/H360
0,DRIVE_UP__RANGE_MID,1,2,6,4,0.6666666666666666,1.0896213870665807,1.9684724857813987,2.1514683228178755,2.7168019479628818,1.9428081882410702,91.11305793282828,0.5943396226415094,0.6037735849056604,212,360,360,240,360,LB360/H240;LB360/H360
0,DRIVE_UP__RANGE_MID,2,4,9,6,0.6666666666666666,1.3722575699809043,1.6321824986720366,2.256883964774363,2.445133138977167,1.9940360430300217,118.91588792668672,0.5892857142857143,0.6058245988612837,516,120,240,360,480,LB180/H360;LB120/H480;LB180/H480;LB240/H480
0,DRIVE_UP__RV_MID,1,5,12,6,0.5,0.5930487623257579,0.9000629653397377,1.348335111646732,1.9071756596918086,1.81956328295217,103.21538962569264,0.5643564356435643,0.608783136378154,551,180,240,240,480,LB180/H240;LB180/H360;LB240/H360;LB180/H480;LB240/H480
0,DRIVE_UP__STR_B40_60,1,2,7,2,0.2857142857142857,0.7411070336247512,1.096374434425601,1.2963716623541377,1.3758508885880119,1.342058941276049,106.66976206277576,0.5520833333333334,0.5625,192,180,180,360,480,LB180/H360;LB180/H480
