half,n,event_rate,win_rate,mean_r,median_r,pf_r,cum_r,max_dd_r,max_loss_streak,median_hold_min,stop_rate,structural_exit_rate
2020-H2,7,0.8571428571428571,0.8571428571428571,0.8383618044814414,1.166380789022299,6.86853263137009,5.86853263137009,1.0,1,225.0,0.14285714285714285,0.8571428571428571
2021-H1,25,0.52,0.52,0.0633976143631905,0.0203750868256543,1.139924552506294,1.5849403590797624,5.392205331868211,5,125.0,0.44,0.56
2021-H2,23,0.5217391304347826,0.5217391304347826,-0.019804873304574123,0.10613076495647479,0.9559733559183611,-0.4555120860052049,5.337910902407961,4,225.0,0.43478260869565216,0.5652173913043478
2022-H1,16,0.5,0.5625,0.06863175926991273,0.12501893652476853,1.2209496533221367,1.0981081483186037,2.90386702461873,3,365.0,0.25,0.75
2022-H2,24,0.6666666666666666,0.5416666666666666,0.1918595018829776,0.5251177394034525,1.492713800430517,4.604628045191462,5.513851283375695,5,192.5,0.375,0.625
2023-H1,25,0.64,0.68,0.3142649590706322,0.5113122171945679,1.9820779970957256,7.856623976765805,3.9116756228627088,3,175.0,0.32,0.68
2023-H2,18,0.5555555555555556,0.5,-0.12058327140485203,-0.3429771348576758,0.7588334571902959,-2.1704988852873366,4.596811781370473,2,177.5,0.5,0.5
2024-H1,30,0.7,0.6666666666666666,0.24836759951926624,0.31927993258051257,1.8275596451264193,7.451027985577987,2.0,2,175.0,0.3,0.7
2024-H2,20,0.75,0.6,0.30444741600897923,0.2146194233275282,1.852185536833256,6.088948320179584,3.0,3,180.0,0.35,0.65
2025-H1,18,0.6111111111111112,0.6111111111111112,0.26340586447761954,0.12855858021887986,2.0668932203197876,4.7413055605971515,2.1035502958579864,3,185.0,0.2222222222222222,0.7777777777777778
2025-H2,34,0.6470588235294118,0.5588235294117647,0.08858591047956886,0.19829574751010842,1.2257108546481617,3.011920956305341,3.369426751592348,3,120.0,0.38235294117647056,0.6176470588235294
2026-H1,24,0.75,0.625,0.34128505336920184,0.4670302045867707,2.03341089347113,8.190841280860845,3.8202931665884936,2,105.0,0.2916666666666667,0.7083333333333334
2026-H2,15,0.6,0.6,-0.014723775581210647,0.17050691244239827,0.9597118668162478,-0.2208566337181597,3.0,3,135.0,0.3333333333333333,0.6666666666666666
