year,baseline_n,baseline_continuation_rate,h4_confluent_n,h4_confluent_continuation_rate,lift
2020,26,0.2692307692307692,8,0.125,-0.14423076923076922
2021,77,0.35064935064935066,39,0.2564102564102564,-0.09423909423909427
2022,71,0.352112676056338,34,0.38235294117647056,0.03024026512013256
2023,72,0.3333333333333333,34,0.3235294117647059,-0.009803921568627416
2024,89,0.30337078651685395,50,0.26,-0.04337078651685394
