checkpoint,mode,threshold,development_auc,dev_bad_flagged,dev_good_flagged,dev_bad_capture,dev_good_sacrifice
RECLAIM,SAFE,0.6534535825318841,0.7568685865607415,13,15,0.34210526315789475,0.09433962264150944
RECLAIM,AGGRESSIVE,0.580230323009824,0.7568685865607415,20,31,0.5263157894736842,0.1949685534591195
FILL,SAFE,0.6495502737932632,0.7810327706057596,12,15,0.3157894736842105,0.09433962264150944
FILL,AGGRESSIVE,0.5727423194846668,0.7810327706057596,20,31,0.5263157894736842,0.1949685534591195
PLUS5,SAFE,0.6782377735816619,0.8422205989773557,18,13,0.47368421052631576,0.08176100628930817
PLUS5,AGGRESSIVE,0.5631025017287984,0.8422205989773557,28,31,0.7368421052631579,0.1949685534591195
PLUS10,SAFE,0.5898635948838399,0.8452298452298452,26,15,0.6842105263157895,0.09433962264150944
PLUS10,AGGRESSIVE,0.5494693389519317,0.8452298452298452,27,21,0.7105263157894737,0.1320754716981132
PLUS15,SAFE,0.6079191233470493,0.8860088365243004,28,9,0.7368421052631579,0.05660377358490566
PLUS15,AGGRESSIVE,0.4101988544354365,0.8860088365243004,32,28,0.8421052631578947,0.1761006289308176
