partition,pattern,n,share_of_flipbacks,flipbacks_total,eligible_centers,flipback_rate,table,class,share,median_intervals,p75_intervals,p90_intervals,one_bar_n,two_bar_n,three_plus_n,bracketed_total
external,BULL->SIDEWAYS->BULL,43,0.43,100.0,558.0,0.17921146953405018,flipback_patterns,,,,,,,,,
external,BEAR->SIDEWAYS->BEAR,25,0.25,100.0,558.0,0.17921146953405018,flipback_patterns,,,,,,,,,
external,BULL->BEAR->BULL,1,0.01,100.0,558.0,0.17921146953405018,flipback_patterns,,,,,,,,,
external,BEAR->BULL->BEAR,1,0.01,100.0,558.0,0.17921146953405018,flipback_patterns,,,,,,,,,
external,SIDEWAYS->BULL->SIDEWAYS,18,0.18,100.0,558.0,0.17921146953405018,flipback_patterns,,,,,,,,,
external,SIDEWAYS->BEAR->SIDEWAYS,12,0.12,100.0,558.0,0.17921146953405018,flipback_patterns,,,,,,,,,
development,BULL->SIDEWAYS->BULL,71,0.31555555555555553,225.0,1033.0,0.21781219748305905,flipback_patterns,,,,,,,,,
development,BEAR->SIDEWAYS->BEAR,84,0.37333333333333335,225.0,1033.0,0.21781219748305905,flipback_patterns,,,,,,,,,
development,BULL->BEAR->BULL,1,0.0044444444444444444,225.0,1033.0,0.21781219748305905,flipback_patterns,,,,,,,,,
development,BEAR->BULL->BEAR,6,0.02666666666666667,225.0,1033.0,0.21781219748305905,flipback_patterns,,,,,,,,,
development,SIDEWAYS->BULL->SIDEWAYS,30,0.13333333333333333,225.0,1033.0,0.21781219748305905,flipback_patterns,,,,,,,,,
development,SIDEWAYS->BEAR->SIDEWAYS,33,0.14666666666666667,225.0,1033.0,0.21781219748305905,flipback_patterns,,,,,,,,,
reference_validation,BULL->SIDEWAYS->BULL,47,0.35074626865671643,134.0,609.0,0.2200328407224959,flipback_patterns,,,,,,,,,
reference_validation,BEAR->SIDEWAYS->BEAR,36,0.26865671641791045,134.0,609.0,0.2200328407224959,flipback_patterns,,,,,,,,,
reference_validation,BULL->BEAR->BULL,5,0.03731343283582089,134.0,609.0,0.2200328407224959,flipback_patterns,,,,,,,,,
reference_validation,BEAR->BULL->BEAR,2,0.014925373134328358,134.0,609.0,0.2200328407224959,flipback_patterns,,,,,,,,,
reference_validation,SIDEWAYS->BULL->SIDEWAYS,28,0.208955223880597,134.0,609.0,0.2200328407224959,flipback_patterns,,,,,,,,,
reference_validation,SIDEWAYS->BEAR->SIDEWAYS,16,0.11940298507462686,134.0,609.0,0.2200328407224959,flipback_patterns,,,,,,,,,
POOLED_MAJOR,BULL->SIDEWAYS->BULL,161,0.35076252723311546,459.0,2202.0,0.20844686648501362,flipback_patterns,,,,,,,,,
POOLED_MAJOR,BEAR->SIDEWAYS->BEAR,145,0.3159041394335512,459.0,2202.0,0.20844686648501362,flipback_patterns,,,,,,,,,
POOLED_MAJOR,BULL->BEAR->BULL,7,0.015250544662309368,459.0,2202.0,0.20844686648501362,flipback_patterns,,,,,,,,,
POOLED_MAJOR,BEAR->BULL->BEAR,9,0.0196078431372549,459.0,2202.0,0.20844686648501362,flipback_patterns,,,,,,,,,
POOLED_MAJOR,SIDEWAYS->BULL->SIDEWAYS,76,0.1655773420479303,459.0,2202.0,0.20844686648501362,flipback_patterns,,,,,,,,,
POOLED_MAJOR,SIDEWAYS->BEAR->SIDEWAYS,61,0.1328976034858388,459.0,2202.0,0.20844686648501362,flipback_patterns,,,,,,,,,
external,,104,,,,,sideways_episode_classes,BULL->SIDEWAYS->BULL,0.3837638376383764,2.0,5.0,13.0,43.0,18.0,43.0,271.0
external,,56,,,,,sideways_episode_classes,BEAR->SIDEWAYS->BEAR,0.2066420664206642,2.0,3.0,4.0,25.0,15.0,16.0,271.0
external,,59,,,,,sideways_episode_classes,BULL->SIDEWAYS->BEAR,0.2177121771217712,2.0,6.0,13.600000000000009,14.0,17.0,28.0,271.0
external,,52,,,,,sideways_episode_classes,BEAR->SIDEWAYS->BULL,0.1918819188191882,2.0,2.25,4.0,17.0,22.0,13.0,271.0
development,,105,,,,,sideways_episode_classes,BULL->SIDEWAYS->BULL,0.22435897435897437,1.0,2.0,2.0,71.0,27.0,7.0,468.0
development,,135,,,,,sideways_episode_classes,BEAR->SIDEWAYS->BEAR,0.28846153846153844,1.0,2.0,3.0,84.0,35.0,16.0,468.0
development,,114,,,,,sideways_episode_classes,BULL->SIDEWAYS->BEAR,0.24358974358974358,2.0,2.75,3.0,52.0,33.0,29.0,468.0
development,,114,,,,,sideways_episode_classes,BEAR->SIDEWAYS->BULL,0.24358974358974358,2.0,2.0,3.0,55.0,37.0,22.0,468.0
