role,partition,episode_class,snapshot_min,n,close_R_q25,close_R_q50,close_R_q75,running_mfe_R_q25,running_mfe_R_q50,running_mfe_R_q75,running_mae_R_q25,running_mae_R_q50,running_mae_R_q75,closes_above_H_q25,closes_above_H_q50,closes_above_H_q75,closes_le_H_q25,closes_le_H_q50,closes_le_H_q75,fraction_closes_above_H_q25,fraction_closes_above_H_q50,fraction_closes_above_H_q75,failed_by_snapshot_rate,E10_by_snapshot_rate,E20_by_snapshot_rate
CENTRAL,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,30,34,-0.050651437754692864,0.02050935404716874,0.10345247015092099,0.07910381543921904,0.12242358881050142,0.18277178796046656,0.04197192434145797,0.07705404697458859,0.19266550068843094,2.25,4.5,7.0,0.0,2.5,4.75,0.3214285714285714,0.6428571428571428,1.0,0.6470588235294118,0.6470588235294118,0.20588235294117646
CENTRAL,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,60,34,-0.11429674430575176,-0.03429170410302644,0.07990164022746642,0.10067237163813995,0.14389233954451702,0.1935520619731137,0.06620205036635726,0.13394355453851858,0.23007316134000969,4.0,7.0,11.0,2.0,6.0,9.0,0.3076923076923077,0.5384615384615384,0.8461538461538461,0.7941176470588235,0.7647058823529411,0.23529411764705882
CLOCK_SUPPORT,external,RESIDUAL_LATENT_RECOVERABLE,5,51,0.00041987511648998704,0.05833802288501218,0.17197584878399244,0.06741197041562813,0.11149961149961041,0.22459418401258774,0.041712894930971266,0.06591031874662341,0.12471057128387714,1.5,2.0,2.0,0.0,0.0,0.5,0.75,1.0,1.0,0.2549019607843137,0.5490196078431373,0.29411764705882354
CLOCK_SUPPORT,external,RESIDUAL_LATENT_RECOVERABLE,10,51,0.0016924064676771705,0.0587131870193214,0.18300397689479042,0.07249756589138207,0.1388829445752195,0.2609978586940551,0.04297045379722757,0.06591031874662341,0.1390267482132872,2.0,3.0,3.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.3137254901960784,0.6470588235294118,0.3333333333333333
CLOCK_SUPPORT,external,RESIDUAL_LATENT_RECOVERABLE,15,51,-0.014806079664571075,0.09557109557109537,0.26972268631024515,0.07940693011772619,0.15451107509454431,0.4000199564182453,0.04297045379722757,0.06622114216281567,0.1477880151996754,3.0,4.0,4.0,0.0,0.0,1.0,0.75,1.0,1.0,0.39215686274509803,0.7058823529411765,0.4117647058823529
CLOCK_SUPPORT,external,RESIDUAL_LATENT_RECOVERABLE,30,50,-0.033196776684038795,0.08195037142405745,0.2572975443939621,0.11375941850191398,0.26523681632377405,0.40645498509450023,0.049100988923022046,0.07825380153897746,0.18665957249517115,3.0,6.5,7.0,0.0,0.5,4.0,0.42857142857142855,0.9285714285714286,1.0,0.5,0.82,0.54
CLOCK_SUPPORT,external,RESIDUAL_LATENT_RECOVERABLE,60,50,0.03775607672474526,0.18937295759653977,0.29899378228085005,0.2093537179413486,0.3776702314409518,0.5167047806852252,0.05788299310216387,0.12342657468196915,0.229875858357407,8.0,11.0,13.0,0.0,2.0,5.0,0.6153846153846154,0.8461538461538461,1.0,0.6,0.9,0.76
CLOCK_SUPPORT,external,RESIDUAL_TRUE_FAILURE_PROXY,5,27,-0.055301382020478546,0.0016247648366664107,0.03264810110619418,0.038890434655525434,0.0513816491235143,0.10366722662007265,0.040402323712997734,0.07273532312274766,0.1329670046747356,1.0,2.0,2.0,0.0,0.0,1.0,0.5,1.0,1.0,0.4444444444444444,0.2962962962962963,0.037037037037037035
CLOCK_SUPPORT,external,RESIDUAL_TRUE_FAILURE_PROXY,10,27,-0.06749885406337698,-0.0037037037037033,0.03275941918434956,0.04356240416844884,0.06442028985507325,0.11983107774634524,0.040402323712997734,0.08962868117797845,0.14001838614727297,1.0,2.0,3.0,0.0,1.0,2.0,0.3333333333333333,0.6666666666666666,1.0,0.6296296296296297,0.37037037037037035,0.07407407407407407
CLOCK_SUPPORT,external,RESIDUAL_TRUE_FAILURE_PROXY,15,27,-0.07936606949781189,0.004927536231884936,0.044349951784356204,0.04610093277031403,0.07654623392529009,0.12307054554293775,0.04870034198767259,0.10344827586207017,0.16517062877148136,1.0,2.0,4.0,0.0,2.0,3.0,0.25,0.5,1.0,0.6666666666666666,0.4074074074074074,0.07407407407407407
CLOCK_SUPPORT,external,RESIDUAL_TRUE_FAILURE_PROXY,30,27,-0.10350606662005891,-0.027140851661208443,0.06842232805508254,0.04884567260806594,0.09768115942029092,0.14294980646646177,0.08060192396508023,0.12273817309788491,0.19161771420208246,1.5,2.0,7.0,0.0,5.0,5.5,0.21428571428571427,0.2857142857142857,1.0,0.7037037037037037,0.48148148148148145,0.1111111111111111
CLOCK_SUPPORT,external,RESIDUAL_TRUE_FAILURE_PROXY,60,27,-0.16964959960853668,-0.1146718988445607,0.07797903549007962,0.0571360557154429,0.10869565217391317,0.168910855490475,0.12072526477254023,0.1745437529246611,0.27946020164306573,2.0,3.0,10.5,2.5,10.0,11.0,0.15384615384615385,0.23076923076923078,0.8076923076923077,0.8518518518518519,0.5925925925925926,0.2222222222222222
CLOCK_SUPPORT,reference_validation,RESIDUAL_LATENT_RECOVERABLE,5,51,-0.0019305019305001828,0.03910614525140095,0.10829472558802664,0.059326294620410336,0.10266159695817302,0.16974992895709193,0.04065712187958958,0.0710059171597661,0.11077027948193381,1.0,2.0,2.0,0.0,0.0,1.0,0.5,1.0,1.0,0.27450980392156865,0.5098039215686274,0.19607843137254902
CLOCK_SUPPORT,reference_validation,RESIDUAL_LATENT_RECOVERABLE,10,51,-0.03341787923285379,0.051490514905148464,0.14824355971896958,0.08985161632220298,0.11538461538461958,0.21055737704917876,0.05330601092896136,0.08095238095238198,0.12594690265486563,2.0,3.0,3.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.39215686274509803,0.6274509803921569,0.27450980392156865
CLOCK_SUPPORT,reference_validation,RESIDUAL_LATENT_RECOVERABLE,15,51,-0.03208516886931016,0.03539823008848823,0.17135451881902428,0.08985161632220298,0.15151515151515807,0.2649684469755259,0.05454729753551986,0.0907335907335909,0.14367191743617558,2.0,4.0,4.0,0.0,0.0,2.0,0.5,1.0,1.0,0.47058823529411764,0.6666666666666666,0.4117647058823529
CLOCK_SUPPORT,reference_validation,RESIDUAL_LATENT_RECOVERABLE,30,51,-0.016950325169504763,0.06020558002936805,0.19674038505933264,0.11274509803921622,0.2131147540983534,0.34231926217315156,0.06849788243775162,0.09691629955947104,0.17636493081596955,4.0,5.0,7.0,0.0,2.0,3.0,0.5714285714285714,0.7142857142857143,1.0,0.5490196078431373,0.7843137254901961,0.5294117647058824
CLOCK_SUPPORT,reference_validation,RESIDUAL_LATENT_RECOVERABLE,60,50,-0.07559626889169005,0.07778126964174048,0.3849391349391408,0.1394724133767989,0.2777129584616215,0.5525251396648084,0.08669547468079578,0.12311924545250832,0.21489506266042854,6.0,10.0,13.0,0.0,3.0,7.0,0.46153846153846156,0.7692307692307693,1.0,0.7,0.86,0.56
CLOCK_SUPPORT,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,5,37,-0.010389610389615642,0.017391304347826732,0.04922279792746055,0.04800000000000182,0.07826086956521618,0.10778443113772002,0.025316455696200984,0.047999999999996136,0.07594936708861123,1.0,2.0,2.0,0.0,0.0,1.0,0.5,1.0,1.0,0.4594594594594595,0.2702702702702703,0.05405405405405406
CLOCK_SUPPORT,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,10,36,-0.01959358119918385,0.027720870678614753,0.08108499654365911,0.05325000000000202,0.09209329713107825,0.11669303797468825,0.03216456287985146,0.05392957746478957,0.09354152171243692,1.0,2.0,3.0,0.0,1.0,2.0,0.3333333333333333,0.6666666666666666,1.0,0.5555555555555556,0.3888888888888889,0.05555555555555555
CLOCK_SUPPORT,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,15,36,-0.025259612185731792,0.03474407117967164,0.08247902097902127,0.05684290953545408,0.10126750545534899,0.13954743660301788,0.04148191123451187,0.06338646918538299,0.09354152171243692,2.0,3.0,4.0,0.0,1.0,2.0,0.5,0.75,1.0,0.6388888888888888,0.5277777777777778,0.05555555555555555
CLOCK_SUPPORT,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,30,34,-0.06284324465499538,-0.0028248587570622605,0.05516576481989821,0.07464464796319865,0.1198248407643298,0.16850777202072742,0.04746409807355185,0.09156528026659072,0.14631493506493448,2.0,4.5,7.0,0.0,2.5,5.0,0.2857142857142857,0.6428571428571428,1.0,0.7058823529411765,0.6176470588235294,0.14705882352941177
CLOCK_SUPPORT,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,60,32,-0.14208306936965565,-0.03860640301318362,0.04753406878650418,0.10041353423604328,0.12868279569892854,0.19181868714942424,0.07181420233462864,0.13684663448946788,0.22240246638580952,3.0,6.5,9.5,3.5,6.5,10.0,0.23076923076923078,0.5,0.7307692307692307,0.84375,0.75,0.21875
REF_SUPPORT,external,RESIDUAL_LATENT_RECOVERABLE,5,52,-0.012034781592882002,0.05754262147482987,0.15737243299902742,0.07822412603190465,0.1268474156330679,0.2259721852575347,0.047581165337963624,0.09151398876832988,0.15459722507855939,1.0,2.0,2.0,0.0,0.0,1.0,0.5,1.0,1.0,0.28846153846153844,0.5961538461538461,0.3269230769230769
REF_SUPPORT,external,RESIDUAL_LATENT_RECOVERABLE,10,52,-0.04254020362497834,0.04284902867020718,0.2034401431359789,0.07880623588674378,0.15250477491786069,0.3693772346426645,0.06316425237748476,0.10263288077832107,0.16708309547250977,2.0,3.0,3.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.4230769230769231,0.6730769230769231,0.38461538461538464
REF_SUPPORT,external,RESIDUAL_LATENT_RECOVERABLE,15,52,-0.023291473122516133,0.03888451189751847,0.2948575491268462,0.0929675569340602,0.15947491834337862,0.4000305692535745,0.06642775432864204,0.10263957875804278,0.17776143480736467,2.0,4.0,4.0,0.0,0.0,2.0,0.5,1.0,1.0,0.4807692307692308,0.6923076923076923,0.40384615384615385
REF_SUPPORT,external,RESIDUAL_LATENT_RECOVERABLE,30,51,-0.060326320514793065,0.08598265895953738,0.29672650531602096,0.1280916428013499,0.23376623376623168,0.5091481173232549,0.07043450371048693,0.12255406797116404,0.20136640192076005,3.0,6.0,7.0,0.0,1.0,4.0,0.42857142857142855,0.8571428571428571,1.0,0.5294117647058824,0.8627450980392157,0.5490196078431373
REF_SUPPORT,external,RESIDUAL_LATENT_RECOVERABLE,60,50,-0.08287254787714067,0.14895287419045788,0.3363807245386168,0.16673196801896376,0.399286754690126,0.6228553335209644,0.07729710578521054,0.1715640595600831,0.3443184573794472,6.0,10.5,13.0,0.0,2.5,7.0,0.46153846153846156,0.8076923076923077,1.0,0.62,0.92,0.64
REF_SUPPORT,external,RESIDUAL_TRUE_FAILURE_PROXY,5,24,-0.029296986328139298,0.023418273252545557,0.060866477259751126,0.05226311186267413,0.061149646756584464,0.09972351742074531,0.04302238805970217,0.07288582763375269,0.14413248821052033,1.0,2.0,2.0,0.0,0.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.25,0.0
REF_SUPPORT,external,RESIDUAL_TRUE_FAILURE_PROXY,10,24,-0.10699947916666684,-0.02369288793411791,0.06011013348600362,0.05936607292891874,0.0897071551750884,0.12078221014762666,0.053553099924337724,0.09882571205244339,0.17580119308100045,1.0,2.0,3.0,0.0,1.0,2.0,0.3333333333333333,0.6666666666666666,1.0,0.625,0.4166666666666667,0.08333333333333333
REF_SUPPORT,external,RESIDUAL_TRUE_FAILURE_PROXY,15,24,-0.100858563248309,-0.019342007388075053,0.04801281124643055,0.05936607292891874,0.09600373031224299,0.12078221014762666,0.055053921106125545,0.13746705535243714,0.1870135486991375,1.75,2.0,4.0,0.0,2.0,2.25,0.4375,0.5,1.0,0.6666666666666666,0.4166666666666667,0.08333333333333333
REF_SUPPORT,external,RESIDUAL_TRUE_FAILURE_PROXY,30,24,-0.08671024489840802,-0.013100132552832582,0.042312313556513284,0.05936607292891874,0.10124013878245519,0.1446315637309793,0.07918675412415126,0.15412157327803566,0.1941662530648567,2.0,2.5,7.0,0.0,4.5,5.0,0.2857142857142857,0.3571428571428571,1.0,0.7083333333333334,0.5,0.08333333333333333
REF_SUPPORT,external,RESIDUAL_TRUE_FAILURE_PROXY,60,24,-0.1860697955854188,-0.027037425225025023,0.09307450670647012,0.0921560091984884,0.10670625295045225,0.22358810822489417,0.11322196199557856,0.1712030122424431,0.2589174788152667,2.0,5.0,11.25,1.75,8.0,11.0,0.15384615384615385,0.38461538461538464,0.8653846153846154,0.875,0.625,0.2916666666666667
REF_SUPPORT,reference_validation,RESIDUAL_LATENT_RECOVERABLE,5,57,0.008849557522123035,0.05359317904993877,0.11858974358974596,0.07070707070707137,0.11330935251798474,0.19174757281553872,0.032727272727273965,0.0750000000000031,0.11715481171547043,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.22807017543859648,0.543859649122807,0.24561403508771928
REF_SUPPORT,reference_validation,RESIDUAL_LATENT_RECOVERABLE,10,57,0.00625000000000322,0.07430340557274902,0.15884476534295888,0.08585858585858717,0.1419141914191441,0.2597087378640826,0.032727272727273965,0.08292682926828611,0.12849162011173465,2.0,3.0,3.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.2982456140350877,0.631578947368421,0.3508771929824561
REF_SUPPORT,reference_validation,RESIDUAL_LATENT_RECOVERABLE,15,57,-0.02525252525252395,0.055016181229778555,0.18556701030928563,0.0888157894736878,0.18181818181818182,0.320388349514568,0.03525641025640579,0.08294930875576327,0.1381215469613269,3.0,4.0,4.0,0.0,0.0,1.0,0.75,1.0,1.0,0.38596491228070173,0.6842105263157895,0.45614035087719296
REF_SUPPORT,reference_validation,RESIDUAL_LATENT_RECOVERABLE,30,57,0.012288786482332389,0.07843137254901769,0.2879256965944189,0.11936662606577209,0.21958456973294008,0.450467289719626,0.041366906474818284,0.08547008547008153,0.1467889908256864,4.0,6.0,7.0,0.0,1.0,3.0,0.5714285714285714,0.8571428571428571,1.0,0.5087719298245614,0.8070175438596491,0.5614035087719298
REF_SUPPORT,reference_validation,RESIDUAL_LATENT_RECOVERABLE,60,57,-0.019607843137257906,0.16913946587536866,0.35443037974683406,0.21212121212121518,0.31336405529953704,0.6000000000000021,0.0750000000000031,0.10385756676557681,0.18885448916408984,8.0,11.0,13.0,0.0,2.0,5.0,0.6153846153846154,0.8461538461538461,1.0,0.6842105263157895,0.8596491228070176,0.7543859649122807
REF_SUPPORT,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,5,27,-0.02328256385848055,0.017391304347826732,0.05683084231989974,0.039592787198472736,0.07826086956521618,0.12947741785048725,0.029528985507245538,0.045302013422815784,0.07112136920302113,1.0,2.0,2.0,0.0,0.0,1.0,0.5,1.0,1.0,0.4074074074074074,0.37037037037037035,0.07407407407407407
REF_SUPPORT,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,10,27,-0.03505978321600327,0.022346368715079272,0.05219079985435257,0.043813373981048155,0.09554140127387947,0.13590602383681116,0.037131890339227897,0.060759493670884956,0.10875332733971671,1.0,2.0,3.0,0.0,1.0,2.0,0.3333333333333333,0.6666666666666666,1.0,0.5555555555555556,0.4444444444444444,0.1111111111111111
REF_SUPPORT,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,15,27,-0.041170155662910074,-0.0031847133758023186,0.0672017062430451,0.050832936696812804,0.09554140127387947,0.15038983136936018,0.04245298690942843,0.06790123456790069,0.11403849809064265,2.0,3.0,4.0,0.0,1.0,2.0,0.5,0.75,1.0,0.6666666666666666,0.48148148148148145,0.1111111111111111
REF_SUPPORT,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,30,26,-0.13662198767046319,0.0061728395061715945,0.09659090909090604,0.07592359889419874,0.13259183061163515,0.1797767393561766,0.050076515840849635,0.10385009515444445,0.21089108910890578,2.0,4.0,5.0,2.0,3.0,5.0,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.7692307692307693,0.6153846153846154,0.19230769230769232
REF_SUPPORT,reference_validation,RESIDUAL_TRUE_FAILURE_PROXY,60,26,-0.17107487922705447,-0.04795464991573769,0.04168118309927111,0.08658349068067434,0.1458333333333362,0.20310781078107681,0.08299866263611053,0.15064219704484988,0.3171330176495933,2.25,7.0,9.0,4.0,6.0,10.75,0.17307692307692307,0.5384615384615384,0.6923076923076923,0.9230769230769231,0.6923076923076923,0.3076923076923077
