entry_method,external_fills,development_fills,external_pf,development_pf,external_exp,development_exp,min_pf,pooled_dev_exp,min_fills,dev_eligible,selected_primary,reference_pass
NEXT_OPEN,101,164,0.6751146255957501,0.3837333462362989,-0.1708145866708065,-0.7238782928273876,0.3837333462362989,-0.5130879746318605,101,False,False,False
F50,17,62,1.9609850750860005,0.6401497475245198,1.0888153780943166,-0.8706527595669952,0.6401497475245198,-0.4489950590575988,17,False,False,False
F55,19,68,2.4075828819017997,0.6394034113540227,1.39264607628239,-0.8942793596251419,0.6394034113540227,-0.3948358736223476,19,False,False,False
F60,21,75,1.9385267170815739,0.642736113046192,0.948080716147903,-0.8849092056840264,0.642736113046192,-0.48394266028329175,21,False,False,False
F65,24,82,2.011255383643935,0.6603937485553775,1.0575904394186189,-0.8129451514966067,0.6603937485553775,-0.38942765921391403,24,False,False,False
F70,31,86,2.3122932392883055,0.5530817724396591,1.2502128538877741,-1.0993968268289653,0.5530817724396591,-0.4768506721091453,31,False,False,False
F75,40,99,2.062864606101013,0.5031597757655792,0.9064924132379584,-1.1480908917108137,0.5031597757655792,-0.5568438974809512,40,False,False,False
F80,45,110,2.0990966403648716,0.48014431230494614,0.7473144272244109,-1.0674848366198375,0.48014431230494614,-0.5406076309876365,45,False,False,False
SIG_MID,59,107,0.7213797979589747,0.287677615284734,-0.17650508144279875,-0.9850090313696364,0.287677615284734,-0.6976491937450373,59,False,False,False
SIG_LOW,58,106,1.4830524731902754,0.45606320594569755,0.3450439432164263,-1.2199000597884229,0.45606320594569755,-0.6664442538476835,58,False,False,False
